Date,IHF
2010-01-04,46.21978759765625
2010-01-05,46.01499557495117
2010-01-06,45.968448638916016
2010-01-07,46.99244689941406
2010-01-08,47.2344970703125
2010-01-11,47.20654296875
2010-01-12,46.433902740478516
2010-01-13,47.29035186767578
2010-01-14,48.044376373291016
2010-01-15,47.672027587890625
2010-01-19,48.62154006958008
2010-01-20,47.83026885986328
2010-01-21,46.564231872558594
2010-01-22,45.996376037597656
2010-01-25,46.00569152832031
2010-01-26,45.60538101196289
2010-01-27,45.800880432128906
2010-01-28,45.42851257324219
2010-01-29,45.10269546508789
2010-02-01,45.43782424926758
2010-02-02,46.238407135009766
2010-02-03,45.62401580810547
2010-02-04,44.47898864746094
2010-02-05,44.1997184753418
2010-02-08,44.02284240722656
2010-02-09,44.52553939819336
2010-02-10,44.33934020996094
2010-02-11,44.83272171020508
2010-02-12,44.45106887817383
2010-02-16,44.71171188354492
2010-02-17,45.35404968261719
2010-02-18,45.549537658691406
2010-02-19,45.4099006652832
2010-02-22,45.73572540283203
2010-02-23,44.935123443603516
2010-02-24,45.21440124511719
2010-02-25,45.59606170654297
2010-02-26,45.86603927612305
2010-03-01,46.36874771118164
2010-03-02,46.6666374206543
2010-03-03,46.68525695800781
2010-03-04,46.405982971191406
2010-03-05,47.04829788208008
2010-03-08,46.73178482055664
2010-03-09,46.48045349121094
2010-03-10,46.787654876708984
2010-03-11,47.46720886230469
2010-03-12,47.122779846191406
2010-03-15,47.27171325683594
2010-03-16,47.672027587890625
2010-03-17,47.727874755859375
2010-03-18,48.52845001220703
2010-03-19,49.068389892578125
2010-03-22,49.524532318115234
2010-03-23,49.338348388671875
2010-03-24,48.68671798706055
2010-03-25,48.705326080322266
2010-03-26,48.33295822143555
2010-03-29,48.77979278564453
2010-03-30,48.96597671508789
2010-03-31,48.56569290161133
2010-04-01,49.012535095214844
2010-04-05,49.08700180053711
2010-04-06,49.22664260864258
2010-04-07,48.733253479003906
2010-04-08,48.60292434692383
2010-04-09,48.407432556152344
2010-04-12,48.426063537597656
2010-04-13,48.12816619873047
2010-04-14,47.60686111450195
2010-04-15,47.42998123168945
2010-04-16,47.45790481567383
2010-04-19,48.27711486816406
2010-04-20,48.78910827636719
2010-04-21,48.184017181396484
2010-04-22,48.035072326660156
2010-04-23,48.33295822143555
2010-04-26,47.38344192504883
2010-04-27,47.04829788208008
2010-04-28,47.299652099609375
2010-04-29,48.25849533081055
2010-04-30,46.638702392578125
2010-05-03,46.79695129394531
2010-05-04,46.05222702026367
2010-05-05,46.247718811035156
2010-05-06,45.39128875732422
2010-05-07,44.35796356201172
2010-05-10,45.92190170288086
2010-05-11,46.06153869628906
2010-05-12,46.84349060058594
2010-05-13,46.601470947265625
2010-05-14,46.13601303100586
2010-05-17,46.38735580444336
2010-05-18,46.182559967041016
2010-05-19,46.163944244384766
2010-05-20,44.441749572753906
2010-05-21,44.45106887817383
2010-05-24,44.52553939819336
2010-05-25,44.15317153930664
2010-05-26,44.46968078613281
2010-05-27,45.72639083862305
2010-05-28,45.465755462646484
2010-06-01,44.82341766357422
2010-06-02,46.02429962158203
2010-06-03,46.787654876708984
2010-06-04,45.54022979736328
2010-06-07,45.45643615722656
2010-06-08,45.16786193847656
2010-06-09,45.00960159301758
2010-06-10,45.93120193481445
2010-06-11,46.15461730957031
2010-06-14,46.433902740478516
2010-06-15,46.97382736206055
2010-06-16,46.983150482177734
2010-06-17,47.16001510620117
2010-06-18,46.7411003112793
2010-06-21,46.30357360839844
2010-06-22,45.41920852661133
2010-06-23,45.20509338378906
2010-06-24,44.57207489013672
2010-06-25,44.73033905029297
2010-06-28,44.33934020996094
2010-06-29,43.08262634277344
2010-06-30,42.738189697265625
2010-07-01,41.86312484741211
2010-07-02,41.62108612060547
2010-07-06,41.67693328857422
2010-07-07,42.328582763671875
2010-07-08,42.840579986572266
2010-07-09,43.08262634277344
2010-07-12,43.06399917602539
2010-07-13,43.52945327758789
2010-07-14,43.75287628173828
2010-07-15,44.06007385253906
2010-07-16,42.97090148925781
2010-07-19,42.97090148925781
2010-07-20,43.12916946411133
2010-07-21,42.01207733154297
2010-07-22,41.64901351928711
2010-07-23,41.71417236328125
2010-07-26,42.542686462402344
2010-07-27,42.29133224487305
2010-07-28,41.3045654296875
2010-07-29,41.35112380981445
2010-07-30,41.835201263427734
2010-08-02,42.542686462402344
2010-08-03,42.93367385864258
2010-08-04,43.575992584228516
2010-08-05,43.8087272644043
2010-08-06,44.00421905517578
2010-08-09,44.05076217651367
2010-08-10,43.88319778442383
2010-08-11,42.328582763671875
2010-08-12,42.53338623046875
2010-08-13,42.47751998901367
2010-08-16,42.31926345825195
2010-08-17,42.81266403198242
2010-08-18,42.81266403198242
2010-08-19,41.77934265136719
2010-08-20,41.66763687133789
2010-08-23,41.54661178588867
2010-08-24,40.969451904296875
2010-08-25,41.788639068603516
2010-08-26,41.3045654296875
2010-08-27,41.82588195800781
2010-08-30,41.10908126831055
2010-08-31,40.67155456542969
2010-09-01,41.86312484741211
2010-09-02,42.18894958496094
2010-09-03,42.88711929321289
2010-09-07,42.63578796386719
2010-09-08,42.87782287597656
2010-09-09,43.566688537597656
2010-09-10,43.95767593383789
2010-09-13,44.171783447265625
2010-09-14,44.09731674194336
2010-09-15,44.376583099365234
2010-09-16,44.02284240722656
2010-09-17,43.95767593383789
2010-09-20,44.963069915771484
2010-09-21,45.074764251708984
2010-09-22,45.20509338378906
2010-09-23,45.129669189453125
2010-09-24,45.58597946166992
2010-09-27,45.30660629272461
2010-09-28,45.595298767089844
