Date,SOCL
2011-11-15,14.516963958740234
2011-11-16,14.234230041503906
2011-11-17,13.970992088317871
2011-11-18,14.039239883422852
2011-11-21,13.308029174804688
2011-11-22,13.132538795471191
2011-11-23,12.57681941986084
2011-11-25,12.381829261779785
2011-11-28,12.48907470703125
2011-11-29,12.615817070007324
2011-11-30,13.015545845031738
2011-12-01,13.15203857421875
2011-12-02,13.493269920349121
2011-12-05,13.532268524169922
2011-12-06,13.386025428771973
2011-12-07,13.4445219039917
2011-12-08,13.11303997039795
2011-12-09,13.288530349731445
2011-12-12,13.054543495178223
2011-12-13,13.044793128967285
2011-12-14,12.57681941986084
2011-12-15,12.732810974121094
2011-12-16,12.625566482543945
2011-12-19,12.479324340820312
2011-12-20,12.869302749633789
2011-12-21,12.557319641113281
2011-12-22,12.771809577941895
2011-12-23,12.781557083129883
2011-12-27,12.79130744934082
2011-12-28,12.684062957763672
2011-12-29,12.625566482543945
2011-12-30,12.771809577941895
2012-01-03,12.957048416137695
2012-01-04,12.898551940917969
2012-01-05,12.840054512023926
2012-01-06,12.430578231811523
2012-01-09,12.255086898803711
2012-01-10,12.255086898803711
2012-01-11,12.255086898803711
2012-01-12,12.732810974121094
2012-01-13,12.752309799194336
2012-01-17,12.947299003601074
2012-01-18,13.005796432495117
2012-01-19,13.005796432495117
2012-01-20,12.996047019958496
2012-01-23,13.288530349731445
2012-01-24,13.210535049438477
2012-01-25,13.249532699584961
2012-01-26,13.161787986755371
2012-01-27,13.844249725341797
2012-01-30,13.922245979309082
2012-01-31,13.892997741699219
2012-02-01,14.224479675292969
2012-02-02,14.516963958740234
2012-02-03,14.83869743347168
2012-02-06,14.575461387634277
2012-02-07,14.526712417602539
2012-02-08,14.672956466674805
2012-02-09,14.565710067749023
2012-02-10,14.585210800170898
2012-02-13,15.599156379699707
2012-02-14,14.819198608398438
2012-02-15,14.594961166381836
2012-02-16,14.702202796936035
2012-02-17,14.536462783813477
2012-02-21,14.526712417602539
2012-02-22,14.312224388122559
2012-02-23,14.497465133666992
2012-02-24,14.594961166381836
2012-02-27,14.663207054138184
2012-02-28,15.101932525634766
2012-02-29,14.858196258544922
2012-03-01,14.965439796447754
2012-03-02,15.121431350708008
2012-03-05,14.7704496383667
2012-03-06,14.477967262268066
2012-03-07,14.614459037780762
2012-03-08,14.848444938659668
2012-03-09,14.799698829650879
2012-03-12,14.750950813293457
2012-03-13,14.877694129943848
2012-03-14,14.468215942382812
2012-03-15,14.438969612121582
2012-03-16,14.780200004577637
2012-03-19,14.682705879211426
2012-03-20,14.546212196350098
2012-03-21,14.760702133178711
2012-03-22,14.936190605163574
2012-03-23,14.926441192626953
2012-03-26,14.867944717407227
2012-03-27,14.965439796447754
2012-03-28,14.8094482421875
2012-03-29,14.926441192626953
2012-03-30,15.004438400268555
2012-04-02,15.053184509277344
2012-04-03,14.858196258544922
2012-04-04,14.624208450317383
2012-04-05,14.672956466674805
2012-04-09,14.72170352935791
2012-04-10,14.409719467163086
2012-04-11,14.741201400756836
2012-04-12,15.248173713684082
2012-04-13,15.11168098449707
2012-04-16,14.819198608398438
2012-04-17,15.179927825927734
2012-04-18,15.092182159423828
2012-04-19,15.053184509277344
2012-04-20,15.072683334350586
2012-04-23,14.906943321228027
2012-04-24,14.65345573425293
2012-04-25,14.828947067260742
2012-04-26,14.984938621520996
2012-04-27,15.02393627166748
2012-04-30,14.994688034057617
2012-05-01,14.89719295501709
2012-05-02,15.043436050415039
2012-05-03,14.906943321228027
2012-05-04,14.916693687438965
2012-05-07,14.282977104187012
2012-05-08,14.185481071472168
2012-05-09,13.951495170593262
2012-05-10,14.000242233276367
2012-05-11,13.766254425048828
2012-05-14,13.746755599975586
2012-05-15,13.922245979309082
2012-05-16,14.117236137390137
2012-05-17,13.863750457763672
2012-05-18,12.927800178527832
2012-05-21,13.15203857421875
2012-05-22,13.054543495178223
2012-05-23,13.200785636901855
2012-05-24,13.12278938293457
2012-05-25,12.996047019958496
2012-05-29,12.927800178527832
2012-05-30,12.635315895080566
2012-05-31,12.625566482543945
2012-06-01,12.00160026550293
2012-06-04,12.00160026550293
2012-06-05,12.186840057373047
2012-06-06,12.57681941986084
2012-06-07,12.518322944641113
2012-06-08,12.771809577941895
2012-06-11,12.67431354522705
2012-06-12,12.645065307617188
2012-06-13,12.469574928283691
2012-06-14,12.606067657470703
2012-06-15,13.005796432495117
2012-06-18,13.45427131652832
2012-06-19,13.600512504577637
2012-06-20,13.571266174316406
2012-06-21,13.142288208007812
2012-06-22,13.288530349731445
2012-06-25,13.093541145324707
2012-06-26,13.161787986755371
2012-06-27,13.171538352966309
2012-06-28,13.035043716430664
2012-06-29,13.35677719116211
2012-07-02,13.32752799987793
2012-07-03,13.41527271270752
2012-07-05,13.65900993347168
2012-07-06,13.464020729064941
2012-07-09,13.366525650024414
2012-07-10,13.044793128967285
2012-07-11,12.966797828674316
2012-07-12,13.035043716430664
2012-07-13,13.074042320251465
2012-07-16,12.810807228088379
2012-07-17,12.66456413269043
2012-07-18,12.771809577941895
2012-07-19,12.840054512023926
2012-07-20,12.762060165405273
2012-07-23,12.537819862365723
2012-07-24,12.430578231811523
2012-07-25,12.352581024169922
2012-07-26,12.128342628479004
2012-07-27,12.157591819763184
2012-07-30,11.982100486755371
2012-07-31,11.94310188293457
2012-08-01,11.777361869812012
2012-08-02,11.631120681762695
2012-08-03,12.09909439086914
2012-08-06,12.508572578430176
2012-08-07,12.557319641113281
2012-08-08,12.479324340820312
2012-08-09,12.586567878723145
2012-08-10,12.684062957763672
