Date,PIO
2010-01-04,15.970440864562988
2010-01-05,16.082847595214844
2010-01-06,16.152019500732422
2010-01-07,16.039609909057617
2010-01-08,16.290374755859375
2010-01-11,16.255786895751953
2010-01-12,16.108795166015625
2010-01-13,16.273075103759766
2010-01-14,16.38548469543457
2010-01-15,16.169313430786133
2010-01-19,16.152019500732422
2010-01-20,15.875328063964844
2010-01-21,15.564045906066895
2010-01-22,15.321937561035156
2010-01-25,15.468932151794434
2010-01-26,15.373822212219238
2010-01-27,15.347877502441406
2010-01-28,15.123065948486328
2010-01-29,14.941489219665527
2010-02-01,15.278704643249512
2010-02-02,15.494874000549316
2010-02-03,15.218174934387207
2010-02-04,14.62155532836914
2010-02-05,14.431330680847168
2010-02-08,14.26704216003418
2010-02-09,14.638851165771484
2010-02-10,14.673439025878906
2010-02-11,14.87231159210205
2010-02-12,14.915546417236328
2010-02-16,15.088480949401855
2010-02-17,15.149005889892578
2010-02-18,15.270059585571289
2010-02-19,15.157651901245117
2010-02-22,15.140357971191406
2010-02-23,15.027949333190918
2010-02-24,15.114420890808105
2010-02-25,14.98471736907959
2010-02-26,15.03659725189209
2010-03-01,15.157651901245117
2010-03-02,15.296003341674805
2010-03-03,15.35653018951416
2010-03-04,15.382468223571777
2010-03-05,15.486230850219727
2010-03-08,15.442994117736816
2010-03-09,15.391111373901367
2010-03-10,15.399760246276855
2010-03-11,15.417055130004883
2010-03-12,15.494874000549316
2010-03-15,15.451642036437988
2010-03-16,15.538102149963379
2010-03-17,15.555403709411621
2010-03-18,15.598638534545898
2010-03-19,15.382468223571777
2010-03-22,15.503523826599121
2010-03-23,15.685097694396973
2010-03-24,15.451642036437988
2010-03-25,15.408406257629395
2010-03-26,15.425702095031738
2010-03-29,15.650513648986816
2010-03-30,15.615922927856445
2010-03-31,15.572697639465332
2010-04-01,15.832087516784668
2010-04-05,15.944499015808105
2010-04-06,15.927207946777344
2010-04-07,15.77156925201416
2010-04-08,15.77156925201416
2010-04-09,15.8839693069458
2010-04-12,15.909918785095215
2010-04-13,15.892621040344238
2010-04-14,16.082847595214844
2010-04-15,16.091493606567383
2010-04-16,15.788863182067871
2010-04-19,15.693747520446777
2010-04-20,15.7802152633667
2010-04-21,15.814803123474121
2010-04-22,15.892621040344238
2010-04-23,15.996384620666504
2010-04-26,16.013673782348633
2010-04-27,15.607279777526855
2010-04-28,15.676453590393066
2010-04-29,16.04826545715332
2010-04-30,15.875328063964844
2010-05-03,16.13473129272461
2010-05-04,15.589987754821777
2010-05-05,15.270059585571289
2010-05-06,14.5869722366333
2010-05-07,14.457269668579102
2010-05-10,15.149005889892578
2010-05-11,14.976072311401367
2010-05-12,15.278704643249512
2010-05-13,15.140357971191406
2010-05-14,14.785845756530762
2010-05-17,14.768550872802734
2010-05-18,14.422682762145996
2010-05-19,14.52644157409668
2010-05-20,13.964409828186035
2010-05-21,14.16328239440918
2010-05-24,13.973055839538574
2010-05-25,13.895233154296875
2010-05-26,13.817416191101074
2010-05-27,14.52644157409668
2010-05-28,14.327571868896484
2010-06-01,14.10275650024414
2010-06-02,14.414034843444824
2010-06-03,14.396743774414062
2010-06-04,13.82606315612793
2010-06-07,13.627185821533203
2010-06-08,13.765534400939941
2010-06-09,13.756890296936035
2010-06-10,14.258397102355957
2010-06-11,14.327571868896484
2010-06-14,14.431330680847168
2010-06-15,14.811784744262695
2010-06-16,14.708020210266113
2010-06-17,14.777201652526855
2010-06-18,14.784137725830078
2010-06-21,14.810149192810059
2010-06-22,14.593367576599121
2010-06-23,14.654067993164062
2010-06-24,14.463305473327637
2010-06-25,14.558688163757324
2010-06-28,14.402609825134277
2010-06-29,13.960384368896484
2010-06-30,13.899690628051758
2010-07-01,14.038424491882324
2010-07-02,13.995067596435547
2010-07-06,14.047090530395508
2010-07-07,14.48931884765625
2010-07-08,14.558688163757324
2010-07-09,14.654067993164062
2010-07-12,14.454632759094238
2010-07-13,14.775464057922363
2010-07-14,14.749448776245117
2010-07-15,14.827488899230957
2010-07-16,14.367921829223633
2010-07-19,14.515336036682129
2010-07-20,14.610713005065918
2010-07-21,14.350581169128418
2010-07-22,14.654067993164062
2010-07-23,14.844833374023438
2010-07-26,15.096293449401855
2010-07-27,15.096293449401855
2010-07-28,14.966228485107422
2010-07-29,15.200342178344727
2010-07-30,15.183001518249512
2010-08-02,15.486489295959473
2010-08-03,15.50383186340332
2010-08-04,15.547189712524414
2010-08-05,15.547189712524414
2010-08-06,15.50383186340332
2010-08-09,15.547189712524414
2010-08-10,15.425790786743164
2010-08-11,14.85350513458252
2010-08-12,14.740779876708984
2010-08-13,14.671414375305176
2010-08-16,14.71476936340332
2010-08-17,14.896859169006348
2010-08-18,14.931538581848145
2010-08-19,14.610713005065918
2010-08-20,14.437292098999023
2010-08-23,14.30722713470459
2010-08-24,14.142476081848145
2010-08-25,14.177159309387207
2010-08-26,14.038424491882324
2010-08-27,14.341910362243652
2010-08-30,14.211845397949219
2010-08-31,14.12513542175293
2010-09-01,14.628055572509766
2010-09-02,14.706096649169922
2010-09-03,14.844833374023438
2010-09-07,14.758123397827148
2010-09-08,14.810149192810059
2010-09-09,14.879512786865234
2010-09-10,14.905527114868164
2010-09-13,15.165658950805664
2010-09-14,15.24370002746582
2010-09-15,15.287055015563965
2010-09-16,15.21768569946289
2010-09-17,15.228970527648926
2010-09-20,15.37657356262207
2010-09-21,15.359213829040527
2010-09-22,15.393939018249512
2010-09-23,15.211609840393066
2010-09-24,15.524177551269531
2010-09-27,15.567594528198242
2010-09-28,15.671772003173828
