Date,TAN
2010-01-04,78.851318359375
2010-01-05,82.2019271850586
2010-01-06,82.12748718261719
2010-01-07,82.49977111816406
2010-01-08,83.98892974853516
2010-01-11,84.13784790039062
2010-01-12,81.23397827148438
2010-01-13,81.45735931396484
2010-01-14,78.55347442626953
2010-01-15,74.90502166748047
2010-01-19,74.83055877685547
2010-01-20,71.85222625732422
2010-01-21,69.91632843017578
2010-01-22,66.11894989013672
2010-01-25,68.05486297607422
2010-01-26,68.27823638916016
2010-01-27,67.3102798461914
2010-01-28,66.41677856445312
2010-01-29,65.29989624023438
2010-02-01,67.08690643310547
2010-02-02,68.12931823730469
2010-02-03,68.20376586914062
2010-02-04,63.81072998046875
2010-02-05,63.88520050048828
2010-02-08,61.35361099243164
2010-02-09,62.917240142822266
2010-02-10,61.27915573120117
2010-02-11,63.06615447998047
2010-02-12,62.02374267578125
2010-02-16,65.00208282470703
2010-02-17,64.18302917480469
2010-02-18,64.33194732666016
2010-02-19,62.24711227416992
2010-02-22,61.42807388305664
2010-02-23,59.26877975463867
2010-02-24,58.30083465576172
2010-02-25,57.928531646728516
2010-02-26,57.779624938964844
2010-03-01,57.48179244995117
2010-03-02,58.15190124511719
2010-03-03,60.23674774169922
2010-03-04,60.68349075317383
2010-03-05,61.94927215576172
2010-03-08,61.576988220214844
2010-03-09,60.7579460144043
2010-03-10,62.544944763183594
2010-03-11,62.69386291503906
2010-03-12,63.51290512084961
2010-03-15,62.17264938354492
2010-03-16,62.544944763183594
2010-03-17,62.7683219909668
2010-03-18,61.27915573120117
2010-03-19,60.31120300292969
2010-03-22,59.938899993896484
2010-03-23,60.9813232421875
2010-03-24,60.68349075317383
2010-03-25,60.68349075317383
2010-03-26,62.544944763183594
2010-03-29,63.66181945800781
2010-03-30,63.81072998046875
2010-03-31,63.73629379272461
2010-04-01,63.88520050048828
2010-04-05,63.88520050048828
2010-04-06,63.58736038208008
2010-04-07,65.29989624023438
2010-04-08,65.29989624023438
2010-04-09,64.40641784667969
2010-04-12,65.1509780883789
2010-04-13,65.59773254394531
2010-04-14,66.71461486816406
2010-04-15,67.83147430419922
2010-04-16,64.25748443603516
2010-04-19,63.1406135559082
2010-04-20,64.92759704589844
2010-04-21,63.66181945800781
2010-04-22,63.81072998046875
2010-04-23,64.62977600097656
2010-04-26,64.33194732666016
2010-04-27,61.725914001464844
2010-04-28,61.13024139404297
2010-04-29,64.62977600097656
2010-04-30,62.84278106689453
2010-05-03,63.58736038208008
2010-05-04,59.864444732666016
2010-05-05,57.779624938964844
2010-05-06,54.05670166015625
2010-05-07,53.0142822265625
2010-05-10,57.40733337402344
2010-05-11,55.47141647338867
2010-05-12,56.36491012573242
2010-05-13,55.39695739746094
2010-05-14,53.53549575805664
2010-05-17,51.822959899902344
2010-05-18,50.18487548828125
2010-05-19,49.663665771484375
2010-05-20,48.10004425048828
2010-05-21,49.738121032714844
2010-05-24,47.87667465209961
2010-05-25,47.132080078125
2010-05-26,47.504371643066406
2010-05-27,51.152828216552734
2010-05-28,49.58920669555664
2010-06-01,47.727752685546875
2010-06-02,49.0680046081543
2010-06-03,49.44029235839844
2010-06-04,47.802207946777344
2010-06-07,45.41954040527344
2010-06-08,45.64291763305664
2010-06-09,45.56846618652344
2010-06-10,49.2169189453125
2010-06-11,50.63161849975586
2010-06-14,50.78053665161133
2010-06-15,53.68441390991211
2010-06-16,53.3121223449707
2010-06-17,53.98224639892578
2010-06-18,54.35453414916992
2010-06-21,54.131160736083984
2010-06-22,52.79090881347656
2010-06-23,52.86538314819336
2010-06-24,50.63161849975586
2010-06-25,51.59958267211914
2010-06-28,50.85499954223633
2010-06-29,48.47233581542969
2010-06-30,48.02558135986328
2010-07-01,49.44029235839844
2010-07-02,50.18487548828125
2010-07-06,51.3017463684082
2010-07-07,54.57791519165039
2010-07-08,56.36491012573242
2010-07-09,57.33287048339844
2010-07-12,55.84369659423828
2010-07-13,56.737205505371094
2010-07-14,57.035037994384766
2010-07-15,57.630706787109375
2010-07-16,56.29045486450195
2010-07-19,57.40733337402344
2010-07-20,57.779624938964844
2010-07-21,57.25841522216797
2010-07-22,59.566619873046875
2010-07-23,60.23674774169922
2010-07-26,60.9813232421875
2010-07-27,59.49216079711914
2010-07-28,59.04541015625
2010-07-29,58.673118591308594
2010-07-30,56.737205505371094
2010-08-02,58.52420425415039
2010-08-03,58.82203674316406
2010-08-04,59.26877975463867
2010-08-05,59.566619873046875
2010-08-06,60.087825775146484
2010-08-09,60.9068717956543
2010-08-10,59.19432830810547
2010-08-11,55.62031936645508
2010-08-12,56.43937683105469
2010-08-13,55.84369659423828
2010-08-16,56.21599578857422
2010-08-17,56.811668395996094
2010-08-18,57.556243896484375
2010-08-19,55.54586410522461
2010-08-20,55.024662017822266
2010-08-23,54.28007888793945
2010-08-24,52.34415817260742
2010-08-25,52.49308395385742
2010-08-26,52.195247650146484
2010-08-27,54.28007888793945
2010-08-30,53.3121223449707
2010-08-31,54.28007888793945
2010-09-01,56.29045486450195
2010-09-02,57.556243896484375
2010-09-03,58.37527847290039
2010-09-07,57.035037994384766
2010-09-08,57.556243896484375
2010-09-09,57.779624938964844
2010-09-10,57.85407638549805
2010-09-13,58.44974899291992
2010-09-14,59.19432830810547
2010-09-15,58.82203674316406
2010-09-16,59.566619873046875
2010-09-17,58.89649963378906
2010-09-20,59.26877975463867
2010-09-21,59.49216079711914
2010-09-22,59.34324264526367
2010-09-23,59.04541015625
2010-09-24,61.204689025878906
2010-09-27,61.27915573120117
2010-09-28,61.42807388305664
