Date,NLR
2010-01-04,45.75929641723633
2010-01-05,46.13421630859375
2010-01-06,46.706459045410156
2010-01-07,46.44993209838867
2010-01-08,46.824851989746094
2010-01-11,46.962982177734375
2010-01-12,46.25261688232422
2010-01-13,46.76565170288086
2010-01-14,47.140567779541016
2010-01-15,46.785377502441406
2010-01-19,47.199764251708984
2010-01-20,45.8776969909668
2010-01-21,44.2596435546875
2010-01-22,43.786067962646484
2010-01-25,43.62820816040039
2010-01-26,43.27302551269531
2010-01-27,42.97703552246094
2010-01-28,42.542930603027344
2010-01-29,42.18775177001953
2010-02-01,43.11516571044922
2010-02-02,43.194095611572266
2010-02-03,42.66132354736328
2010-02-04,41.12220001220703
2010-02-05,40.944610595703125
2010-02-08,40.35263442993164
2010-02-09,41.12220001220703
2010-02-10,41.31952667236328
2010-02-11,41.93122863769531
2010-02-12,41.69444274902344
2010-02-16,43.01650619506836
2010-02-17,43.213829040527344
2010-02-18,43.09543228149414
2010-02-19,43.23356246948242
2010-02-22,43.213829040527344
2010-02-23,42.582393646240234
2010-02-24,42.759986877441406
2010-02-25,42.77971649169922
2010-02-26,42.97703552246094
2010-03-01,43.62820816040039
2010-03-02,43.746604919433594
2010-03-03,43.88473129272461
2010-03-04,43.52954864501953
2010-03-05,44.022857666015625
2010-03-08,44.04258728027344
2010-03-09,43.9241943359375
2010-03-10,43.94392395019531
2010-03-11,44.00312042236328
2010-03-12,44.43723678588867
2010-03-15,44.3188362121582
2010-03-16,44.930545806884766
2010-03-17,45.542240142822266
2010-03-18,44.77268600463867
2010-03-19,44.37803268432617
2010-03-22,44.39777374267578
2010-03-23,44.53589630126953
2010-03-24,44.160980224609375
2010-03-25,43.588741302490234
2010-03-26,43.687408447265625
2010-03-29,44.614830017089844
2010-03-30,44.67401123046875
2010-03-31,44.496437072753906
2010-04-01,45.68037033081055
2010-04-05,46.33154296875
2010-04-06,46.430198669433594
2010-04-07,45.8776969909668
2010-04-08,45.6606330871582
2010-04-09,46.0552864074707
2010-04-12,46.17367172241211
2010-04-13,45.60144805908203
2010-04-14,45.83823013305664
2010-04-15,45.502777099609375
2010-04-16,44.575355529785156
2010-04-19,44.41749954223633
2010-04-20,44.95026779174805
2010-04-21,44.67401123046875
2010-04-22,44.65428924560547
2010-04-23,44.77268600463867
2010-04-26,44.831886291503906
2010-04-27,43.9241943359375
2010-04-28,43.98339080810547
2010-04-29,44.121517181396484
2010-04-30,43.9241943359375
2010-05-03,43.72686767578125
2010-05-04,42.148284912109375
2010-05-05,41.37872314453125
2010-05-06,40.036922454833984
2010-05-07,39.208168029785156
2010-05-10,41.04327392578125
2010-05-11,41.003807067871094
2010-05-12,41.43791961669922
2010-05-13,41.141929626464844
2010-05-14,40.510498046875
2010-05-17,39.879066467285156
2010-05-18,38.85297775268555
2010-05-19,38.3794059753418
2010-05-20,36.7613525390625
2010-05-21,37.33359146118164
2010-05-24,36.958675384521484
2010-05-25,37.17572784423828
2010-05-26,36.899478912353516
2010-05-27,38.77405548095703
2010-05-28,38.67538833618164
2010-06-01,37.925559997558594
2010-06-02,38.931915283203125
2010-06-03,39.28709411621094
2010-06-04,37.7085075378418
2010-06-07,37.35331726074219
2010-06-08,37.866363525390625
2010-06-09,37.45198440551758
2010-06-10,38.33993911743164
2010-06-11,38.478065490722656
2010-06-14,38.71485137939453
2010-06-15,39.54361343383789
2010-06-16,39.7212028503418
2010-06-17,39.52388000488281
2010-06-18,39.9579963684082
2010-06-21,39.839595794677734
2010-06-22,38.95164108276367
2010-06-23,38.931915283203125
2010-06-24,38.14262008666992
2010-06-25,38.655662536621094
2010-06-28,38.300472259521484
2010-06-29,36.91921615600586
2010-06-30,36.54430389404297
2010-07-01,36.52456283569336
2010-07-02,36.4850959777832
2010-07-06,36.66269302368164
2010-07-07,37.787437438964844
2010-07-08,37.96502685546875
2010-07-09,38.43860626220703
2010-07-12,38.75432205200195
2010-07-13,39.168697357177734
2010-07-14,39.070037841796875
2010-07-15,39.129234313964844
2010-07-16,37.925559997558594
2010-07-19,37.98475646972656
2010-07-20,38.69512176513672
2010-07-21,37.88609313964844
2010-07-22,38.734580993652344
2010-07-23,39.24763107299805
2010-07-26,39.504150390625
2010-07-27,40.37237548828125
2010-07-28,40.2934455871582
2010-07-29,40.39209747314453
2010-07-30,40.45130157470703
2010-08-02,41.10246658325195
2010-08-03,40.905147552490234
2010-08-04,41.141929626464844
2010-08-05,41.59577941894531
2010-08-06,41.28005599975586
2010-08-09,41.43791961669922
2010-08-10,41.02354431152344
2010-08-11,39.54361343383789
2010-08-12,39.44495391845703
2010-08-13,39.405487060546875
2010-08-16,39.38575744628906
2010-08-17,40.25397872924805
2010-08-18,40.668357849121094
2010-08-19,40.05665588378906
2010-08-20,39.60280990600586
2010-08-23,39.38575744628906
2010-08-24,38.53726577758789
2010-08-25,38.69512176513672
2010-08-26,38.734580993652344
2010-08-27,39.48441696166992
2010-08-30,39.14896774291992
2010-08-31,38.734580993652344
2010-09-01,39.91852569580078
2010-09-02,40.25397872924805
2010-09-03,40.806488037109375
2010-09-07,40.273712158203125
2010-09-08,40.68809127807617
2010-09-09,40.944610595703125
2010-09-10,41.06300354003906
2010-09-13,41.79309844970703
2010-09-14,42.049617767333984
2010-09-15,41.77336883544922
2010-09-16,41.16166687011719
2010-09-17,40.88541030883789
2010-09-20,41.220855712890625
2010-09-21,41.141929626464844
2010-09-22,41.141929626464844
2010-09-23,40.76701736450195
2010-09-24,41.59577941894531
2010-09-27,41.753631591796875
2010-09-28,42.10881042480469
