Date,GRID
2010-01-04,29.358299255371094
2010-01-05,29.56403350830078
2010-01-06,29.841339111328125
2010-01-07,29.850284576416016
2010-01-08,29.96657943725586
2010-01-11,29.841339111328125
2010-01-12,29.537200927734375
2010-01-13,29.850284576416016
2010-01-14,29.787668228149414
2010-01-15,28.98259925842285
2010-01-19,29.22411346435547
2010-01-20,28.562170028686523
2010-01-21,27.837604522705078
2010-01-22,26.898351669311523
2010-01-25,27.14882469177246
2010-01-26,26.987810134887695
2010-01-27,27.068317413330078
2010-01-28,26.513708114624023
2010-01-29,26.32585906982422
2010-02-01,26.73733901977539
2010-02-02,27.175661087036133
2010-02-03,26.880468368530273
2010-02-04,25.851760864257812
2010-02-05,25.610246658325195
2010-02-08,25.45816993713379
2010-02-09,25.932266235351562
2010-02-10,25.798091888427734
2010-02-11,26.13800621032715
2010-02-12,25.923324584960938
2010-02-16,26.299022674560547
2010-02-17,26.36163902282715
2010-02-18,26.83574104309082
2010-02-19,26.81785011291504
2010-02-22,26.782062530517578
2010-02-23,26.28113555908203
2010-02-24,26.343753814697266
2010-02-25,25.94121551513672
2010-02-26,26.003835678100586
2010-03-01,26.504758834838867
2010-03-02,26.773122787475586
2010-03-03,26.978866577148438
2010-03-04,26.9520263671875
2010-03-05,27.211437225341797
2010-03-08,27.265113830566406
2010-03-09,27.13093376159668
2010-03-10,27.318784713745117
2010-03-11,27.542415618896484
2010-03-12,27.631866455078125
2010-03-15,27.283000946044922
2010-03-16,27.587139129638672
2010-03-17,27.694480895996094
2010-03-18,27.605030059814453
2010-03-19,27.19354820251465
2010-03-22,27.51557731628418
2010-03-23,27.891277313232422
2010-03-24,27.51557731628418
2010-03-25,27.479793548583984
2010-03-26,27.542415618896484
2010-03-29,27.783939361572266
2010-03-30,27.613977432250977
2010-03-31,27.4976863861084
2010-04-01,27.783939361572266
2010-04-05,28.01651382446289
2010-04-06,28.21330451965332
2010-04-07,28.159635543823242
2010-04-08,28.320655822753906
2010-04-09,28.41010093688965
2010-04-12,28.44588279724121
2010-04-13,28.41010093688965
2010-04-14,28.508499145507812
2010-04-15,28.928926467895508
2010-04-16,28.31169891357422
2010-04-19,27.998620986938477
2010-04-20,28.696348190307617
2010-04-21,28.51744270324707
2010-04-22,28.51744270324707
2010-04-23,28.83052635192871
2010-04-26,28.750019073486328
2010-04-27,27.891277313232422
2010-04-28,27.792875289916992
2010-04-29,28.651622772216797
2010-04-30,28.383272171020508
2010-05-03,28.86630630493164
2010-05-04,27.53346824645996
2010-05-05,27.139883041381836
2010-05-06,25.959104537963867
2010-05-07,25.83386993408203
2010-05-10,27.20249366760254
2010-05-11,27.265113830566406
2010-05-12,27.95389175415039
2010-05-13,28.043350219726562
2010-05-14,27.211437225341797
2010-05-17,27.166709899902344
2010-05-18,26.791006088256836
2010-05-19,26.531599044799805
2010-05-20,25.30610466003418
2010-05-21,25.637073516845703
2010-05-24,25.332935333251953
2010-05-25,25.0288028717041
2010-05-26,25.216651916503906
2010-05-27,26.16484832763672
2010-05-28,25.8607120513916
2010-06-01,25.49394989013672
2010-06-02,25.994892120361328
2010-06-03,26.272192001342773
2010-06-04,25.27031898498535
2010-06-07,24.53680992126465
2010-06-08,24.366851806640625
2010-06-09,24.56364631652832
2010-06-10,25.449230194091797
2010-06-11,25.83386993408203
2010-06-14,25.994892120361328
2010-06-15,26.83574104309082
2010-06-16,26.889408111572266
2010-06-17,26.81785011291504
2010-06-18,26.782062530517578
2010-06-21,26.647884368896484
2010-06-22,26.304931640625
2010-06-23,26.170272827148438
2010-06-24,25.55080223083496
2010-06-25,25.89196014404297
2010-06-28,25.811159133911133
2010-06-29,24.679960250854492
2010-06-30,24.491418838500977
2010-07-01,24.66199493408203
2010-07-02,24.688940048217773
2010-07-06,25.06599998474121
2010-07-07,25.71240234375
2010-07-08,26.071517944335938
2010-07-09,26.304931640625
2010-07-12,26.06253433227539
2010-07-13,26.807697296142578
2010-07-14,26.79871368408203
2010-07-15,26.924406051635742
2010-07-16,25.802183151245117
2010-07-19,26.044584274291992
2010-07-20,26.11640167236328
2010-07-21,25.85604476928711
2010-07-22,27.157825469970703
2010-07-23,27.606718063354492
2010-07-26,28.02867317199707
2010-07-27,27.79524803161621
2010-07-28,27.355337142944336
2010-07-29,27.409202575683594
2010-07-30,27.849119186401367
2010-08-02,28.513473510742188
2010-08-03,28.19027328491211
2010-08-04,28.09151840209961
2010-08-05,27.956851959228516
2010-08-06,27.84014320373535
2010-08-09,28.118452072143555
2010-08-10,27.750368118286133
2010-08-11,26.457557678222656
2010-08-12,26.06253433227539
2010-08-13,25.918895721435547
2010-08-16,25.882978439331055
2010-08-17,26.67302131652832
2010-08-18,26.601200103759766
2010-08-19,25.92786979675293
2010-08-20,25.60466766357422
2010-08-23,25.63160514831543
2010-08-24,24.922353744506836
2010-08-25,24.877464294433594
2010-08-26,24.886445999145508
2010-08-27,25.568756103515625
2010-08-30,25.110891342163086
2010-08-31,25.057024002075195
2010-09-01,26.026626586914062
2010-09-02,26.224138259887695
2010-09-03,26.40369415283203
2010-09-07,25.981735229492188
2010-09-08,26.107425689697266
2010-09-09,26.18822479248047
2010-09-10,26.304931640625
2010-09-13,26.708940505981445
2010-09-14,26.762807846069336
2010-09-15,26.41266441345215
2010-09-16,26.278003692626953
2010-09-17,26.107425689697266
2010-09-20,26.690982818603516
2010-09-21,26.637115478515625
2010-09-22,26.529380798339844
2010-09-23,26.25107192993164
2010-09-24,26.897470474243164
2010-09-27,26.861562728881836
2010-09-28,27.04111671447754
