Date,PBD
2010-01-04,14.691625595092773
2010-01-05,14.924280166625977
2010-01-06,14.898428916931152
2010-01-07,14.898428916931152
2010-01-08,15.019062042236328
2010-01-11,15.070764541625977
2010-01-12,14.8036470413208
2010-01-13,14.91566276550293
2010-01-14,14.674396514892578
2010-01-15,14.407273292541504
2010-01-19,14.390040397644043
2010-01-20,14.028133392333984
2010-01-21,13.683462142944336
2010-01-22,13.183692932128906
2010-01-25,13.476659774780273
2010-01-26,13.338790893554688
2010-01-27,13.08890438079834
2010-01-28,12.968269348144531
2010-01-29,12.752849578857422
2010-02-01,12.994119644165039
2010-02-02,13.114755630493164
2010-02-03,13.114755630493164
2010-02-04,12.382328033447266
2010-02-05,12.382328033447266
2010-02-08,12.06350326538086
2010-02-09,12.45125961303711
2010-02-10,12.287543296813965
2010-02-11,12.546045303344727
2010-02-12,12.468496322631836
2010-02-16,12.735616683959961
2010-02-17,12.614980697631836
2010-02-18,12.735616683959961
2010-02-19,12.597743034362793
2010-02-22,12.597743034362793
2010-02-23,12.365094184875488
2010-02-24,12.408178329467773
2010-02-25,12.253074645996094
2010-02-26,12.278926849365234
2010-03-01,12.339241981506348
2010-03-02,12.356476783752441
2010-03-03,12.580513954162598
2010-03-04,12.55466365814209
2010-03-05,12.770081520080566
2010-03-08,12.718382835388184
2010-03-09,12.683917045593262
2010-03-10,12.873483657836914
2010-03-11,12.899334907531738
2010-03-12,12.93380355834961
2010-03-15,12.821784019470215
2010-03-16,12.890718460083008
2010-03-17,12.985505104064941
2010-03-18,12.907950401306152
2010-03-19,12.675299644470215
2010-03-22,12.709766387939453
2010-03-23,12.873483657836914
2010-03-24,12.709766387939453
2010-03-25,12.709766387939453
2010-03-26,12.804549217224121
2010-03-29,12.925185203552246
2010-03-30,12.804549217224121
2010-03-31,12.770081520080566
2010-04-01,12.9165678024292
2010-04-05,13.019970893859863
2010-04-06,13.019970893859863
2010-04-07,13.037205696105957
2010-04-08,13.037205696105957
2010-04-09,13.114755630493164
2010-04-12,13.19230842590332
2010-04-13,13.23538875579834
2010-04-14,13.40772533416748
2010-04-15,13.450807571411133
2010-04-16,13.037205696105957
2010-04-19,12.93380355834961
2010-04-20,13.097519874572754
2010-04-21,12.9165678024292
2010-04-22,12.951034545898438
2010-04-23,12.994119644165039
2010-04-26,12.959653854370117
2010-04-27,12.511580467224121
2010-04-28,12.485727310180664
2010-04-29,12.804549217224121
2010-04-30,12.580513954162598
2010-05-03,12.752849578857422
2010-05-04,12.184142112731934
2010-05-05,11.770537376403809
2010-05-06,11.244912147521973
2010-05-07,11.063959121704102
2010-05-10,11.779150009155273
2010-05-11,11.572351455688477
2010-05-12,11.805001258850098
2010-05-13,11.718835830688477
2010-05-14,11.356929779052734
2010-05-17,11.25352668762207
2010-05-18,10.900238990783691
2010-05-19,10.857159614562988
2010-05-20,10.40046501159668
2010-05-21,10.641738891601562
2010-05-24,10.391850471496582
2010-05-25,10.297064781188965
2010-05-26,10.236745834350586
2010-05-27,10.908858299255371
2010-05-28,10.753754615783691
2010-06-01,10.529717445373535
2010-06-02,10.796838760375977
2010-06-03,10.831306457519531
2010-06-04,10.40046501159668
2010-06-07,10.159195899963379
2010-06-08,10.167811393737793
2010-06-09,10.081643104553223
2010-06-10,10.564187049865723
2010-06-11,10.719286918640137
2010-06-14,10.78822135925293
2010-06-15,11.296610832214355
2010-06-16,11.175975799560547
2010-06-17,11.23629379272461
2010-06-18,11.201828002929688
2010-06-21,11.219060897827148
2010-06-22,11.02949333190918
2010-06-23,11.081194877624512
2010-06-24,10.900238990783691
2010-06-25,10.951940536499023
2010-06-28,10.78822135925293
2010-06-29,10.348762512207031
2010-06-30,10.279829978942871
2010-07-01,10.365996360778809
2010-07-02,10.443548202514648
2010-07-06,10.684820175170898
2010-07-07,11.081194877624512
2010-07-08,11.262145042419434
2010-07-09,11.313846588134766
2010-07-12,11.141510009765625
2010-07-13,11.356929779052734
2010-07-14,11.305228233337402
2010-07-15,11.365543365478516
2010-07-16,11.02949333190918
2010-07-19,11.098428726196289
2010-07-20,11.270759582519531
2010-07-21,11.02949333190918
2010-07-22,11.468949317932129
2010-07-23,11.649898529052734
2010-07-26,11.761916160583496
2010-07-27,11.675747871398926
2010-07-28,11.58096694946289
2010-07-29,11.615432739257812
2010-07-30,11.48618221282959
2010-08-02,11.74468994140625
2010-08-03,11.684370040893555
2010-08-04,11.727449417114258
2010-08-05,11.74468994140625
2010-08-06,11.770537376403809
2010-08-09,11.899789810180664
2010-08-10,11.710216522216797
2010-08-11,11.150124549865723
2010-08-12,11.055339813232422
2010-08-13,11.012256622314453
2010-08-16,11.063959121704102
2010-08-17,11.313846588134766
2010-08-18,11.227677345275879
2010-08-19,10.943323135375977
2010-08-20,10.762369155883789
2010-08-23,10.658967971801758
2010-08-24,10.503865242004395
2010-08-25,10.512482643127441
2010-08-26,10.4866361618042
2010-08-27,10.770988464355469
2010-08-30,10.57280158996582
2010-08-31,10.615884780883789
2010-09-01,10.995024681091309
2010-09-02,11.193208694458008
2010-09-03,11.287996292114258
2010-09-07,11.038106918334961
2010-09-08,11.115660667419434
2010-09-09,11.227677345275879
2010-09-10,11.184592247009277
2010-09-13,11.408629417419434
2010-09-14,11.494797706604004
2010-09-15,11.460332870483398
2010-09-16,11.468949317932129
2010-09-17,11.434483528137207
2010-09-20,11.546497344970703
2010-09-21,11.589584350585938
2010-09-22,11.589584350585938
2010-09-23,11.477564811706543
2010-09-24,11.813616752624512
2010-09-27,11.692984580993652
2010-09-28,11.8480863571167
