Date,HAP
2010-01-04,27.706674575805664
2010-01-05,27.986385345458984
2010-01-06,28.33002471923828
2010-01-07,28.37796974182129
2010-01-08,28.56177520751953
2010-01-11,28.68964195251465
2010-01-12,28.018348693847656
2010-01-13,28.24211311340332
2010-01-14,28.186172485351562
2010-01-15,27.81056785583496
2010-01-19,28.114246368408203
2010-01-20,27.442960739135742
2010-01-21,26.579872131347656
2010-01-22,26.100379943847656
2010-01-25,26.140335083007812
2010-01-26,26.052431106567383
2010-01-27,25.716787338256836
2010-01-28,25.317209243774414
2010-01-29,24.87767219543457
2010-02-01,25.62887954711914
2010-02-02,25.924564361572266
2010-02-03,25.852642059326172
2010-02-04,24.701862335205078
2010-02-05,24.597972869873047
2010-02-08,24.374208450317383
2010-02-09,24.94959831237793
2010-02-10,24.885665893554688
2010-02-11,25.540971755981445
2010-02-12,25.373149871826172
2010-02-16,26.084396362304688
2010-02-17,26.124353408813477
2010-02-18,26.316152572631836
2010-02-19,26.116365432739258
2010-02-22,26.116365432739258
2010-02-23,25.58892250061035
2010-02-24,25.556957244873047
2010-02-25,25.556957244873047
2010-02-26,25.668834686279297
2010-03-01,25.956531524658203
2010-03-02,26.340126037597656
2010-03-03,26.51594352722168
2010-03-04,26.49197006225586
2010-03-05,26.947490692138672
2010-03-08,26.947490692138672
2010-03-09,26.779661178588867
2010-03-10,27.04338264465332
2010-03-11,26.899534225463867
2010-03-12,27.107316970825195
2010-03-15,26.803638458251953
2010-03-16,27.16325569152832
2010-03-17,27.299116134643555
2010-03-18,27.1392822265625
2010-03-19,26.86756706237793
2010-03-22,26.931501388549805
2010-03-23,27.09133529663086
2010-03-24,26.755687713623047
2010-03-25,26.46000099182129
2010-03-26,26.63581657409668
2010-03-29,27.02739715576172
2010-03-30,27.08333969116211
2010-03-31,27.115304946899414
2010-04-01,27.442960739135742
2010-04-05,27.746639251708984
2010-04-06,27.77860450744629
2010-04-07,27.522871017456055
2010-04-08,27.594797134399414
2010-04-09,27.962413787841797
2010-04-12,27.850526809692383
2010-04-13,27.674711227416992
2010-04-14,27.8425350189209
2010-04-15,27.858522415161133
2010-04-16,27.299116134643555
2010-04-19,27.171249389648438
2010-04-20,27.51487922668457
2010-04-21,27.395009994506836
2010-04-22,27.35504913330078
2010-04-23,27.498897552490234
2010-04-26,27.50689125061035
2010-04-27,26.64380645751953
2010-04-28,26.739702224731445
2010-04-29,26.979454040527344
2010-04-30,26.707738876342773
2010-05-03,26.723718643188477
2010-05-04,25.796703338623047
2010-05-05,25.429088592529297
2010-05-06,24.11048698425293
2010-05-07,24.286300659179688
2010-05-10,25.49302101135254
2010-05-11,25.41310691833496
2010-05-12,25.636873245239258
2010-05-13,25.38114356994629
2010-05-14,24.8616886138916
2010-05-17,24.589977264404297
2010-05-18,24.174419403076172
2010-05-19,23.84676742553711
2010-05-20,22.791881561279297
2010-05-21,23.327316284179688
2010-05-24,23.031625747680664
2010-05-25,22.85581398010254
2010-05-26,22.8238468170166
2010-05-27,23.926679611206055
2010-05-28,23.623001098632812
2010-06-01,22.943721771240234
2010-06-02,23.75885772705078
2010-06-03,23.694927215576172
2010-06-04,22.791881561279297
2010-06-07,22.592092514038086
2010-06-08,22.975685119628906
2010-06-09,22.807865142822266
2010-06-10,23.774843215942383
2010-06-11,23.886722564697266
2010-06-14,23.91868782043457
2010-06-15,24.526046752929688
2010-06-16,24.566001892089844
2010-06-17,24.58198356628418
2010-06-18,24.510061264038086
2010-06-21,24.558012008666992
2010-06-22,24.11847686767578
2010-06-23,24.182409286499023
2010-06-24,23.654964447021484
2010-06-25,23.822790145874023
2010-06-28,23.583045959472656
2010-06-29,22.687990188598633
2010-06-30,22.4642276763916
2010-07-01,22.40029525756836
2010-07-02,22.512178421020508
2010-07-06,22.576108932495117
2010-07-07,23.311330795288086
2010-07-08,23.630990982055664
2010-07-09,23.886722564697266
2010-07-12,23.814800262451172
2010-07-13,24.190401077270508
2010-07-14,24.134464263916016
2010-07-15,24.326255798339844
2010-07-16,23.79082489013672
2010-07-19,23.79881477355957
2010-07-20,24.294294357299805
2010-07-21,24.04655647277832
2010-07-22,24.58198356628418
2010-07-23,24.86968231201172
2010-07-26,24.941606521606445
2010-07-27,24.821731567382812
2010-07-28,24.645919799804688
2010-07-29,24.81374168395996
2010-07-30,24.893657684326172
2010-08-02,25.668834686279297
2010-08-03,25.604907989501953
2010-08-04,25.86862564086914
2010-08-05,25.996492385864258
2010-08-06,25.996492385864258
2010-08-09,26.092390060424805
2010-08-10,25.8206787109375
2010-08-11,24.893657684326172
2010-08-12,25.037506103515625
2010-08-13,24.981563568115234
2010-08-16,25.07746124267578
2010-08-17,25.8206787109375
2010-08-18,25.8206787109375
2010-08-19,25.397127151489258
2010-08-20,25.181350708007812
2010-08-23,25.117422103881836
2010-08-24,24.62993621826172
2010-08-25,24.63793182373047
2010-08-26,24.550020217895508
2010-08-27,25.173358917236328
2010-08-30,24.821731567382812
2010-08-31,24.74980926513672
2010-09-01,25.5809268951416
2010-09-02,25.84465217590332
2010-09-03,26.020465850830078
2010-09-07,25.74875259399414
2010-09-08,25.98050308227539
2010-09-09,26.028457641601562
2010-09-10,26.276193618774414
2010-09-13,26.63581657409668
2010-09-14,26.71573257446289
2010-09-15,26.62782096862793
2010-09-16,26.691753387451172
2010-09-17,26.595855712890625
2010-09-20,26.86756706237793
2010-09-21,26.76367950439453
2010-09-22,26.82761001586914
2010-09-23,26.531925201416016
2010-09-24,27.075347900390625
2010-09-27,26.995431900024414
2010-09-28,27.147274017333984
