Date,VTV
2010-01-04,37.25771713256836
2010-01-05,37.380516052246094
2010-01-06,37.50330352783203
2010-01-07,37.710487365722656
2010-01-08,37.74885559082031
2010-01-11,37.9100341796875
2010-01-12,37.52631378173828
2010-01-13,37.86397933959961
2010-01-14,37.93304443359375
2010-01-15,37.50330352783203
2010-01-19,37.98676300048828
2010-01-20,37.68746566772461
2010-01-21,36.88169479370117
2010-01-22,36.152652740478516
2010-01-25,36.33684158325195
2010-01-26,36.12963104248047
2010-01-27,36.27543258666992
2010-01-28,35.99917221069336
2010-01-29,35.74592208862305
2010-02-01,36.221710205078125
2010-02-02,36.78960418701172
2010-02-03,36.49797821044922
2010-02-04,35.339202880859375
2010-02-05,35.369903564453125
2010-02-08,35.03223419189453
2010-02-09,35.47733688354492
2010-02-10,35.44664764404297
2010-02-11,35.74592208862305
2010-02-12,35.70755386352539
2010-02-16,36.30613708496094
2010-02-17,36.42892074584961
2010-02-18,36.6514778137207
2010-02-19,36.74356460571289
2010-02-22,36.77425003051758
2010-02-23,36.35984802246094
2010-02-24,36.71286392211914
2010-02-25,36.60541915893555
2010-02-26,36.682167053222656
2010-03-01,36.958438873291016
2010-03-02,37.07354736328125
2010-03-03,37.042850494384766
2010-03-04,37.18098068237305
2010-03-05,37.725833892822266
2010-03-08,37.7949104309082
2010-03-09,37.85630416870117
2010-03-10,38.032806396484375
2010-03-11,38.17860794067383
2010-03-12,38.14023971557617
2010-03-15,38.15558624267578
2010-03-16,38.52394104003906
2010-03-17,38.78487777709961
2010-03-18,38.70811462402344
2010-03-19,38.54697799682617
2010-03-22,38.69277572631836
2010-03-23,39.0457878112793
2010-03-24,38.88462829589844
2010-03-25,38.76890563964844
2010-03-26,38.77662658691406
2010-03-29,39.046653747558594
2010-03-30,39.0003547668457
2010-03-31,38.93864059448242
2010-04-01,39.278106689453125
2010-04-05,39.61757278442383
2010-04-06,39.717872619628906
2010-04-07,39.46327209472656
2010-04-08,39.5712890625
2010-04-09,39.85674285888672
2010-04-12,39.94932556152344
2010-04-13,39.94932556152344
2010-04-14,40.419960021972656
2010-04-15,40.45082092285156
2010-04-16,39.68700408935547
2010-04-19,39.864463806152344
2010-04-20,40.27335739135742
2010-04-21,40.15763473510742
2010-04-22,40.24250411987305
2010-04-23,40.543392181396484
2010-04-26,40.35051345825195
2010-04-27,39.36297607421875
2010-04-28,39.74102020263672
2010-04-29,40.26565933227539
2010-04-30,39.632991790771484
2010-05-03,40.173065185546875
2010-05-04,39.278106689453125
2010-05-05,39.00806427001953
2010-05-06,37.634769439697266
2010-05-07,37.19498825073242
2010-05-10,38.80747985839844
2010-05-11,38.72260665893555
2010-05-12,39.20866775512695
2010-05-13,38.74575424194336
2010-05-14,38.059104919433594
2010-05-17,38.059104919433594
2010-05-18,37.50360870361328
2010-05-19,37.32615661621094
2010-05-20,35.85255813598633
2010-05-21,36.43120193481445
2010-05-24,35.87569808959961
2010-05-25,35.9219970703125
2010-05-26,35.7754020690918
2010-05-27,36.986690521240234
2010-05-28,36.55463409423828
2010-06-01,35.85255813598633
2010-06-02,36.77067184448242
2010-06-03,36.863250732421875
2010-06-04,35.58251953125
2010-06-07,35.1273193359375
2010-06-08,35.628814697265625
2010-06-09,35.428218841552734
2010-06-10,36.492916107177734
2010-06-11,36.63179016113281
2010-06-14,36.58549499511719
2010-06-15,37.38016891479492
2010-06-16,37.32615661621094
2010-06-17,37.418739318847656
2010-06-18,37.480472564697266
2010-06-21,37.349300384521484
2010-06-22,36.70122528076172
2010-06-23,36.55463409423828
2010-06-24,35.962127685546875
2010-06-25,36.17957305908203
2010-06-28,36.07085037231445
2010-06-29,35.014739990234375
2010-06-30,34.6652946472168
2010-07-01,34.48667526245117
2010-07-02,34.30030059814453
2010-07-06,34.49443817138672
2010-07-07,35.59715270996094
2010-07-08,35.962127685546875
2010-07-09,36.27275085449219
2010-07-12,36.249446868896484
2010-07-13,36.83185958862305
2010-07-14,36.70760726928711
2010-07-15,36.76974105834961
2010-07-16,35.66704177856445
2010-07-19,35.89999771118164
2010-07-20,36.19509506225586
2010-07-21,35.72140121459961
2010-07-22,36.52125930786133
2010-07-23,36.83185958862305
2010-07-26,37.34438705444336
2010-07-27,37.35992431640625
2010-07-28,37.072601318359375
2010-07-29,36.971641540527344
2010-07-30,36.96388244628906
2010-08-02,37.8103141784668
2010-08-03,37.61617660522461
2010-08-04,37.85691452026367
2010-08-05,37.818092346191406
2010-08-06,37.63172149658203
2010-08-09,37.849151611328125
2010-08-10,37.639488220214844
2010-08-11,36.56783676147461
2010-08-12,36.4591178894043
2010-08-13,36.34263229370117
2010-08-16,36.303810119628906
2010-08-17,36.7231559753418
2010-08-18,36.76974105834961
2010-08-19,36.10190200805664
2010-08-20,35.90776824951172
2010-08-23,35.830116271972656
2010-08-24,35.37194061279297
2010-08-25,35.46513366699219
2010-08-26,35.23215866088867
2010-08-27,35.837886810302734
2010-08-30,35.30205535888672
2010-08-31,35.395240783691406
2010-09-01,36.43582534790039
2010-09-02,36.73868942260742
2010-09-03,37.212364196777344
2010-09-07,36.7231559753418
2010-09-08,36.95612716674805
2010-09-09,37.243431091308594
2010-09-10,37.39875411987305
2010-09-13,37.833614349365234
2010-09-14,37.76372528076172
2010-09-15,37.84137725830078
2010-09-16,37.755958557128906
2010-09-17,37.732662200927734
2010-09-20,38.33060836791992
2010-09-21,38.221893310546875
2010-09-22,37.965633392333984
2010-09-23,37.53853988647461
2010-09-24,38.286746978759766
2010-09-27,38.08346939086914
2010-09-28,38.2789306640625
