Date,IYT
2010-01-04,65.74433135986328
2010-01-05,66.3108901977539
2010-01-06,66.0718765258789
2010-01-07,65.85941314697266
2010-01-08,67.15180206298828
2010-01-11,67.73605346679688
2010-01-12,67.1783676147461
2010-01-13,67.2226333618164
2010-01-14,67.2757339477539
2010-01-15,66.45249938964844
2010-01-19,66.69149780273438
2010-01-20,66.10725402832031
2010-01-21,65.2220458984375
2010-01-22,63.8499755859375
2010-01-25,64.04473876953125
2010-01-26,63.9473762512207
2010-01-27,64.16864776611328
2010-01-28,62.79659652709961
2010-01-29,62.02643966674805
2010-02-01,63.06216049194336
2010-02-02,63.593265533447266
2010-02-03,62.87626266479492
2010-02-04,60.928802490234375
2010-02-05,61.0881233215332
2010-02-08,60.68095397949219
2010-02-09,61.743194580078125
2010-02-10,61.62811279296875
2010-02-11,62.67265319824219
2010-02-12,62.67265319824219
2010-02-16,63.8322868347168
2010-02-17,64.02705383300781
2010-02-18,64.02705383300781
2010-02-19,64.8060073852539
2010-02-22,65.38139343261719
2010-02-23,65.14237213134766
2010-02-24,65.46107482910156
2010-02-25,65.88597106933594
2010-02-26,66.39053344726562
2010-03-01,66.70921325683594
2010-03-02,66.39939880371094
2010-03-03,66.42594146728516
2010-03-04,66.67378234863281
2010-03-05,67.1872329711914
2010-03-08,67.53244018554688
2010-03-09,68.36456298828125
2010-03-10,68.78057098388672
2010-03-11,69.29399871826172
2010-03-12,69.32054901123047
2010-03-15,69.50648498535156
2010-03-16,70.10841369628906
2010-03-17,70.23231506347656
2010-03-18,70.91397094726562
2010-03-19,70.25003051757812
2010-03-22,70.30316162109375
2010-03-23,70.7192153930664
2010-03-24,69.92250061035156
2010-03-25,69.58767700195312
2010-03-26,69.65870666503906
2010-03-29,70.16495513916016
2010-03-30,70.38700103759766
2010-03-31,70.24488830566406
2010-04-01,70.3958969116211
2010-04-05,70.76004028320312
2010-04-06,70.99989318847656
2010-04-07,70.52912139892578
2010-04-08,71.390625
2010-04-09,72.1633529663086
2010-04-12,72.41203308105469
2010-04-13,72.66069793701172
2010-04-14,74.43704986572266
2010-04-15,75.69823455810547
2010-04-16,74.4903335571289
2010-04-19,73.91302490234375
2010-04-20,74.5525131225586
2010-04-21,74.76566314697266
2010-04-22,75.36963653564453
2010-04-23,76.02686309814453
2010-04-26,76.19562530517578
2010-04-27,74.43704986572266
2010-04-28,74.62354278564453
2010-04-29,76.23114776611328
2010-04-30,74.925537109375
2010-05-03,76.87950134277344
2010-05-04,74.09955596923828
2010-05-05,73.14920806884766
2010-05-06,70.71562194824219
2010-05-07,69.01924133300781
2010-05-10,72.71401977539062
2010-05-11,73.09591674804688
2010-05-12,74.65022277832031
2010-05-13,73.44230651855469
2010-05-14,72.17223358154297
2010-05-17,72.02123260498047
2010-05-18,71.02650451660156
2010-05-19,70.35149383544922
2010-05-20,67.011962890625
2010-05-21,68.06890106201172
2010-05-24,67.55377197265625
2010-05-25,67.60708618164062
2010-05-26,68.24652862548828
2010-05-27,70.44029235839844
2010-05-28,69.93406677246094
2010-06-01,68.25543975830078
2010-06-02,70.27154541015625
2010-06-03,70.49360656738281
2010-06-04,66.9942398071289
2010-06-07,65.05801391601562
2010-06-08,65.79520416259766
2010-06-09,65.9284439086914
2010-06-10,68.66397857666016
2010-06-11,69.50772857666016
2010-06-14,69.88078308105469
2010-06-15,71.93242645263672
2010-06-16,71.16863250732422
2010-06-17,71.26629638671875
2010-06-18,71.3995132446289
2010-06-21,71.30181884765625
2010-06-22,68.62845611572266
2010-06-23,68.66397857666016
2010-06-24,67.71961975097656
2010-06-25,68.22792053222656
2010-06-28,67.72853088378906
2010-06-29,64.99978637695312
2010-06-30,64.52715301513672
2010-07-01,64.7590103149414
2010-07-02,63.269775390625
2010-07-06,62.886329650878906
2010-07-07,65.26728057861328
2010-07-08,66.24823760986328
2010-07-09,67.02404022216797
2010-07-12,67.05970764160156
2010-07-13,68.37950897216797
2010-07-14,68.9413070678711
2010-07-15,68.45977020263672
2010-07-16,66.39091491699219
2010-07-19,66.52467346191406
2010-07-20,67.70175170898438
2010-07-21,66.68518829345703
2010-07-22,69.2088394165039
2010-07-23,70.27003479003906
2010-07-26,72.21403503417969
2010-07-27,71.20638275146484
2010-07-28,71.2509536743164
2010-07-29,71.12608337402344
2010-07-30,71.11719512939453
2010-08-02,72.54400634765625
2010-08-03,71.50955963134766
2010-08-04,72.6420669555664
2010-08-05,72.36564636230469
2010-08-06,71.8216552734375
2010-08-09,72.82044219970703
2010-08-10,71.71468353271484
2010-08-11,68.78077697753906
2010-08-12,68.37950897216797
2010-08-13,67.8712158203125
2010-08-16,67.79093933105469
2010-08-17,69.29801940917969
2010-08-18,69.65470886230469
2010-08-19,68.12982177734375
2010-08-20,67.92473602294922
2010-08-23,67.23806762695312
2010-08-24,65.86478424072266
2010-08-25,66.05204772949219
2010-08-26,66.17687225341797
2010-08-27,67.60369110107422
2010-08-30,66.50682830810547
2010-08-31,66.56031799316406
2010-09-01,69.13751220703125
2010-09-02,70.0381851196289
2010-09-03,70.82289123535156
2010-09-07,70.17194366455078
2010-09-08,71.05475616455078
2010-09-09,70.88533020019531
2010-09-10,71.0904541015625
2010-09-13,71.7592544555664
2010-09-14,71.8484115600586
2010-09-15,72.31212615966797
2010-09-16,71.51847076416016
2010-09-17,71.6344223022461
2010-09-20,72.2675552368164
2010-09-21,72.86502838134766
2010-09-22,72.24080657958984
2010-09-23,70.84342956542969
2010-09-24,72.85631561279297
2010-09-27,72.88314056396484
2010-09-28,73.12466430664062
