Date,FAN
2010-01-04,12.191146850585938
2010-01-05,12.254932403564453
2010-01-06,12.278849601745605
2010-01-07,12.35061264038086
2010-01-08,12.573864936828613
2010-01-11,12.77319622039795
2010-01-12,12.494132995605469
2010-01-13,12.58183765411377
2010-01-14,12.462237358093262
2010-01-15,12.254932403564453
2010-01-19,12.254932403564453
2010-01-20,11.840322494506836
2010-01-21,11.45760440826416
2010-01-22,11.202458381652832
2010-01-25,11.393817901611328
2010-01-26,11.29016399383545
2010-01-27,11.23435115814209
2010-01-28,11.098804473876953
2010-01-29,10.883527755737305
2010-02-01,11.042993545532227
2010-02-02,11.170565605163574
2010-02-03,11.114753723144531
2010-02-04,10.38918399810791
2010-02-05,10.333372116088867
2010-02-08,10.221745491027832
2010-02-09,10.596491813659668
2010-02-10,10.540678024291992
2010-02-11,10.620409965515137
2010-02-12,10.452971458435059
2010-02-16,10.676223754882812
2010-02-17,10.620409965515137
2010-02-18,10.724061012268066
2010-02-19,10.676223754882812
2010-02-22,10.636357307434082
2010-02-23,10.468918800354004
2010-02-24,10.476888656616211
2010-02-25,10.413104057312012
2010-02-26,10.421077728271484
2010-03-01,10.38918399810791
2010-03-02,10.405131340026855
2010-03-03,10.62838363647461
2010-03-04,10.620409965515137
2010-03-05,10.795822143554688
2010-03-08,10.787848472595215
2010-03-09,10.75595474243164
2010-03-10,10.81177043914795
2010-03-11,10.915421485900879
2010-03-12,10.85163688659668
2010-03-15,10.795822143554688
2010-03-16,10.883527755737305
2010-03-17,10.891499519348145
2010-03-18,10.85163688659668
2010-03-19,10.660276412963867
2010-03-22,10.612436294555664
2010-03-23,10.700141906738281
2010-03-24,10.540678024291992
2010-03-25,10.524727821350098
2010-03-26,10.620409965515137
2010-03-29,10.70811653137207
2010-03-30,10.620409965515137
2010-03-31,10.604462623596191
2010-04-01,10.732036590576172
2010-04-05,10.779874801635742
2010-04-06,10.732036590576172
2010-04-07,10.747981071472168
2010-04-08,10.771903038024902
2010-04-09,10.915421485900879
2010-04-12,10.971237182617188
2010-04-13,11.027045249938965
2010-04-14,11.154620170593262
2010-04-15,11.098804473876953
2010-04-16,10.915421485900879
2010-04-19,10.81177043914795
2010-04-20,10.859607696533203
2010-04-21,10.763931274414062
2010-04-22,10.668248176574707
2010-04-23,10.700141906738281
2010-04-26,10.644330024719238
2010-04-27,10.19782543182373
2010-04-28,10.189851760864258
2010-04-29,10.309452056884766
2010-04-30,10.285530090332031
2010-05-03,10.34134578704834
2010-05-04,9.870920181274414
2010-05-05,9.607802391052246
2010-05-06,9.08953857421875
2010-05-07,9.04967212677002
2010-05-10,9.528069496154785
2010-05-11,9.46428108215332
2010-05-12,9.607802391052246
2010-05-13,9.440363883972168
2010-05-14,9.217111587524414
2010-05-17,9.129401206970215
2010-05-18,8.938048362731934
2010-05-19,8.969941139221191
2010-05-20,8.547356605529785
2010-05-21,8.794527053833008
2010-05-24,8.579248428344727
2010-05-25,8.395866394042969
2010-05-26,8.332077980041504
2010-05-27,8.818449020385742
2010-05-28,8.595196723937988
2010-06-01,8.41978645324707
2010-06-02,8.698847770690918
2010-06-03,8.65101146697998
2010-06-04,8.236400604248047
2010-06-07,8.108827590942383
2010-06-08,8.148691177368164
2010-06-09,8.053014755249023
2010-06-10,8.41978645324707
2010-06-11,8.499517440795898
2010-06-14,8.507490158081055
2010-06-15,8.810478210449219
2010-06-16,8.682903289794922
2010-06-17,8.595196723937988
2010-06-18,8.635062217712402
2010-06-21,8.65101146697998
2010-06-22,8.451581001281738
2010-06-23,8.572200775146484
2010-06-24,8.379207611083984
2010-06-25,8.395292282104492
2010-06-28,8.226418495178223
2010-06-29,7.904760360717773
2010-06-30,7.872594356536865
2010-07-01,8.017339706420898
2010-07-02,8.033426284790039
2010-07-06,8.290753364562988
2010-07-07,8.564159393310547
2010-07-08,8.60436725616455
2010-07-09,8.62849235534668
2010-07-12,8.507872581481934
2010-07-13,8.612408638000488
2010-07-14,8.660658836364746
2010-07-15,8.80540657043457
2010-07-16,8.491789817810059
2010-07-19,8.5400390625
2010-07-20,8.676742553710938
2010-07-21,8.419415473937988
2010-07-22,8.79736614227295
2010-07-23,8.934067726135254
2010-07-26,8.982319831848145
2010-07-27,8.9581937789917
2010-07-28,8.893863677978516
2010-07-29,8.90190315246582
2010-07-30,8.773239135742188
2010-08-02,8.974275588989258
2010-08-03,8.893863677978516
2010-08-04,9.006441116333008
2010-08-05,8.998398780822754
2010-08-06,9.046649932861328
2010-08-09,9.06273078918457
2010-08-10,9.006441116333008
2010-08-11,8.564159393310547
2010-08-12,8.483747482299805
2010-08-13,8.467662811279297
2010-08-16,8.451581001281738
2010-08-17,8.588287353515625
2010-08-18,8.330958366394043
2010-08-19,8.06558895111084
2010-08-20,7.904760360717773
2010-08-23,7.872594356536865
2010-08-24,7.711764812469482
2010-08-25,7.655478000640869
2010-08-26,7.687641143798828
2010-08-27,7.808262825012207
2010-08-30,7.711764812469482
2010-08-31,7.760015487670898
2010-09-01,7.969092845916748
2010-09-02,8.057550430297852
2010-09-03,8.073634147644043
2010-09-07,7.944972038269043
2010-09-08,7.9932169914245605
2010-09-09,8.025382041931152
2010-09-10,8.025382041931152
2010-09-13,8.16208553314209
2010-09-14,8.21033763885498
2010-09-15,8.202295303344727
2010-09-16,8.186213493347168
2010-09-17,8.10579776763916
2010-09-20,8.16208553314209
2010-09-21,8.154048919677734
2010-09-22,8.16208553314209
2010-09-23,8.017339706420898
2010-09-24,8.24250316619873
2010-09-27,8.194252014160156
2010-09-28,8.322918891906738
