Date,PXJ
2010-01-04,15.610212326049805
2010-01-05,15.867133140563965
2010-01-06,16.14177131652832
2010-01-07,16.10633659362793
2010-01-08,16.389835357666016
2010-01-11,16.203786849975586
2010-01-12,15.822833061218262
2010-01-13,15.9734468460083
2010-01-14,16.035465240478516
2010-01-15,15.840554237365723
2010-01-19,16.04432487487793
2010-01-20,15.725384712219238
2010-01-21,15.415301322937012
2010-01-22,14.830586433410645
2010-01-25,14.954619407653809
2010-01-26,14.866024017333984
2010-01-27,14.883740425109863
2010-01-28,14.564805030822754
2010-01-29,14.281306266784668
2010-02-01,14.688836097717285
2010-02-02,14.839444160461426
2010-02-03,14.777430534362793
2010-02-04,14.033243179321289
2010-02-05,13.92693042755127
2010-02-08,13.802900314331055
2010-02-09,14.139554023742676
2010-02-10,14.183853149414062
2010-02-11,14.449631690979004
2010-02-12,14.369897842407227
2010-02-16,14.706555366516113
2010-02-17,14.768568992614746
2010-02-18,14.919179916381836
2010-02-19,15.034353256225586
2010-02-22,14.92803955078125
2010-02-23,14.591382026672363
2010-02-24,14.60910415649414
2010-02-25,14.777430534362793
2010-02-26,14.653400421142578
2010-03-01,14.839444160461426
2010-03-02,14.97233772277832
2010-03-03,15.238116264343262
2010-03-04,15.131805419921875
2010-03-05,15.291272163391113
2010-03-08,15.353289604187012
2010-03-09,15.344429969787598
2010-03-10,15.424165725708008
2010-03-11,15.32671070098877
2010-03-12,15.397589683532715
2010-03-15,15.18496322631836
2010-03-16,15.37100601196289
2010-03-17,15.548192977905273
2010-03-18,15.105225563049316
2010-03-19,14.750853538513184
2010-03-22,14.839444160461426
2010-03-23,14.990057945251465
2010-03-24,14.874882698059082
2010-03-25,14.396476745605469
2010-03-26,14.316741943359375
2010-03-29,14.582524299621582
2010-03-30,14.671117782592773
2010-03-31,14.75971508026123
2010-04-01,15.140665054321289
2010-04-05,15.46845817565918
2010-04-06,15.654508590698242
2010-04-07,15.477317810058594
2010-04-08,15.503898620605469
2010-04-09,15.565913200378418
2010-04-12,15.619072914123535
2010-04-13,15.477317810058594
2010-04-14,15.840554237365723
2010-04-15,15.902570724487305
2010-04-16,15.610212326049805
2010-04-19,15.512758255004883
2010-04-20,16.07975959777832
2010-04-21,16.186073303222656
2010-04-22,16.487289428710938
2010-04-23,16.832807540893555
2010-04-26,16.770788192749023
2010-04-27,16.09747886657715
2010-04-28,16.310100555419922
2010-04-29,16.398696899414062
2010-04-30,15.946868896484375
2010-05-03,16.194929122924805
2010-05-04,15.610212326049805
2010-05-05,15.273554801940918
2010-05-06,14.60910415649414
2010-05-07,13.891494750976562
2010-05-10,14.679974555969238
2010-05-11,14.715415954589844
2010-05-12,15.202682495117188
2010-05-13,15.060929298400879
2010-05-14,14.679974555969238
2010-05-17,14.405339241027832
2010-05-18,14.183853149414062
2010-05-19,13.900352478027344
2010-05-20,13.067573547363281
2010-05-21,13.439664840698242
2010-05-24,13.067573547363281
2010-05-25,13.200460433959961
2010-05-26,13.404228210449219
2010-05-27,14.006668090820312
2010-05-28,13.4662446975708
2010-06-01,12.323384284973145
2010-06-02,12.952402114868164
2010-06-03,13.138446807861328
2010-06-04,12.757494926452637
2010-06-07,12.482852935791016
2010-06-08,12.6511812210083
2010-06-09,12.668900489807129
2010-06-10,13.510540962219238
2010-06-11,13.616852760314941
2010-06-14,13.554839134216309
2010-06-15,14.112979888916016
2010-06-16,14.095258712768555
2010-06-17,14.050963401794434
2010-06-18,14.219292640686035
2010-06-21,14.068679809570312
2010-06-22,13.590275764465332
2010-06-23,13.492820739746094
2010-06-24,13.173884391784668
2010-06-25,13.404228210449219
2010-06-28,13.280197143554688
2010-06-29,12.784073829650879
2010-06-30,12.792930603027344
2010-07-01,12.83722972869873
2010-07-02,12.987838745117188
2010-07-06,12.987838745117188
2010-07-07,13.545978546142578
2010-07-08,13.785183906555176
2010-07-09,13.838336944580078
2010-07-12,13.687728881835938
2010-07-13,13.900352478027344
2010-07-14,13.92693042755127
2010-07-15,13.944648742675781
2010-07-16,13.45738410949707
2010-07-19,13.705446243286133
2010-07-20,14.183853149414062
2010-07-21,14.006668090820312
2010-07-22,14.352180480957031
2010-07-23,14.529369354248047
2010-07-26,14.688836097717285
2010-07-27,14.564805030822754
2010-07-28,14.431914329528809
2010-07-29,14.564805030822754
2010-07-30,14.573664665222168
2010-08-02,15.016633033752441
2010-08-03,14.919179916381836
2010-08-04,15.016633033752441
2010-08-05,14.830586433410645
2010-08-06,14.644538879394531
2010-08-09,14.697697639465332
2010-08-10,14.50279426574707
2010-08-11,13.873773574829102
2010-08-12,13.785183906555176
2010-08-13,13.740884780883789
2010-08-16,13.802900314331055
2010-08-17,14.183853149414062
2010-08-18,14.050963401794434
2010-08-19,13.732024192810059
2010-08-20,13.519401550292969
2010-08-23,13.475101470947266
2010-08-24,13.377650260925293
2010-08-25,13.324493408203125
2010-08-26,13.22704029083252
2010-08-27,13.749743461608887
2010-08-30,13.563697814941406
2010-08-31,13.44852352142334
2010-09-01,14.024385452270508
2010-09-02,14.174993515014648
2010-09-03,14.307884216308594
2010-09-07,14.121835708618164
2010-09-08,14.245869636535645
2010-09-09,14.334461212158203
2010-09-10,14.688836097717285
2010-09-13,14.883740425109863
2010-09-14,14.804008483886719
2010-09-15,14.919179916381836
2010-09-16,14.741992950439453
2010-09-17,14.768568992614746
2010-09-20,15.131805419921875
2010-09-21,15.122946739196777
2010-09-22,15.025494575500488
2010-09-23,14.839444160461426
2010-09-24,15.202682495117188
2010-09-27,15.131805419921875
2010-09-28,15.32671070098877
