Date,PBE
2010-01-04,16.38273048400879
2010-01-05,16.392457962036133
2010-01-06,16.518922805786133
2010-01-07,16.528656005859375
2010-01-08,16.56757164001465
2010-01-11,16.78159523010254
2010-01-12,16.635669708251953
2010-01-13,16.820512771606445
2010-01-14,16.87887954711914
2010-01-15,16.732954025268555
2010-01-19,17.09290313720703
2010-01-20,16.946977615356445
2010-01-21,16.557844161987305
2010-01-22,16.402185440063477
2010-01-25,16.38273048400879
2010-01-26,16.421642303466797
2010-01-27,16.60648536682129
2010-01-28,16.421642303466797
2010-01-29,16.47028350830078
2010-02-01,16.57729721069336
2010-02-02,17.005348205566406
2010-02-03,16.839967727661133
2010-02-04,16.285444259643555
2010-02-05,16.334087371826172
2010-02-08,16.34381675720215
2010-02-09,16.480012893676758
2010-02-10,16.480012893676758
2010-02-11,16.70376968383789
2010-02-12,16.859424591064453
2010-02-16,17.02480697631836
2010-02-17,17.248558044433594
2010-02-18,17.209644317626953
2010-02-19,17.190187454223633
2010-02-22,17.238832473754883
2010-02-23,17.073448181152344
2010-02-24,17.258289337158203
2010-02-25,17.199918746948242
2010-02-26,17.238832473754883
2010-03-01,17.997652053833008
2010-03-02,18.172767639160156
2010-03-03,18.318695068359375
2010-03-04,18.192222595214844
2010-03-05,18.464618682861328
2010-03-08,18.513261795043945
2010-03-09,18.668912887573242
2010-03-10,18.83429718017578
2010-03-11,18.90239906311035
2010-03-12,18.892667770385742
2010-03-15,18.805112838745117
2010-03-16,18.844030380249023
2010-03-17,18.87321662902832
2010-03-18,18.82457160949707
2010-03-19,18.77592658996582
2010-03-22,18.960769653320312
2010-03-23,19.145612716674805
2010-03-24,19.019140243530273
2010-03-25,18.999685287475586
2010-03-26,18.94131088256836
2010-03-29,19.0775146484375
2010-03-30,19.067779541015625
2010-03-31,18.8829402923584
2010-04-01,19.067779541015625
2010-04-05,19.15534210205078
2010-04-06,19.18452262878418
2010-04-07,19.067779541015625
2010-04-08,19.12615394592285
2010-04-09,19.165067672729492
2010-04-12,19.135881423950195
2010-04-13,19.135881423950195
2010-04-14,19.359638214111328
2010-04-15,19.34990692138672
2010-04-16,19.29153823852539
2010-04-19,19.340181350708008
2010-04-20,19.47637939453125
2010-04-21,19.301267623901367
2010-04-22,19.15534210205078
2010-04-23,19.24289894104004
2010-04-26,19.15534210205078
2010-04-27,18.912128448486328
2010-04-28,19.135881423950195
2010-04-29,19.51529312133789
2010-04-30,19.15534210205078
2010-05-03,19.534748077392578
2010-05-04,19.02886962890625
2010-05-05,18.94131088256836
2010-05-06,18.065752029418945
2010-05-07,17.559871673583984
2010-05-10,18.1824951171875
2010-05-11,18.454893112182617
2010-05-12,18.90239906311035
2010-05-13,18.82457160949707
2010-05-14,18.415977478027344
2010-05-17,18.48407745361328
2010-05-18,18.231138229370117
2010-05-19,18.01711082458496
2010-05-20,17.297203063964844
2010-05-21,17.355575561523438
2010-05-24,17.27774429321289
2010-05-25,17.161001205444336
2010-05-26,17.015077590942383
2010-05-27,17.598785400390625
2010-05-28,17.520957946777344
2010-06-01,17.09290313720703
2010-06-02,17.520957946777344
2010-06-03,17.70579719543457
2010-06-04,17.015077590942383
2010-06-07,16.78159523010254
2010-06-08,16.69403648376465
2010-06-09,16.732954025268555
2010-06-10,17.27774429321289
2010-06-11,17.443130493164062
2010-06-14,17.511228561401367
2010-06-15,17.871183395385742
2010-06-16,17.803085327148438
2010-06-17,17.83226776123047
2010-06-18,17.841999053955078
2010-06-21,17.69607162475586
2010-06-22,17.47231674194336
2010-06-23,17.45285987854004
2010-06-24,17.297203063964844
2010-06-25,17.657154083251953
2010-06-28,17.540414810180664
2010-06-29,16.9664363861084
2010-06-30,16.791324615478516
2010-07-01,16.47028350830078
2010-07-02,16.616212844848633
2010-07-06,16.411911010742188
2010-07-07,16.56757164001465
2010-07-08,16.791324615478516
2010-07-09,17.005348205566406
2010-07-12,16.771869659423828
2010-07-13,17.258289337158203
2010-07-14,17.161001205444336
2010-07-15,17.151277542114258
2010-07-16,16.59675407409668
2010-07-19,16.69403648376465
2010-07-20,16.78159523010254
2010-07-21,16.616212844848633
2010-07-22,17.02480697631836
2010-07-23,17.394485473632812
2010-07-26,17.890642166137695
2010-07-27,17.754440307617188
2010-07-28,17.64742660522461
2010-07-29,17.666885375976562
2010-07-30,17.812808990478516
2010-08-02,18.16303825378418
2010-08-03,18.16303825378418
2010-08-04,18.48407745361328
2010-08-05,18.32842254638672
2010-08-06,18.435434341430664
2010-08-09,18.552175521850586
2010-08-10,18.32842254638672
2010-08-11,17.725255966186523
2010-08-12,17.812808990478516
2010-08-13,17.70579719543457
2010-08-16,17.7349853515625
2010-08-17,17.949010848999023
2010-08-18,17.978193283081055
2010-08-19,17.55014419555664
2010-08-20,17.530689239501953
2010-08-23,17.413944244384766
2010-08-24,17.09290313720703
2010-08-25,17.355575561523438
2010-08-26,17.180461883544922
2010-08-27,17.462589263916016
2010-08-30,17.180461883544922
2010-08-31,17.09290313720703
2010-09-01,17.627971649169922
2010-09-02,17.77389907836914
2010-09-03,17.997652053833008
2010-09-07,17.443130493164062
2010-09-08,17.69607162475586
2010-09-09,17.725255966186523
2010-09-10,17.968467712402344
2010-09-13,18.172767639160156
2010-09-14,18.192222595214844
2010-09-15,18.28950309753418
2010-09-16,18.221406936645508
2010-09-17,18.33814811706543
2010-09-20,18.698101043701172
2010-09-21,18.610546112060547
2010-09-22,18.532718658447266
2010-09-23,18.425704956054688
2010-09-24,18.87321662902832
2010-09-27,18.698101043701172
2010-09-28,18.93158721923828
