Date,PSP
2010-01-04,4.754392623901367
2010-01-05,4.8053507804870605
2010-01-06,4.8308305740356445
2010-01-07,4.856308937072754
2010-01-08,4.871595859527588
2010-01-11,4.932744979858398
2010-01-12,4.8308305740356445
2010-01-13,4.8817877769470215
2010-01-14,4.9276509284973145
2010-01-15,4.886882305145264
2010-01-19,4.932744979858398
2010-01-20,4.897075176239014
2010-01-21,4.8002543449401855
2010-01-22,4.677955627441406
2010-01-25,4.744200229644775
2010-01-26,4.683051109313965
2010-01-27,4.683051109313965
2010-01-28,4.672859191894531
2010-01-29,4.576039791107178
2010-02-01,4.6371893882751465
2010-02-02,4.749297142028809
2010-02-03,4.718722343444824
2010-02-04,4.509792804718018
2010-02-05,4.469027519226074
2010-02-08,4.387494087219238
2010-02-09,4.489409923553467
2010-02-10,4.474123477935791
2010-02-11,4.525081157684326
2010-02-12,4.479218482971191
2010-02-16,4.576039791107178
2010-02-17,4.59642219543457
2010-02-18,4.621901035308838
2010-02-19,4.642284393310547
2010-02-22,4.667763710021973
2010-02-23,4.606614112854004
2010-02-24,4.662667274475098
2010-02-25,4.657572269439697
2010-02-26,4.672859191894531
2010-03-01,4.713625431060791
2010-03-02,4.734008312225342
2010-03-03,4.73910665512085
2010-03-04,4.810445785522461
2010-03-05,4.9174580574035645
2010-03-08,4.9174580574035645
2010-03-09,4.922553539276123
2010-03-10,4.942936897277832
2010-03-11,4.993896007537842
2010-03-12,5.039757251739502
2010-03-15,5.029566764831543
2010-03-16,5.070333003997803
2010-03-17,5.131482124328613
2010-03-18,5.060140609741211
2010-03-19,5.004086494445801
2010-03-22,5.019374370574951
2010-03-23,5.090716361999512
2010-03-24,5.029566764831543
2010-03-25,4.993896007537842
2010-03-26,5.024468421936035
2010-03-29,5.060140609741211
2010-03-30,5.049950122833252
2010-03-31,5.044853687286377
2010-04-01,5.106003761291504
2010-04-05,5.162057399749756
2010-04-06,5.182441234588623
2010-04-07,5.151865005493164
2010-04-08,5.192631721496582
2010-04-09,5.238494396209717
2010-04-12,5.269069671630859
2010-04-13,5.243589401245117
2010-04-14,5.3607940673828125
2010-04-15,5.34041166305542
2010-04-16,5.243589401245117
2010-04-19,5.243589401245117
2010-04-20,5.279260635375977
2010-04-21,5.253781318664551
2010-04-22,5.228302001953125
2010-04-23,5.304738521575928
2010-04-26,5.284356594085693
2010-04-27,5.100907802581787
2010-04-28,5.070333003997803
2010-04-29,5.202824115753174
2010-04-30,5.13657808303833
2010-05-03,5.177344799041748
2010-05-04,4.978608131408691
2010-05-05,4.8155412673950195
2010-05-06,4.616805553436279
2010-05-07,4.519986152648926
2010-05-10,4.8002543449401855
2010-05-11,4.79006290435791
2010-05-12,4.891979694366455
2010-05-13,4.856308937072754
2010-05-14,4.698339462280273
2010-05-17,4.677955627441406
2010-05-18,4.55056095123291
2010-05-19,4.525081157684326
2010-05-20,4.326344013214111
2010-05-21,4.469027519226074
2010-05-24,4.362015247344971
2010-05-25,4.3314409255981445
2010-05-26,4.341632843017578
2010-05-27,4.565847396850586
2010-05-28,4.474123477935791
2010-06-01,4.3976850509643555
2010-06-02,4.535271644592285
2010-06-03,4.504697799682617
2010-06-04,4.316152095794678
2010-06-07,4.224429607391357
2010-06-08,4.249906539916992
2010-06-09,4.239714622497559
2010-06-10,4.428259372711182
2010-06-11,4.479218482971191
2010-06-14,4.519986152648926
2010-06-15,4.657572269439697
2010-06-16,4.626997947692871
2010-06-17,4.6117095947265625
2010-06-18,4.583835601806641
2010-06-21,4.5683488845825195
2010-06-22,4.506404399871826
2010-06-23,4.542539119720459
2010-06-24,4.449624061584473
2010-06-25,4.506404399871826
2010-06-28,4.47027063369751
2010-06-29,4.299925804138184
2010-06-30,4.253467559814453
2010-07-01,4.294763088226318
2010-07-02,4.274116039276123
2010-07-06,4.294763088226318
2010-07-07,4.465110778808594
2010-07-08,4.521892070770264
2010-07-09,4.5683488845825195
2010-07-12,4.547701835632324
2010-07-13,4.6251301765441895
2010-07-14,4.6251301765441895
2010-07-15,4.67158842086792
2010-07-16,4.5012431144714355
2010-07-19,4.542539119720459
2010-07-20,4.547701835632324
2010-07-21,4.480595588684082
2010-07-22,4.6251301765441895
2010-07-23,4.6767497062683105
2010-07-26,4.759342670440674
2010-07-27,4.769665241241455
2010-07-28,4.743856430053711
2010-07-29,4.754180431365967
2010-07-30,4.728370189666748
2010-08-02,4.831611156463623
2010-08-03,4.800637722015381
2010-08-04,4.821285724639893
2010-08-05,4.8161234855651855
2010-08-06,4.810962200164795
2010-08-09,4.810962200164795
2010-08-10,4.754180431365967
2010-08-11,4.573512077331543
2010-08-12,4.5889973640441895
2010-08-13,4.552863121032715
2010-08-16,4.573512077331543
2010-08-17,4.650940895080566
2010-08-18,4.656102657318115
2010-08-19,4.547701835632324
2010-08-20,4.521892070770264
2010-08-23,4.5322160720825195
2010-08-24,4.47027063369751
2010-08-25,4.480595588684082
2010-08-26,4.454785346984863
2010-08-27,4.5683488845825195
2010-08-30,4.475434303283691
2010-08-31,4.480595588684082
2010-09-01,4.650940895080566
2010-09-02,4.681912899017334
2010-09-03,4.7386932373046875
2010-09-07,4.666426181793213
2010-09-08,4.692235946655273
2010-09-09,4.707721710205078
2010-09-10,4.759342670440674
2010-09-13,4.85225772857666
2010-09-14,4.867743492126465
2010-09-15,4.862581729888916
2010-09-16,4.847095012664795
2010-09-17,4.8398332595825195
2010-09-20,4.928018093109131
2010-09-21,4.974705219268799
2010-09-22,4.933206081390381
2010-09-23,4.886518955230713
2010-09-24,5.026578903198242
