Date,XME
2010-01-04,46.3676643371582
2010-01-05,47.034698486328125
2010-01-06,48.88188552856445
2010-01-07,48.5227165222168
2010-01-08,50.2244987487793
2010-01-11,49.506168365478516
2010-01-12,48.266151428222656
2010-01-13,48.96738815307617
2010-01-14,48.3516845703125
2010-01-15,47.35967254638672
2010-01-19,48.274715423583984
2010-01-20,46.94917678833008
2010-01-21,44.06724548339844
2010-01-22,42.73316955566406
2010-01-25,43.10944366455078
2010-01-26,42.33122634887695
2010-01-27,41.937870025634766
2010-01-28,41.12543487548828
2010-01-29,39.48349380493164
2010-02-01,41.81814956665039
2010-02-02,42.38254165649414
2010-02-03,41.76682662963867
2010-02-04,38.893428802490234
2010-02-05,40.03080749511719
2010-02-08,39.013153076171875
2010-02-09,40.5695686340332
2010-02-10,40.31303024291992
2010-02-11,41.937870025634766
2010-02-12,42.10889434814453
2010-02-16,43.690956115722656
2010-02-17,43.4942741394043
2010-02-18,43.99883270263672
2010-02-19,44.554691314697266
2010-02-22,44.64876174926758
2010-02-23,43.33179473876953
2010-02-24,42.835792541503906
2010-02-25,43.50282287597656
2010-02-26,43.879112243652344
2010-03-01,44.85400390625
2010-03-02,46.05125045776367
2010-03-03,46.39332962036133
2010-03-04,46.504493713378906
2010-03-05,48.180641174316406
2010-03-08,47.906986236572266
2010-03-09,47.8813362121582
2010-03-10,48.09511947631836
2010-03-11,48.06947708129883
2010-03-12,48.57402038574219
2010-03-15,47.81291580200195
2010-03-16,49.087127685546875
2010-03-17,49.37788009643555
2010-03-18,48.1891975402832
2010-03-19,47.369606018066406
2010-03-22,47.74604415893555
2010-03-23,49.20039367675781
2010-03-24,48.687103271484375
2010-03-25,47.001747131347656
2010-03-26,47.67760467529297
2010-03-29,49.054969787597656
2010-03-30,48.52455139160156
2010-03-31,48.60154342651367
2010-04-01,49.72227096557617
2010-04-05,51.245079040527344
2010-04-06,51.2878532409668
2010-04-07,50.7745475769043
2010-04-08,50.74886703491211
2010-04-09,50.945648193359375
2010-04-12,50.83442687988281
2010-04-13,50.594886779785156
2010-04-14,51.2878532409668
2010-04-15,50.765995025634766
2010-04-16,49.260292053222656
2010-04-19,48.7213249206543
2010-04-20,49.046417236328125
2010-04-21,49.226078033447266
2010-04-22,49.39716720581055
2010-04-23,50.800209045410156
2010-04-26,50.646217346191406
2010-04-27,48.44755554199219
2010-04-28,49.03785705566406
2010-04-29,48.798316955566406
2010-04-30,47.70327377319336
2010-05-03,47.39527893066406
2010-05-04,45.299278259277344
2010-05-05,45.37627410888672
2010-05-06,44.66620635986328
2010-05-07,44.24700164794922
2010-05-10,46.9589729309082
2010-05-11,46.14623260498047
2010-05-12,47.52360534667969
2010-05-13,47.48938751220703
2010-05-14,46.129119873046875
2010-05-17,44.54642105102539
2010-05-18,43.78502655029297
2010-05-19,42.93806457519531
2010-05-20,40.226104736328125
2010-05-21,41.68046569824219
2010-05-24,41.038841247558594
2010-05-25,42.287879943847656
2010-05-26,42.13389587402344
2010-05-27,44.63197708129883
2010-05-28,43.96467208862305
2010-06-01,41.492244720458984
2010-06-02,43.62247848510742
2010-06-03,43.023624420166016
2010-06-04,40.739402770996094
2010-06-07,39.81544876098633
2010-06-08,40.7223014831543
2010-06-09,40.95329284667969
2010-06-10,42.843963623046875
2010-06-11,43.49415588378906
2010-06-14,43.61392593383789
2010-06-15,44.76030349731445
2010-06-16,44.36676788330078
2010-06-17,43.93901824951172
2010-06-18,44.2260856628418
2010-06-21,44.688846588134766
2010-06-22,43.19777297973633
2010-06-23,43.55767822265625
2010-06-24,42.3751220703125
2010-06-25,43.506282806396484
2010-06-28,42.332275390625
2010-06-29,39.72720718383789
2010-06-30,39.153072357177734
2010-07-01,38.724609375
2010-07-02,38.330413818359375
2010-07-06,38.36470413208008
2010-07-07,40.36989974975586
2010-07-08,40.815521240234375
2010-07-09,41.980934143066406
2010-07-12,40.669837951660156
2010-07-13,41.372520446777344
2010-07-14,41.398223876953125
2010-07-15,41.269676208496094
2010-07-16,39.650089263916016
2010-07-19,39.5900993347168
2010-07-20,41.33824157714844
2010-07-21,41.12400436401367
2010-07-22,42.95781707763672
2010-07-23,43.91759490966797
2010-07-26,44.27749252319336
2010-07-27,42.683616638183594
2010-07-28,42.246578216552734
2010-07-29,42.3836784362793
2010-07-30,42.752174377441406
2010-08-02,44.234657287597656
2010-08-03,43.91759490966797
2010-08-04,44.62883758544922
2010-08-05,44.43174743652344
2010-08-06,45.01445770263672
2010-08-09,44.800235748291016
2010-08-10,43.98615264892578
2010-08-11,41.86953353881836
2010-08-12,42.05805969238281
2010-08-13,41.65530014038086
2010-08-16,42.18659591674805
2010-08-17,43.36917495727539
2010-08-18,43.83190155029297
2010-08-19,43.129215240478516
2010-08-20,42.666473388671875
2010-08-23,41.62959289550781
2010-08-24,40.3527717590332
2010-08-25,40.47272872924805
2010-08-26,39.99285125732422
2010-08-27,41.50962448120117
2010-08-30,40.69554901123047
2010-08-31,41.46678924560547
2010-09-01,43.1463623046875
2010-09-02,43.694793701171875
2010-09-03,44.16610336303711
2010-09-07,44.07184600830078
2010-09-08,44.500301361083984
2010-09-09,43.85761642456055
2010-09-10,44.34605407714844
2010-09-13,44.91163635253906
2010-09-14,44.7745246887207
2010-09-15,44.53457260131836
2010-09-16,45.057308197021484
2010-09-17,44.419437408447266
2010-09-20,44.8315315246582
2010-09-21,44.71991729736328
2010-09-22,45.1234130859375
2010-09-23,44.556800842285156
2010-09-24,45.844566345214844
2010-09-27,45.68144607543945
2010-09-28,45.973350524902344
