Date,PMR
2010-01-04,14.295807838439941
2010-01-05,14.394399642944336
2010-01-06,14.510920524597168
2010-01-07,14.618475914001465
2010-01-08,14.726024627685547
2010-01-11,14.654324531555176
2010-01-12,14.49299430847168
2010-01-13,14.600544929504395
2010-01-14,14.618475914001465
2010-01-15,14.376472473144531
2010-01-19,14.582618713378906
2010-01-20,14.304773330688477
2010-01-21,14.116551399230957
2010-01-22,13.865588188171387
2010-01-25,13.919365882873535
2010-01-26,13.946255683898926
2010-01-27,13.991071701049805
2010-01-28,13.793888092041016
2010-01-29,13.7401123046875
2010-02-01,13.838703155517578
2010-02-02,14.170329093933105
2010-02-03,13.973145484924316
2010-02-04,13.784923553466797
2010-02-05,13.542926788330078
2010-02-08,13.578777313232422
2010-02-09,13.802850723266602
2010-02-10,13.7401123046875
2010-02-11,13.919365882873535
2010-02-12,13.856626510620117
2010-02-16,14.197220802307129
2010-02-17,14.358551979064941
2010-02-18,14.448182106018066
2010-02-19,14.49299430847168
2010-02-22,14.412328720092773
2010-02-23,14.349588394165039
2010-02-24,14.510920524597168
2010-02-25,14.510920524597168
2010-02-26,14.60951042175293
2010-03-01,14.842545509338379
2010-03-02,14.869429588317871
2010-03-03,14.887361526489258
2010-03-04,15.16520881652832
2010-03-05,15.487876892089844
2010-03-08,15.487876892089844
2010-03-09,15.496838569641113
2010-03-10,15.487876892089844
2010-03-11,15.505796432495117
2010-03-12,15.595430374145508
2010-03-15,15.640246391296387
2010-03-16,15.747797012329102
2010-03-17,15.720911979675293
2010-03-18,15.765721321105957
2010-03-19,15.64920711517334
2010-03-22,15.87327766418457
2010-03-23,15.97187614440918
2010-03-24,15.86431884765625
2010-03-25,15.900165557861328
2010-03-26,15.97187614440918
2010-03-29,15.918089866638184
2010-03-30,15.953946113586426
2010-03-31,15.774685859680176
2010-04-01,15.891201972961426
2010-04-05,16.2766056060791
2010-04-06,16.375194549560547
2010-04-07,16.2766056060791
2010-04-08,16.500682830810547
2010-04-09,16.58134651184082
2010-04-12,16.590307235717773
2010-04-13,16.67993927001953
2010-04-14,17.029489517211914
2010-04-15,17.101194381713867
2010-04-16,16.90400505065918
2010-04-19,16.706829071044922
2010-04-20,16.85023307800293
2010-04-21,17.154972076416016
2010-04-22,17.52244758605957
2010-04-23,17.59415054321289
2010-04-26,17.70170783996582
2010-04-27,17.154972076416016
2010-04-28,16.9757137298584
2010-04-29,17.41489601135254
2010-04-30,16.787492752075195
2010-05-03,17.289413452148438
2010-05-04,16.751636505126953
2010-05-05,16.608232498168945
2010-05-06,15.97187614440918
2010-05-07,15.54165267944336
2010-05-10,16.46483039855957
2010-05-11,16.626161575317383
2010-05-12,17.047414779663086
2010-05-13,16.48275375366211
2010-05-14,16.151126861572266
2010-05-17,16.213869094848633
2010-05-18,15.855351448059082
2010-05-19,15.73884105682373
2010-05-20,15.254840850830078
2010-05-21,15.469951629638672
2010-05-24,15.272765159606934
2010-05-25,15.460986137390137
2010-05-26,15.317580223083496
2010-05-27,15.819499015808105
2010-05-28,15.774685859680176
2010-06-01,15.53269100189209
2010-06-02,15.595430374145508
2010-06-03,15.631278038024902
2010-06-04,14.976987838745117
2010-06-07,14.60951042175293
2010-06-08,14.71706771850586
2010-06-09,14.76187801361084
2010-06-10,15.263802528381348
2010-06-11,15.425128936767578
2010-06-14,15.57750415802002
2010-06-15,15.720911979675293
2010-06-16,15.640246391296387
2010-06-17,15.425128936767578
2010-06-18,15.466472625732422
2010-06-21,15.071049690246582
2010-06-22,14.765490531921387
2010-06-23,14.909284591674805
2010-06-24,14.486905097961426
2010-06-25,14.585755348205566
2010-06-28,14.603731155395508
2010-06-29,14.118436813354492
2010-06-30,13.938698768615723
2010-07-01,14.082489013671875
2010-07-02,14.019579887390137
2010-07-06,13.776935577392578
2010-07-07,14.118436813354492
2010-07-08,14.091473579406738
2010-07-09,14.289188385009766
2010-07-12,14.217293739318848
2010-07-13,14.576767921447754
2010-07-14,14.53183650970459
2010-07-15,14.648662567138672
2010-07-16,14.172356605529785
2010-07-19,14.199315071105957
2010-07-20,14.432976722717285
2010-07-21,14.289188385009766
2010-07-22,14.774482727050781
2010-07-23,15.035100936889648
2010-07-26,15.331669807434082
2010-07-27,15.098007202148438
2010-07-28,14.88232421875
2010-07-29,14.81042766571045
2010-07-30,14.86435317993164
2010-08-02,15.106990814208984
2010-08-03,14.792455673217773
2010-08-04,14.93624496459961
2010-08-05,14.96320629119873
2010-08-06,14.846373558044434
2010-08-09,15.053074836730957
2010-08-10,14.927261352539062
2010-08-11,14.379055976867676
2010-08-12,14.423986434936523
2010-08-13,14.226282119750977
2010-08-16,14.262227058410645
2010-08-17,14.495884895324707
2010-08-18,14.711570739746094
2010-08-19,14.5138578414917
2010-08-20,14.432976722717285
2010-08-23,14.262227058410645
2010-08-24,14.073500633239746
2010-08-25,14.163370132446289
2010-08-26,14.154383659362793
2010-08-27,14.298172950744629
2010-08-30,14.037556648254395
2010-08-31,14.019579887390137
2010-09-01,14.423986434936523
2010-09-02,14.756509780883789
2010-09-03,14.88232421875
2010-09-07,14.711570739746094
2010-09-08,14.756509780883789
2010-09-09,14.738533020019531
2010-09-10,14.774482727050781
2010-09-13,15.098007202148438
2010-09-14,15.295721054077148
2010-09-15,15.27774429321289
2010-09-16,15.169902801513672
2010-09-17,15.280595779418945
2010-09-20,15.55057430267334
2010-09-21,15.397583961486816
2010-09-22,15.334590911865234
2010-09-23,15.343585014343262
2010-09-24,15.667558670043945
2010-09-27,15.766550064086914
2010-09-28,15.8655366897583
