Date,KBWP
2010-12-22,20.518861770629883
2010-12-23,20.712974548339844
2010-12-27,20.704879760742188
2010-12-28,20.688711166381836
2010-12-29,20.688711166381836
2010-12-30,20.688711166381836
2010-12-31,20.688711166381836
2011-01-03,20.688711166381836
2011-01-04,20.688711166381836
2011-01-05,20.688711166381836
2011-01-06,20.688711166381836
2011-01-07,20.688711166381836
2011-01-10,20.688711166381836
2011-01-11,20.688711166381836
2011-01-12,20.688711166381836
2011-01-13,20.688711166381836
2011-01-14,20.688711166381836
2011-01-18,20.688711166381836
2011-01-19,20.58356475830078
2011-01-20,20.518861770629883
2011-01-21,20.518861770629883
2011-01-24,20.518861770629883
2011-01-25,20.898984909057617
2011-01-26,21.020309448242188
2011-01-27,21.020309448242188
2011-01-28,21.076927185058594
2011-01-31,21.076927185058594
2011-02-01,21.076927185058594
2011-02-02,21.076927185058594
2011-02-03,21.076927185058594
2011-02-04,21.076927185058594
2011-02-07,21.076927185058594
2011-02-08,21.254852294921875
2011-02-09,21.24677276611328
2011-02-10,21.24677276611328
2011-02-11,21.24677276611328
2011-02-14,21.24677276611328
2011-02-15,21.173974990844727
2011-02-16,21.24677276611328
2011-02-17,21.24677276611328
2011-02-18,21.50558090209961
2011-02-22,21.24677276611328
2011-02-23,21.24677276611328
2011-02-24,20.818113327026367
2011-02-25,20.979867935180664
2011-02-28,20.979867935180664
2011-03-01,20.979867935180664
2011-03-02,20.979867935180664
2011-03-03,21.20633316040039
2011-03-04,21.20633316040039
2011-03-07,21.20633316040039
2011-03-08,21.20633316040039
2011-03-09,21.20633316040039
2011-03-10,21.20633316040039
2011-03-11,20.559303283691406
2011-03-14,20.688711166381836
2011-03-15,20.688711166381836
2011-03-16,20.688711166381836
2011-03-17,20.35710906982422
2011-03-18,20.604328155517578
2011-03-21,20.735300064086914
2011-03-22,20.735300064086914
2011-03-23,20.735300064086914
2011-03-24,20.75167465209961
2011-03-25,20.858097076416016
2011-03-28,20.858097076416016
2011-03-29,20.858097076416016
2011-03-30,20.858097076416016
2011-03-31,21.390186309814453
2011-04-01,21.463857650756836
2011-04-04,21.643957138061523
2011-04-05,21.643957138061523
2011-04-06,21.643957138061523
2011-04-07,21.643957138061523
2011-04-08,21.643957138061523
2011-04-11,21.643957138061523
2011-04-12,21.643957138061523
2011-04-13,21.643957138061523
2011-04-14,21.643957138061523
2011-04-15,21.643957138061523
2011-04-18,21.643957138061523
2011-04-19,21.643957138061523
2011-04-20,21.643957138061523
2011-04-21,21.643957138061523
2011-04-25,21.30013656616211
2011-04-26,21.30013656616211
2011-04-27,21.30013656616211
2011-04-28,21.89772605895996
2011-04-29,21.963212966918945
2011-05-02,21.856792449951172
2011-05-03,21.856792449951172
2011-05-04,21.856792449951172
2011-05-05,21.856792449951172
2011-05-06,21.856792449951172
2011-05-09,21.856792449951172
2011-05-10,21.856792449951172
2011-05-11,21.7421875
2011-05-12,21.7421875
2011-05-13,21.7421875
2011-05-16,21.7421875
2011-05-17,21.7421875
2011-05-18,21.529346466064453
2011-05-19,21.529346466064453
2011-05-20,21.529346466064453
2011-05-23,21.36562728881836
2011-05-24,21.242843627929688
2011-05-25,21.242843627929688
2011-05-26,21.242843627929688
2011-05-27,21.267398834228516
2011-05-31,21.267398834228516
2011-06-01,21.267398834228516
2011-06-02,21.103683471679688
2011-06-03,21.103683471679688
2011-06-06,21.103683471679688
2011-06-07,21.103683471679688
2011-06-08,21.103683471679688
2011-06-09,21.103683471679688
2011-06-10,21.103683471679688
2011-06-13,21.103683471679688
2011-06-14,21.103683471679688
2011-06-15,20.465164184570312
2011-06-16,20.465164184570312
2011-06-17,20.540752410888672
2011-06-20,20.540752410888672
2011-06-21,20.540752410888672
2011-06-22,20.540752410888672
2011-06-23,20.286046981811523
2011-06-24,20.286046981811523
2011-06-27,20.286046981811523
2011-06-28,20.286046981811523
2011-06-29,20.286046981811523
2011-06-30,20.787240982055664
2011-07-01,20.787240982055664
2011-07-05,20.787240982055664
2011-07-06,20.787240982055664
2011-07-07,20.787240982055664
2011-07-08,20.787240982055664
2011-07-11,20.787240982055664
2011-07-12,20.787240982055664
2011-07-13,20.787240982055664
2011-07-14,20.787240982055664
2011-07-15,20.787240982055664
2011-07-18,20.12993812561035
2011-07-19,20.2531795501709
2011-07-20,20.540752410888672
2011-07-21,20.540752410888672
2011-07-22,20.540752410888672
2011-07-25,20.540752410888672
2011-07-26,20.540752410888672
2011-07-27,20.540752410888672
2011-07-28,20.261398315429688
2011-07-29,20.261398315429688
2011-08-01,20.261398315429688
2011-08-02,20.261398315429688
2011-08-03,20.261398315429688
2011-08-04,20.261398315429688
2011-08-05,19.037166595458984
2011-08-08,19.037166595458984
2011-08-09,18.51132583618164
2011-08-10,18.51132583618164
2011-08-11,18.51132583618164
2011-08-12,18.51132583618164
2011-08-15,19.094684600830078
2011-08-16,19.094684600830078
2011-08-17,19.094684600830078
2011-08-18,19.094684600830078
2011-08-19,19.094684600830078
2011-08-22,19.094684600830078
2011-08-23,19.094684600830078
2011-08-24,19.094684600830078
2011-08-25,18.19089126586914
2011-08-26,18.19089126586914
2011-08-29,18.19089126586914
2011-08-30,18.19089126586914
2011-08-31,18.19089126586914
2011-09-01,18.19089126586914
2011-09-02,18.19089126586914
2011-09-06,18.19089126586914
2011-09-07,18.19089126586914
2011-09-08,18.19089126586914
2011-09-09,18.35521697998047
2011-09-12,18.35521697998047
2011-09-13,18.35521697998047
2011-09-14,18.35521697998047
2011-09-15,18.35521697998047
2011-09-16,18.43941307067871
