Date,KBWR
2011-11-01,18.983272552490234
2011-11-02,19.367273330688477
2011-11-03,19.367273330688477
2011-11-04,19.868160247802734
2011-11-07,20.202075958251953
2011-11-08,20.12693977355957
2011-11-09,19.9349422454834
2011-11-10,19.9349422454834
2011-11-11,20.035112380981445
2011-11-14,19.609371185302734
2011-11-15,19.968338012695312
2011-11-16,19.742935180664062
2011-11-17,19.70119857788086
2011-11-18,19.69285011291504
2011-11-21,19.200321197509766
2011-11-22,19.200321197509766
2011-11-23,19.200321197509766
2011-11-25,18.28204917907715
2011-11-28,18.84970474243164
2011-11-29,18.84970474243164
2011-11-30,20.160335540771484
2011-12-01,19.82642364501953
2011-12-02,20.48590660095215
2011-12-05,20.460865020751953
2011-12-06,20.41077995300293
2011-12-07,20.41077995300293
2011-12-08,19.843114852905273
2011-12-09,20.519302368164062
2011-12-12,20.24381446838379
2011-12-13,19.87650489807129
2011-12-14,19.734588623046875
2011-12-15,20.05181312561035
2011-12-16,20.20204734802246
2011-12-19,19.824357986450195
2011-12-20,20.646879196166992
2011-12-21,20.91545295715332
2011-12-22,21.30992889404297
2011-12-23,21.200817108154297
2011-12-27,21.38546371459961
2011-12-28,20.932241439819336
2011-12-29,21.32671356201172
2011-12-30,21.058135986328125
2012-01-03,21.586898803710938
2012-01-04,21.66244125366211
2012-01-05,22.098876953125
2012-01-06,22.04012107849121
2012-01-09,22.325485229492188
2012-01-10,22.493345260620117
2012-01-11,22.350669860839844
2012-01-12,22.59406089782715
2012-01-13,22.468168258666992
2012-01-17,22.41780662536621
2012-01-18,22.41780662536621
2012-01-19,22.367448806762695
2012-01-20,22.719955444335938
2012-01-23,22.636028289794922
2012-01-24,22.568889617919922
2012-01-25,22.68638801574707
2012-01-26,22.14923667907715
2012-01-27,22.21637725830078
2012-01-30,22.140838623046875
2012-01-31,22.199594497680664
2012-02-01,22.610851287841797
2012-02-02,22.803890228271484
2012-02-03,23.399795532226562
2012-02-06,23.04728889465332
2012-02-07,23.14800453186035
2012-02-08,23.131214141845703
2012-02-09,23.04728889465332
2012-02-10,22.677997589111328
2012-02-13,23.03050422668457
2012-02-14,22.677997589111328
2012-02-15,22.761926651000977
2012-02-16,23.391403198242188
2012-02-17,23.450151443481445
2012-02-21,23.223543167114258
2012-02-22,22.745140075683594
2012-02-23,23.06407356262207
2012-02-24,23.06407356262207
2012-02-27,23.08925437927246
2012-02-28,23.005327224731445
2012-02-29,22.98853874206543
2012-03-01,23.022113800048828
2012-03-02,22.669605255126953
2012-03-05,22.677997589111328
2012-03-06,22.140838623046875
2012-03-07,22.41780662536621
2012-03-08,22.644420623779297
2012-03-09,23.11443519592285
2012-03-12,23.038894653320312
2012-03-13,23.76069450378418
2012-03-14,23.962133407592773
2012-03-15,24.415359497070312
2012-03-16,24.514741897583008
2012-03-19,24.964933395385742
2012-03-20,24.548715591430664
2012-03-21,24.50624656677246
2012-03-22,24.090017318725586
2012-03-23,24.242919921875
2012-03-26,24.56570053100586
2012-03-27,24.523237228393555
2012-03-28,24.42979621887207
2012-03-29,24.45528221130371
2012-03-30,24.225933074951172
2012-04-02,24.42979621887207
2012-04-03,24.42979621887207
2012-04-04,23.928625106811523
2012-04-05,23.75874137878418
2012-04-09,23.32552719116211
2012-04-10,22.926292419433594
2012-04-11,23.29155158996582
2012-04-12,23.665302276611328
2012-04-13,22.94328498840332
2012-04-16,23.036718368530273
2012-04-17,23.74175453186035
2012-04-18,23.35950469970703
2012-04-19,23.317033767700195
2012-04-20,23.55487632751465
2012-04-23,23.206605911254883
2012-04-24,23.63132667541504
2012-04-25,23.63132667541504
2012-04-26,23.92013168334961
2012-04-27,23.92013168334961
2012-04-30,23.886157989501953
2012-05-01,23.818201065063477
2012-05-02,23.571870803833008
2012-05-03,23.65680694580078
2012-05-04,23.35950469970703
2012-05-07,23.571870803833008
2012-05-08,23.537887573242188
2012-05-09,23.537887573242188
2012-05-10,23.529388427734375
2012-05-11,23.503908157348633
2012-05-14,23.274564743041992
2012-05-15,23.206605911254883
2012-05-16,22.93478775024414
2012-05-17,22.628990173339844
2012-05-18,22.33168601989746
2012-05-21,22.67995262145996
2012-05-22,22.561038970947266
2012-05-23,22.722423553466797
2012-05-24,22.628990173339844
2012-05-25,22.9517765045166
2012-05-29,22.99424171447754
2012-05-30,22.552536010742188
2012-05-31,22.66297149658203
2012-06-01,21.694608688354492
2012-06-04,21.3293514251709
2012-06-05,21.337852478027344
2012-06-06,21.711597442626953
2012-06-07,22.085350036621094
2012-06-08,22.238248825073242
2012-06-11,21.864490509033203
2012-06-12,22.034378051757812
2012-06-13,22.25523567199707
2012-06-14,22.178791046142578
2012-06-15,22.490324020385742
2012-06-18,22.601285934448242
2012-06-19,22.908550262451172
2012-06-20,22.976825714111328
2012-06-21,22.473255157470703
2012-06-22,22.61835479736328
2012-06-25,22.328155517578125
2012-06-26,22.37936782836914
2012-06-27,22.857341766357422
2012-06-28,22.712238311767578
2012-06-29,23.57430076599121
2012-07-02,23.753538131713867
2012-07-03,23.958385467529297
2012-07-05,23.958385467529297
2012-07-06,23.685258865356445
2012-07-09,23.437732696533203
2012-07-10,23.437732696533203
2012-07-11,23.548690795898438
2012-07-12,23.377992630004883
2012-07-13,23.898630142211914
2012-07-16,23.92424201965332
2012-07-17,24.094945907592773
2012-07-18,23.975452423095703
2012-07-19,23.76207160949707
2012-07-20,23.33531379699707
2012-07-23,22.985366821289062
2012-07-24,22.823198318481445
2012-07-25,22.917081832885742
2012-07-26,22.976825714111328
2012-07-27,23.369449615478516
