Date,PBS
2010-01-04,11.188629150390625
2010-01-05,11.330373764038086
2010-01-06,11.339826583862305
2010-01-07,11.349274635314941
2010-01-08,11.396528244018555
2010-01-11,11.434324264526367
2010-01-12,11.150833129882812
2010-01-13,11.29257583618164
2010-01-14,11.245325088500977
2010-01-15,11.094128608703613
2010-01-19,11.245325088500977
2010-01-20,11.169726371765137
2010-01-21,10.990181922912598
2010-01-22,10.820085525512695
2010-01-25,10.848433494567871
2010-01-26,10.829532623291016
2010-01-27,10.85788631439209
2010-01-28,10.85788631439209
2010-01-29,10.820085525512695
2010-02-01,11.01853084564209
2010-02-02,11.150833129882812
2010-02-03,11.198076248168945
2010-02-04,10.829532623291016
2010-02-05,10.782283782958984
2010-02-08,10.668885231018066
2010-02-09,10.886232376098633
2010-02-10,10.801185607910156
2010-02-11,10.933481216430664
2010-02-12,10.924033164978027
2010-02-16,11.094128608703613
2010-02-17,11.349274635314941
2010-02-18,11.528822898864746
2010-02-19,11.576072692871094
2010-02-22,11.462675094604492
2010-02-23,11.32092571258545
2010-02-24,11.424878120422363
2010-02-25,11.528822898864746
2010-02-26,11.519372940063477
2010-03-01,11.698920249938965
2010-03-02,11.708369255065918
2010-03-03,11.75561809539795
2010-03-04,11.840664863586426
2010-03-05,12.171411514282227
2010-03-08,12.161961555480957
2010-03-09,12.133614540100098
2010-03-10,12.247010231018066
2010-03-11,12.284811019897461
2010-03-12,12.237563133239746
2010-03-15,12.180864334106445
2010-03-16,12.21866226196289
2010-03-17,12.265912055969238
2010-03-18,12.21866226196289
2010-03-19,12.067465782165527
2010-03-22,12.171411514282227
2010-03-23,12.237563133239746
2010-03-24,12.20921516418457
2010-03-25,12.21866226196289
2010-03-26,12.237563133239746
2010-03-29,12.284811019897461
2010-03-30,12.29426097869873
2010-03-31,12.284811019897461
2010-04-01,12.31316089630127
2010-04-05,12.502157211303711
2010-04-06,12.625005722045898
2010-04-07,12.5777587890625
2010-04-08,12.662801742553711
2010-04-09,12.814001083374023
2010-04-12,12.832901000976562
2010-04-13,12.908499717712402
2010-04-14,13.22979736328125
2010-04-15,13.286498069763184
2010-04-16,13.03134822845459
2010-04-19,12.984101295471191
2010-04-20,13.295948028564453
2010-04-21,13.295948028564453
2010-04-22,13.295948028564453
2010-04-23,13.22979736328125
2010-04-26,13.239248275756836
2010-04-27,12.889601707458496
2010-04-28,12.899051666259766
2010-04-29,13.201446533203125
2010-04-30,12.946301460266113
2010-05-03,13.173094749450684
2010-05-04,12.766755104064941
2010-05-05,12.530508041381836
2010-05-06,12.039114952087402
2010-05-07,11.878466606140137
2010-05-10,12.322612762451172
2010-05-11,12.398209571838379
2010-05-12,12.521056175231934
2010-05-13,12.398209571838379
2010-05-14,12.171411514282227
2010-05-17,12.341513633728027
2010-05-18,12.14306640625
2010-05-19,11.991865158081055
2010-05-20,11.396528244018555
2010-05-21,11.566620826721191
2010-05-24,11.481575012207031
2010-05-25,11.4910249710083
2010-05-26,11.528822898864746
2010-05-27,12.048564910888672
2010-05-28,11.906817436218262
2010-06-01,11.481575012207031
2010-06-02,11.783968925476074
2010-06-03,11.887916564941406
2010-06-04,11.377625465393066
2010-06-07,11.094128608703613
2010-06-08,11.065779685974121
2010-06-09,11.08467960357666
2010-06-10,11.519372940063477
2010-06-11,11.594972610473633
2010-06-14,11.642219543457031
2010-06-15,12.05801773071289
2010-06-16,12.039114952087402
2010-06-17,12.001317024230957
2010-06-18,11.972965240478516
2010-06-21,11.935165405273438
2010-06-22,11.698920249938965
2010-06-23,11.61386775970459
2010-06-24,11.368178367614746
2010-06-25,11.434324264526367
2010-06-28,11.472121238708496
2010-06-29,10.905130386352539
2010-06-30,10.649989128112793
2010-07-01,10.612186431884766
2010-07-02,10.555487632751465
2010-07-06,10.508241653442383
2010-07-07,10.810633659362793
2010-07-08,10.990181922912598
2010-07-09,11.122478485107422
2010-07-12,11.113028526306152
2010-07-13,11.424878120422363
2010-07-14,11.368178367614746
2010-07-15,11.368178367614746
2010-07-16,10.848433494567871
2010-07-19,10.980730056762695
2010-07-20,11.094128608703613
2010-07-21,10.85788631439209
2010-07-22,11.198076248168945
2010-07-23,11.424878120422363
2010-07-26,11.68001937866211
2010-07-27,11.61386775970459
2010-07-28,11.434324264526367
2010-07-29,11.377625465393066
2010-07-30,11.453225135803223
2010-08-02,11.765068054199219
2010-08-03,11.604422569274902
2010-08-04,11.746170043945312
2010-08-05,11.708369255065918
2010-08-06,11.50047492980957
2010-08-09,11.66111946105957
2010-08-10,11.519372940063477
2010-08-11,11.065779685974121
2010-08-12,10.971280097961426
2010-08-13,10.829532623291016
2010-08-16,10.79173469543457
2010-08-17,10.924033164978027
2010-08-18,11.01853084564209
2010-08-19,10.735033988952637
2010-08-20,10.668885231018066
2010-08-23,10.536588668823242
2010-08-24,10.385391235351562
2010-08-25,10.442090034484863
2010-08-26,10.42319107055664
2010-08-27,10.59328842163086
2010-08-30,10.385391235351562
2010-08-31,10.357041358947754
2010-09-01,10.706684112548828
2010-09-02,10.905130386352539
2010-09-03,11.113028526306152
2010-09-07,10.829532623291016
2010-09-08,10.914584159851074
2010-09-09,10.961831092834473
2010-09-10,11.08467960357666
2010-09-13,11.283126831054688
2010-09-14,11.25477409362793
2010-09-15,11.302026748657227
2010-09-16,11.169726371765137
2010-09-17,11.277671813964844
2010-09-20,11.618562698364258
2010-09-21,11.561748504638672
2010-09-22,11.34395980834961
2010-09-23,11.296612739562988
2010-09-24,11.618562698364258
2010-09-27,11.590154647827148
2010-09-28,11.684845924377441
