Date,FRAK
2012-02-15,231.8304443359375
2012-02-16,236.85238647460938
2012-02-17,237.5828399658203
2012-02-21,237.8567657470703
2012-02-22,236.21322631835938
2012-02-23,239.5002899169922
2012-02-24,239.86553955078125
2012-02-27,238.49595642089844
2012-02-28,236.4871368408203
2012-02-29,234.93487548828125
2012-03-01,237.67413330078125
2012-03-02,233.4739990234375
2012-03-05,229.45643615722656
2012-03-06,225.4388885498047
2012-03-07,227.35635375976562
2012-03-08,230.64346313476562
2012-03-09,229.73037719726562
2012-03-12,227.08242797851562
2012-03-13,229.73037719726562
2012-03-14,227.08242797851562
2012-03-15,228.17811584472656
2012-03-16,232.4696044921875
2012-03-19,235.39144897460938
2012-03-20,230.55215454101562
2012-03-21,229.73037719726562
2012-03-22,220.14305114746094
2012-03-23,225.07366943359375
2012-03-26,226.35195922851562
2012-03-27,224.70843505859375
2012-03-28,220.0517120361328
2012-03-29,218.13426208496094
2012-03-30,221.23876953125
2012-04-02,226.1693572998047
2012-04-03,221.6953125
2012-04-04,218.68214416503906
2012-04-05,216.67333984375
2012-04-09,213.66017150878906
2012-04-10,208.27305603027344
2012-04-11,209.18614196777344
2012-04-12,213.29495239257812
2012-04-13,210.09921264648438
2012-04-16,206.81211853027344
2012-04-17,211.3775177001953
2012-04-18,210.1905059814453
2012-04-19,209.55136108398438
2012-04-20,209.55136108398438
2012-04-23,208.36436462402344
2012-04-24,208.8208770751953
2012-04-25,214.20803833007812
2012-04-26,216.12550354003906
2012-04-27,220.41696166992188
2012-04-30,222.33444213867188
2012-05-01,224.70843505859375
2012-05-02,220.32566833496094
2012-05-03,214.57327270507812
2012-05-04,211.19488525390625
2012-05-07,210.2818145751953
2012-05-08,202.52064514160156
2012-05-09,207.17733764648438
2012-05-10,208.72958374023438
2012-05-11,204.5294189453125
2012-05-14,199.05096435546875
2012-05-15,191.83763122558594
2012-05-16,189.09841918945312
2012-05-17,188.09402465820312
2012-05-18,190.65066528320312
2012-05-21,196.49435424804688
2012-05-22,194.3942413330078
2012-05-23,193.663818359375
2012-05-24,192.47679138183594
2012-05-25,195.3073272705078
2012-05-29,198.32049560546875
2012-05-30,190.92457580566406
2012-05-31,188.55056762695312
2012-06-01,181.8850860595703
2012-06-04,182.43296813964844
2012-06-05,184.1678009033203
2012-06-06,190.833251953125
2012-06-07,189.828857421875
2012-06-08,190.01148986816406
2012-06-11,185.72003173828125
2012-06-12,187.9114227294922
2012-06-13,183.43731689453125
2012-06-14,188.73316955566406
2012-06-15,191.47239685058594
2012-06-18,190.376708984375
2012-06-19,192.93331909179688
2012-06-20,189.73756408691406
2012-06-21,180.9720001220703
2012-06-22,181.79379272460938
2012-06-25,176.1326904296875
2012-06-26,177.31968688964844
2012-06-27,183.43731689453125
2012-06-28,181.79379272460938
2012-06-29,192.02024841308594
2012-07-02,189.55491638183594
2012-07-03,198.41180419921875
2012-07-05,195.2160186767578
2012-07-06,192.93331909179688
2012-07-09,192.02024841308594
2012-07-10,184.9895477294922
2012-07-11,188.73316955566406
2012-07-12,188.1853485107422
2012-07-13,191.746337890625
2012-07-16,192.20286560058594
2012-07-17,194.30294799804688
2012-07-18,200.4205780029297
2012-07-19,200.8771209716797
2012-07-20,200.5118865966797
2012-07-23,200.69448852539062
2012-07-24,196.6769561767578
2012-07-25,196.6769561767578
2012-07-26,198.22918701171875
2012-07-27,205.8990478515625
2012-07-30,206.90341186523438
2012-07-31,203.79896545410156
2012-08-01,204.25547790527344
2012-08-02,194.3942413330078
2012-08-03,203.79896545410156
2012-08-06,205.44247436523438
2012-08-07,210.00787353515625
2012-08-08,209.55136108398438
2012-08-09,213.66017150878906
2012-08-10,210.7383575439453
2012-08-13,208.27305603027344
2012-08-14,210.46441650390625
2012-08-15,209.55136108398438
2012-08-16,213.8428192138672
2012-08-17,213.56886291503906
2012-08-20,211.6514129638672
2012-08-21,210.8296356201172
2012-08-22,211.7427215576172
2012-08-23,207.45126342773438
2012-08-24,210.09921264648438
2012-08-27,209.0948028564453
2012-08-28,209.91656494140625
2012-08-29,207.72520446777344
2012-08-30,204.16419982910156
2012-08-31,206.35557556152344
2012-09-04,204.5294189453125
2012-09-05,206.08164978027344
2012-09-06,211.56011962890625
2012-09-07,214.84719848632812
2012-09-10,215.30372619628906
2012-09-11,218.9560546875
2012-09-12,219.13864135742188
2012-09-13,224.5258026123047
2012-09-14,227.44769287109375
2012-09-17,227.2650604248047
2012-09-18,222.60836791992188
2012-09-19,219.22999572753906
2012-09-20,220.69090270996094
2012-09-21,220.23435974121094
2012-09-24,218.31689453125
2012-09-25,215.94290161132812
2012-09-26,213.29495239257812
2012-09-27,216.85597229003906
2012-09-28,215.48634338378906
2012-10-01,217.8603515625
2012-10-02,217.76905822753906
2012-10-03,215.85157775878906
2012-10-04,217.76905822753906
2012-10-05,217.03857421875
2012-10-08,214.57327270507812
2012-10-09,218.408203125
2012-10-10,213.75149536132812
2012-10-11,217.40382385253906
2012-10-12,217.40382385253906
2012-10-15,216.49073791503906
2012-10-16,220.23435974121094
2012-10-17,221.33006286621094
2012-10-18,222.24313354492188
2012-10-19,218.408203125
2012-10-22,216.30810546875
2012-10-23,213.02102661132812
2012-10-24,209.18614196777344
2012-10-25,212.01666259765625
2012-10-26,210.7383575439453
2012-10-31,210.9209442138672
2012-11-01,213.02102661132812
2012-11-02,210.64703369140625
2012-11-05,211.6514129638672
2012-11-06,213.66017150878906
2012-11-07,207.17733764648438
2012-11-08,205.2598876953125
2012-11-09,203.43374633789062
2012-11-12,204.25547790527344
