Date,KBWB
2011-11-01,16.899242401123047
2011-11-02,17.0262393951416
2011-11-03,16.983909606933594
2011-11-04,17.170166015625
2011-11-07,17.297168731689453
2011-11-08,17.534231185913086
2011-11-09,16.797636032104492
2011-11-10,17.03470230102539
2011-11-11,17.305635452270508
2011-11-14,16.890775680541992
2011-11-15,17.017772674560547
2011-11-16,16.61138343811035
2011-11-17,16.25578498840332
2011-11-18,16.39971351623535
2011-11-21,15.950986862182617
2011-11-22,15.705459594726562
2011-11-23,15.30753231048584
2011-11-25,15.30753231048584
2011-11-28,15.519196510314941
2011-11-29,15.722390174865723
2011-11-30,16.289648056030273
2011-12-01,16.518247604370117
2011-12-02,17.08551025390625
2011-12-05,17.5003662109375
2011-12-06,17.153242111206055
2011-12-07,17.017772674560547
2011-12-08,16.670642852783203
2011-12-09,17.12784194946289
2011-12-12,16.70450782775879
2011-12-13,16.442047119140625
2011-12-14,16.357383728027344
2011-12-15,16.41664695739746
2011-12-16,16.47416877746582
2011-12-19,16.053512573242188
2011-12-20,16.76604461669922
2011-12-21,16.83472442626953
2011-12-22,17.39273452758789
2011-12-23,17.487171173095703
2011-12-27,17.3583984375
2011-12-28,17.023588180541992
2011-12-29,17.375564575195312
2011-12-30,17.255380630493164
2012-01-03,17.796220779418945
2012-01-04,17.91640853881836
2012-01-05,18.311304092407227
2012-01-06,18.259798049926758
2012-01-09,18.448657989501953
2012-01-10,18.774885177612305
2012-01-11,19.015254974365234
2012-01-12,19.13545036315918
2012-01-13,19.109689712524414
2012-01-17,18.817808151245117
2012-01-18,18.972333908081055
2012-01-19,19.015254974365234
2012-01-20,19.04960060119629
2012-01-23,19.092514038085938
2012-01-24,19.075353622436523
2012-01-25,19.092514038085938
2012-01-26,18.628950119018555
2012-01-27,18.817808151245117
2012-01-30,18.63753318786621
2012-01-31,18.706201553344727
2012-02-01,19.02383804321289
2012-02-02,19.152612686157227
2012-02-03,19.77071189880371
2012-02-06,19.710628509521484
2012-02-07,19.719207763671875
2012-02-08,19.839387893676758
2012-02-09,19.839387893676758
2012-02-10,19.573266983032227
2012-02-13,19.736379623413086
2012-02-14,19.453081130981445
2012-02-15,19.42732810974121
2012-02-16,19.830812454223633
2012-02-17,20.02825927734375
2012-02-21,19.976757049560547
2012-02-22,19.599023818969727
2012-02-23,19.74496078491211
2012-02-24,19.659116744995117
2012-02-27,19.916658401489258
2012-02-28,19.993925094604492
2012-02-29,19.942411422729492
2012-03-01,20.139862060546875
2012-03-02,20.07976531982422
2012-03-05,19.79646873474121
2012-03-06,19.21270751953125
2012-03-07,19.616195678710938
2012-03-08,19.916658401489258
2012-03-09,20.12269401550293
2012-03-12,19.950998306274414
2012-03-13,20.878150939941406
2012-03-14,21.15286636352539
2012-03-15,21.73662567138672
2012-03-16,21.855886459350586
2012-03-19,21.968238830566406
2012-03-20,22.071941375732422
2012-03-21,21.95095443725586
2012-03-22,21.605270385742188
2012-03-23,21.78675079345703
2012-03-26,22.106504440307617
2012-03-27,21.821317672729492
2012-03-28,22.04601287841797
2012-03-29,21.734899520874023
2012-03-30,21.890459060668945
2012-04-02,22.028728485107422
2012-04-03,21.95095443725586
2012-04-04,21.596622467041016
2012-04-05,21.527490615844727
2012-04-09,21.112668991088867
2012-04-10,20.637353897094727
2012-04-11,21.034883499145508
2012-04-12,21.397857666015625
2012-04-13,20.77562713623047
2012-04-16,20.991682052612305
2012-04-17,21.42378807067871
2012-04-18,21.250946044921875
2012-04-19,21.086746215820312
2012-04-20,20.965749740600586
2012-04-23,20.836122512817383
2012-04-24,21.034883499145508
2012-04-25,21.276866912841797
2012-04-26,21.484277725219727
2012-04-27,21.553417205810547
2012-04-30,21.26822853088379
2012-05-01,21.56205940246582
2012-05-02,21.3632869720459
2012-05-03,21.259580612182617
2012-05-04,20.836122512817383
2012-05-07,21.026247024536133
2012-05-08,20.836122512817383
2012-05-09,20.602781295776367
2012-05-10,20.654634475708008
2012-05-11,20.464513778686523
2012-05-14,19.95462989807129
2012-05-15,19.73857307434082
2012-05-16,19.522523880004883
2012-05-17,19.2027645111084
2012-05-18,18.986713409423828
2012-05-21,19.081769943237305
2012-05-22,19.332395553588867
2012-05-23,19.401535034179688
2012-05-24,19.47930908203125
2012-05-25,19.46202850341797
2012-05-29,19.73857307434082
2012-05-30,19.271900177001953
2012-05-31,19.470664978027344
2012-06-01,18.528675079345703
2012-06-04,18.122501373291016
2012-06-05,18.36448097229004
2012-06-06,18.874357223510742
2012-06-07,18.960786819458008
2012-06-08,19.23733139038086
2012-06-11,18.831148147583008
2012-06-12,19.2027645111084
2012-06-13,19.185482025146484
2012-06-14,19.436107635498047
2012-06-15,19.78416633605957
2012-06-18,19.688922882080078
2012-06-19,20.087203979492188
2012-06-20,20.104515075683594
2012-06-21,19.636974334716797
2012-06-22,19.957326889038086
2012-06-25,19.420515060424805
2012-06-26,19.50709342956543
2012-06-27,19.77550506591797
2012-06-28,19.71489715576172
2012-06-29,20.251708984375
2012-07-02,20.364269256591797
2012-07-03,20.45950698852539
2012-07-05,20.14781379699707
2012-07-06,20.026594161987305
2012-07-09,19.8967227935791
2012-07-10,19.73221778869629
2012-07-11,19.965986251831055
2012-07-12,19.688922882080078
2012-07-13,20.32097625732422
2012-07-16,20.31231689453125
2012-07-17,20.494140625
2012-07-18,20.372926712036133
2012-07-19,20.26902961730957
2012-07-20,19.862085342407227
2012-07-23,19.671607971191406
2012-07-24,19.68026351928711
2012-07-25,19.78416633605957
2012-07-26,20.121835708618164
2012-07-27,20.40755271911621
