Date,IHI
2010-01-04,50.91632843017578
2010-01-05,51.20195007324219
2010-01-06,51.7827033996582
2010-01-07,52.011192321777344
2010-01-08,52.06831741333008
2010-01-11,52.39202117919922
2010-01-12,51.88743209838867
2010-01-13,52.34442138671875
2010-01-14,52.71572494506836
2010-01-15,52.201622009277344
2010-01-19,53.25839614868164
2010-01-20,52.83949279785156
2010-01-21,51.83983612060547
2010-01-22,51.6875114440918
2010-01-25,51.80175018310547
2010-01-26,51.63036346435547
2010-01-27,51.354286193847656
2010-01-28,50.81159210205078
2010-01-29,50.4307746887207
2010-02-01,50.659271240234375
2010-02-02,51.411399841308594
2010-02-03,51.182899475097656
2010-02-04,49.897613525390625
2010-02-05,49.95475387573242
2010-02-08,50.01185607910156
2010-02-09,50.44029235839844
2010-02-10,50.35459899902344
2010-02-11,50.373661041259766
2010-02-12,50.640228271484375
2010-02-16,51.17338180541992
2010-02-17,51.639896392822266
2010-02-18,52.001678466796875
2010-02-19,51.896949768066406
2010-02-22,52.24920654296875
2010-02-23,51.925506591796875
2010-02-24,52.23017501831055
2010-02-25,52.125450134277344
2010-02-26,52.42058563232422
2010-03-01,53.63922882080078
2010-03-02,54.26760482788086
2010-03-03,54.26760482788086
2010-03-04,54.21998596191406
2010-03-05,55.181556701660156
2010-03-08,55.01020050048828
2010-03-09,54.98163604736328
2010-03-10,55.27678298950195
2010-03-11,55.25773620605469
2010-03-12,55.057804107666016
2010-03-15,55.14347839355469
2010-03-16,55.26725387573242
2010-03-17,55.26725387573242
2010-03-18,55.31486129760742
2010-03-19,54.90546798706055
2010-03-22,55.45767593383789
2010-03-23,55.67664337158203
2010-03-24,55.57191848754883
2010-03-25,55.40803527832031
2010-03-26,55.08406066894531
2010-03-29,55.60813522338867
2010-03-30,55.9511604309082
2010-03-31,55.646240234375
2010-04-01,55.9606819152832
2010-04-05,56.189361572265625
2010-04-06,55.91302490234375
2010-04-07,55.58906555175781
2010-04-08,55.42708206176758
2010-04-09,55.86540603637695
2010-04-12,55.93210983276367
2010-04-13,56.14171600341797
2010-04-14,56.980228424072266
2010-04-15,57.16127395629883
2010-04-16,56.57051086425781
2010-04-19,56.52286148071289
2010-04-20,57.170806884765625
2010-04-21,56.71343231201172
2010-04-22,56.503807067871094
2010-04-23,56.7706184387207
2010-04-26,56.39899444580078
2010-04-27,55.92255783081055
2010-04-28,56.37992477416992
2010-04-29,57.170806884765625
2010-04-30,57.16127395629883
2010-05-03,57.475704193115234
2010-05-04,56.427581787109375
2010-05-05,56.19888687133789
2010-05-06,54.57905578613281
2010-05-07,53.27364730834961
2010-05-10,55.27463912963867
2010-05-11,55.46520233154297
2010-05-12,56.4656867980957
2010-05-13,56.189361572265625
2010-05-14,55.255577087402344
2010-05-17,55.45566177368164
2010-05-18,54.97925567626953
2010-05-19,54.350364685058594
2010-05-20,52.368446350097656
2010-05-21,52.28269958496094
2010-05-24,52.397029876708984
2010-05-25,52.063533782958984
2010-05-26,51.71097946166992
2010-05-27,53.27364730834961
2010-05-28,52.70194625854492
2010-06-01,51.95872116088867
2010-06-02,53.1688346862793
2010-06-03,53.64528274536133
2010-06-04,51.6728630065918
2010-06-07,50.92012023925781
2010-06-08,50.96776580810547
2010-06-09,50.93918228149414
2010-06-10,51.95872116088867
2010-06-11,52.59713363647461
2010-06-14,52.730533599853516
2010-06-15,53.511863708496094
2010-06-16,53.89301681518555
2010-06-17,53.978759765625
2010-06-18,54.04545974731445
2010-06-21,53.950164794921875
2010-06-22,53.03544235229492
2010-06-23,52.55901336669922
2010-06-24,51.87296676635742
2010-06-25,52.41609191894531
2010-06-28,52.54949188232422
2010-06-29,51.27267837524414
2010-06-30,50.89154052734375
2010-07-01,50.3293571472168
2010-07-02,50.472286224365234
2010-07-06,50.54851150512695
2010-07-07,51.69192886352539
2010-07-08,51.86343002319336
2010-07-09,52.01590347290039
2010-07-12,51.75863265991211
2010-07-13,52.6543083190918
2010-07-14,52.8067626953125
2010-07-15,52.778175354003906
2010-07-16,51.158329010009766
2010-07-19,51.1297492980957
2010-07-20,51.20597457885742
2010-07-21,49.54800796508789
2010-07-22,50.35794448852539
2010-07-23,50.87248992919922
2010-07-26,51.27267837524414
2010-07-27,50.681915283203125
2010-07-28,49.88151931762695
2010-07-29,49.55756378173828
2010-07-30,49.929168701171875
2010-08-02,50.58662796020508
2010-08-03,50.74861526489258
2010-08-04,51.39655303955078
2010-08-05,51.18691635131836
2010-08-06,50.996360778808594
2010-08-09,51.1392707824707
2010-08-10,50.8248405456543
2010-08-11,49.53850173950195
2010-08-12,49.31934356689453
2010-08-13,48.976322174072266
2010-08-16,48.75715637207031
2010-08-17,49.814823150634766
2010-08-18,50.014930725097656
2010-08-19,48.85244369506836
2010-08-20,48.414127349853516
2010-08-23,48.099700927734375
2010-08-24,45.99391555786133
2010-08-25,46.47032928466797
2010-08-26,46.13682556152344
2010-08-27,46.89911651611328
2010-08-30,46.07966995239258
2010-08-31,45.61276626586914
2010-09-01,46.851463317871094
2010-09-02,47.47081756591797
2010-09-03,48.19499206542969
2010-09-07,47.58515548706055
2010-09-08,47.54704284667969
2010-09-09,48.09016799926758
2010-09-10,48.51894760131836
2010-09-13,49.014427185058594
2010-09-14,49.39556884765625
2010-09-15,50.014930725097656
2010-09-16,49.85293960571289
2010-09-17,49.96726989746094
2010-09-20,50.72002410888672
2010-09-21,50.51040267944336
2010-09-22,50.367469787597656
2010-09-23,49.91963195800781
2010-09-24,51.07257080078125
2010-09-27,50.63426208496094
2010-09-28,51.40607833862305
