Date,PPA
2010-01-04,15.323188781738281
2010-01-05,15.323188781738281
2010-01-06,15.393633842468262
2010-01-07,15.490508079528809
2010-01-08,15.578574180603027
2010-01-11,15.622603416442871
2010-01-12,15.490508079528809
2010-01-13,15.6930570602417
2010-01-14,15.789922714233398
2010-01-15,15.622603416442871
2010-01-19,15.745893478393555
2010-01-20,15.552148818969727
2010-01-21,15.20870304107666
2010-01-22,14.944506645202637
2010-01-25,14.988540649414062
2010-01-26,14.918089866638184
2010-01-27,15.067804336547852
2010-01-28,14.935709953308105
2010-01-29,14.741963386535645
2010-02-01,14.988540649414062
2010-02-02,15.173474311828613
2010-02-03,15.12944221496582
2010-02-04,14.715538024902344
2010-02-05,14.662704467773438
2010-02-08,14.512993812561035
2010-02-09,14.759572982788086
2010-02-10,14.724346160888672
2010-02-11,14.856444358825684
2010-02-12,14.759572982788086
2010-02-16,14.997352600097656
2010-02-17,15.111835479736328
2010-02-18,15.331990242004395
2010-02-19,15.393633842468262
2010-02-22,15.420055389404297
2010-02-23,15.270346641540527
2010-02-24,15.384831428527832
2010-02-25,15.367220878601074
2010-02-26,15.437664985656738
2010-03-01,15.640214920043945
2010-03-02,15.719476699829102
2010-03-03,15.710664749145508
2010-03-04,15.789922714233398
2010-03-05,16.036500930786133
2010-03-08,15.948442459106445
2010-03-09,16.054121017456055
2010-03-10,16.16860580444336
2010-03-11,16.24786376953125
2010-03-12,16.16860580444336
2010-03-15,16.17740821838379
2010-03-16,16.256668090820312
2010-03-17,16.327123641967773
2010-03-18,16.37115478515625
2010-03-19,16.409908294677734
2010-03-22,16.453950881958008
2010-03-23,16.568452835083008
2010-03-24,16.48036766052246
2010-03-25,16.42751693725586
2010-03-26,16.506799697875977
2010-03-29,16.6301212310791
2010-03-30,16.61249542236328
2010-03-31,16.43633270263672
2010-04-01,16.48036766052246
2010-04-05,16.577268600463867
2010-04-06,16.506799697875977
2010-04-07,16.471567153930664
2010-04-08,16.471567153930664
2010-04-09,16.59488296508789
2010-04-12,16.638925552368164
2010-04-13,16.6301212310791
2010-04-14,16.753437042236328
2010-04-15,16.8062801361084
2010-04-16,16.656538009643555
2010-04-19,16.656538009643555
2010-04-20,16.823902130126953
2010-04-21,17.088146209716797
2010-04-22,17.308351516723633
2010-04-23,17.334781646728516
2010-04-26,17.25550079345703
2010-04-27,16.86794090270996
2010-04-28,16.911985397338867
2010-04-29,17.211467742919922
2010-04-30,16.797475814819336
2010-05-03,17.1321964263916
2010-05-04,16.638925552368164
2010-05-05,16.515607833862305
2010-05-06,16.031150817871094
2010-05-07,15.599539756774902
2010-05-10,16.29539680480957
2010-05-11,16.33944320678711
2010-05-12,16.59488296508789
2010-05-13,16.43633270263672
2010-05-14,16.092803955078125
2010-05-17,16.154464721679688
2010-05-18,15.943070411682129
2010-05-19,15.722856521606445
2010-05-20,15.0446195602417
2010-05-21,15.335291862487793
2010-05-24,15.097469329833984
2010-05-25,15.035811424255371
2010-05-26,15.035811424255371
2010-05-27,15.502645492553711
2010-05-28,15.414567947387695
2010-06-01,15.018194198608398
2010-06-02,15.335291862487793
2010-06-03,15.44098949432373
2010-06-04,14.80678939819336
2010-06-07,14.445650100708008
2010-06-08,14.551352500915527
2010-06-09,14.533732414245605
2010-06-10,14.912489891052246
2010-06-11,15.000579833984375
2010-06-14,15.053427696228027
2010-06-15,15.45860481262207
2010-06-16,15.45860481262207
2010-06-17,15.485030174255371
2010-06-18,15.527430534362793
2010-06-21,15.483266830444336
2010-06-22,15.253626823425293
2010-06-23,15.191792488098145
2010-06-24,14.979815483093262
2010-06-25,14.979815483093262
2010-06-28,14.944488525390625
2010-06-29,14.335047721862793
2010-06-30,14.26439094543457
2010-07-01,14.114237785339355
2010-07-02,14.16723346710205
2010-07-06,14.061241149902344
2010-07-07,14.49403190612793
2010-07-08,14.679515838623047
2010-07-09,14.653018951416016
2010-07-12,14.53819751739502
2010-07-13,14.812004089355469
2010-07-14,14.864998817443848
2010-07-15,14.864998817443848
2010-07-16,14.37921142578125
2010-07-19,14.46753215789795
2010-07-20,14.635353088378906
2010-07-21,14.564691543579102
2010-07-22,15.01514720916748
2010-07-23,15.21829605102539
2010-07-26,15.47443675994873
2010-07-27,15.333113670349121
2010-07-28,15.271288871765137
2010-07-29,15.235958099365234
2010-07-30,15.21829605102539
2010-08-02,15.44793701171875
2010-08-03,15.350778579711914
2010-08-04,15.46560287475586
2010-08-05,15.412609100341797
2010-08-06,15.333113670349121
2010-08-09,15.483266830444336
2010-08-10,15.280119895935059
2010-08-11,14.670680046081543
2010-08-12,14.55586051940918
2010-08-13,14.53819751739502
2010-08-16,14.458707809448242
2010-08-17,14.759004592895508
2010-08-18,14.803168296813965
2010-08-19,14.5028657913208
2010-08-20,14.449870109558105
2010-08-23,14.229063987731934
2010-08-24,13.964086532592773
2010-08-25,13.990583419799805
2010-08-26,13.955257415771484
2010-08-27,14.23789119720459
2010-08-30,14.052410125732422
2010-08-31,13.946422576904297
2010-09-01,14.405708312988281
2010-09-02,14.564691543579102
2010-09-03,14.759004592895508
2010-09-07,14.55586051940918
2010-09-08,14.66185474395752
2010-09-09,14.626522064208984
2010-09-10,14.785505294799805
2010-09-13,14.891495704650879
2010-09-14,14.803168296813965
2010-09-15,14.776668548583984
2010-09-16,14.776668548583984
2010-09-17,14.941407203674316
2010-09-20,15.242535591125488
2010-09-21,15.189398765563965
2010-09-22,15.083120346069336
2010-09-23,14.897122383117676
2010-09-24,15.269107818603516
2010-09-27,15.14511775970459
2010-09-28,15.251397132873535
