Date,SPY
2010-01-04,92.24604797363281
2010-01-05,92.49020385742188
2010-01-06,92.55532836914062
2010-01-07,92.94606018066406
2010-01-08,93.2553482055664
2010-01-11,93.38558197021484
2010-01-12,92.51461029052734
2010-01-13,93.29605865478516
2010-01-14,93.54834747314453
2010-01-15,92.49835205078125
2010-01-19,93.6541976928711
2010-01-20,92.70183563232422
2010-01-21,90.91927337646484
2010-01-22,88.89250183105469
2010-01-25,89.34835052490234
2010-01-26,88.97391510009766
2010-01-27,89.3971939086914
2010-01-28,88.3716049194336
2010-01-29,87.4111099243164
2010-02-01,88.77042388916016
2010-02-02,89.84481811523438
2010-02-03,89.3971939086914
2010-02-04,86.63783264160156
2010-02-05,86.8169174194336
2010-02-08,86.1901626586914
2010-02-09,87.27273559570312
2010-02-10,87.10179138183594
2010-02-11,88.01345825195312
2010-02-12,87.940185546875
2010-02-16,89.3238754272461
2010-02-17,89.74720001220703
2010-02-18,90.27626037597656
2010-02-19,90.46346282958984
2010-02-22,90.47975158691406
2010-02-23,89.38089752197266
2010-02-24,90.20298767089844
2010-02-25,90.08089447021484
2010-02-26,90.13785552978516
2010-03-01,91.07394409179688
2010-03-02,91.32624053955078
2010-03-03,91.40763854980469
2010-03-04,91.68438720703125
2010-03-05,92.994873046875
2010-03-08,93.01116943359375
2010-03-09,93.16578674316406
2010-03-10,93.58091735839844
2010-03-11,93.97161865234375
2010-03-12,93.97976684570312
2010-03-15,94.00418853759766
2010-03-16,94.75304412841797
2010-03-17,95.31466674804688
2010-03-18,95.26583099365234
2010-03-19,94.78360748291016
2010-03-22,95.29032135009766
2010-03-23,95.96054077148438
2010-03-24,95.49467468261719
2010-03-25,95.33935546875
2010-03-26,95.28218078613281
2010-03-29,95.8869857788086
2010-03-30,95.95235443115234
2010-03-31,95.62543487548828
2010-04-01,96.27928924560547
2010-04-05,97.06391906738281
2010-04-06,97.29275512695312
2010-04-07,96.73698425292969
2010-04-08,97.07207489013672
2010-04-09,97.70957946777344
2010-04-12,97.86488342285156
2010-04-13,97.93844604492188
2010-04-14,99.04997253417969
2010-04-15,99.13170623779297
2010-04-16,97.5542984008789
2010-04-19,97.92210388183594
2010-04-20,98.79660034179688
2010-04-21,98.6167984008789
2010-04-22,98.91104125976562
2010-04-23,99.55670928955078
2010-04-26,99.18075561523438
2010-04-27,96.8350601196289
2010-04-28,97.57062530517578
2010-04-29,98.78022766113281
2010-04-30,97.1047592163086
2010-05-03,98.3634262084961
2010-05-04,96.05043029785156
2010-05-05,95.47832489013672
2010-05-06,92.30713653564453
2010-05-07,90.9340591430664
2010-05-10,94.93889617919922
2010-05-11,94.669189453125
2010-05-12,95.99322509765625
2010-05-13,94.79996490478516
2010-05-14,93.08358764648438
2010-05-17,93.13262176513672
2010-05-18,91.8658218383789
2010-05-19,91.34273529052734
2010-05-20,87.89366912841797
2010-05-21,89.1768569946289
2010-05-24,88.03260040283203
2010-05-25,88.12251281738281
2010-05-26,87.59127044677734
2010-05-27,90.52542114257812
2010-05-28,89.38935089111328
2010-06-01,87.88549041748047
2010-06-02,90.17398071289062
2010-06-03,90.48455810546875
2010-06-04,87.3051986694336
2010-06-07,86.21817779541016
2010-06-08,87.1417465209961
2010-06-09,86.67589569091797
2010-06-10,89.20955657958984
2010-06-11,89.64273071289062
2010-06-14,89.5037841796875
2010-06-15,91.53887939453125
2010-06-16,91.50617980957031
2010-06-17,91.65330505371094
2010-06-18,91.75267791748047
2010-06-21,91.4898910522461
2010-06-22,89.97887420654297
2010-06-23,89.69964599609375
2010-06-24,88.21329498291016
2010-06-25,88.58284759521484
2010-06-28,88.30362701416016
2010-06-29,85.57723999023438
2010-06-30,84.76425170898438
2010-07-01,84.38648986816406
2010-07-02,83.9266357421875
2010-07-06,84.47684478759766
2010-07-07,87.13751220703125
2010-07-08,87.99980163574219
2010-07-09,88.65673828125
2010-07-12,88.71422576904297
2010-07-13,90.05280303955078
2010-07-14,90.04457092285156
2010-07-15,90.06922149658203
2010-07-16,87.58917236328125
2010-07-19,88.10655975341797
2010-07-20,89.08377075195312
2010-07-21,87.92589569091797
2010-07-22,89.88854217529297
2010-07-23,90.66871643066406
2010-07-26,91.61306762695312
2010-07-27,91.6048583984375
2010-07-28,91.01358795166016
2010-07-29,90.57014465332031
2010-07-30,90.55370330810547
2010-08-02,92.59850311279297
2010-08-03,92.1550521850586
2010-08-04,92.7709732055664
2010-08-05,92.67240905761719
2010-08-06,92.2946548461914
2010-08-09,92.78739166259766
2010-08-10,92.28644561767578
2010-08-11,89.75715637207031
2010-08-12,89.20692443847656
2010-08-13,88.94412994384766
2010-08-16,88.90311431884766
2010-08-17,89.99529266357422
2010-08-18,90.15956115722656
2010-08-19,88.59105682373047
2010-08-20,88.30362701416016
2010-08-23,87.96693420410156
2010-08-24,86.66123962402344
2010-08-25,86.99791717529297
2010-08-26,86.41485595703125
2010-08-27,87.75343322753906
2010-08-30,86.4805679321289
2010-08-31,86.4805679321289
2010-09-01,89.06733703613281
2010-09-02,89.89676666259766
2010-09-03,91.0628890991211
2010-09-07,90.03638458251953
2010-09-08,90.66871643066406
2010-09-09,91.08750915527344
2010-09-10,91.54737854003906
2010-09-13,92.5656509399414
2010-09-14,92.50819396972656
2010-09-15,92.8613052368164
2010-09-16,92.83665466308594
2010-09-17,92.87133026123047
2010-09-20,94.29135131835938
2010-09-21,94.10149383544922
2010-09-22,93.6391372680664
2010-09-23,92.87956237792969
2010-09-24,94.79497528076172
2010-09-27,94.34090423583984
2010-09-28,94.671142578125
