Date,SKYY
2011-07-06,19.709447860717773
2011-07-07,19.923152923583984
2011-07-08,19.835725784301758
2011-07-11,19.340320587158203
2011-07-12,19.126615524291992
2011-07-13,19.27232551574707
2011-07-14,18.89348030090332
2011-07-15,19.058618545532227
2011-07-18,18.854625701904297
2011-07-19,19.466602325439453
2011-07-20,19.048904418945312
2011-07-21,18.84491729736328
2011-07-22,19.184898376464844
2011-07-25,19.01976776123047
2011-07-26,19.126615524291992
2011-07-27,18.436935424804688
2011-07-28,18.436935424804688
2011-07-29,18.32036590576172
2011-08-01,18.21351432800293
2011-08-02,17.68895721435547
2011-08-03,17.990089416503906
2011-08-04,17.086706161499023
2011-08-05,16.882707595825195
2011-08-08,15.687905311584473
2011-08-09,16.465011596679688
2011-08-10,15.911320686340332
2011-08-11,16.61072540283203
2011-08-12,16.843854904174805
2011-08-15,17.09641456604004
2011-08-16,16.746715545654297
2011-08-17,16.40673065185547
2011-08-18,15.114787101745605
2011-08-19,14.726231575012207
2011-08-22,14.84280014038086
2011-08-23,15.57133674621582
2011-08-24,15.649049758911133
2011-08-25,15.270208358764648
2011-08-26,15.794759750366211
2011-08-29,16.37759017944336
2011-08-30,16.513586044311523
2011-08-31,16.581581115722656
2011-09-01,16.338733673095703
2011-09-02,15.891897201538086
2011-09-06,15.775331497192383
2011-09-07,16.29987907409668
2011-09-08,16.144453048706055
2011-09-09,15.707332611083984
2011-09-12,15.969610214233398
2011-09-13,16.222169876098633
2011-09-14,16.503868103027344
2011-09-15,16.688438415527344
2011-09-16,16.688438415527344
2011-09-19,16.571870803833008
2011-09-20,16.24159812927246
2011-09-21,16.057031631469727
2011-09-22,15.493627548217773
2011-09-23,15.726762771606445
2011-09-26,16.02788734436035
2011-09-27,16.251304626464844
2011-09-28,15.959891319274902
2011-09-29,15.823898315429688
2011-09-30,15.483911514282227
2011-10-03,14.978791236877441
2011-10-04,15.464486122131348
2011-10-05,15.959891319274902
2011-10-06,16.3581600189209
2011-10-07,16.24159812927246
2011-10-10,16.678714752197266
2011-10-11,16.81471824645996
2011-10-12,16.872995376586914
2011-10-13,17.135272979736328
2011-10-14,17.552967071533203
2011-10-17,17.203271865844727
2011-10-18,17.533538818359375
2011-10-19,16.96042251586914
2011-10-20,16.93128204345703
2011-10-21,17.086706161499023
2011-10-24,17.80552864074707
2011-10-25,17.290695190429688
2011-10-26,17.339262008666992
2011-10-27,18.14551544189453
2011-10-28,18.436935424804688
2011-10-31,18.01923370361328
2011-11-01,17.5044002532959
2011-11-02,17.79581642150879
2011-11-03,18.242656707763672
2011-11-04,18.32036590576172
2011-11-07,18.22322654724121
2011-11-08,18.48550033569336
2011-11-09,18.009523391723633
2011-11-10,17.766666412353516
2011-11-11,18.22322654724121
2011-11-14,18.291227340698242
2011-11-15,18.475793838500977
2011-11-16,18.22322654724121
2011-11-17,17.58211326599121
2011-11-18,17.37811279296875
2011-11-21,17.008996963500977
2011-11-22,16.872995376586914
2011-11-23,16.465011596679688
2011-11-25,16.319305419921875
2011-11-28,16.93128204345703
2011-11-29,16.795286178588867
2011-11-30,17.47525405883789
2011-12-01,17.58211326599121
2011-12-02,17.66953468322754
2011-12-05,18.01923370361328
2011-12-06,17.93181037902832
2011-12-07,17.854097366333008
2011-12-08,17.514114379882812
2011-12-09,17.863811492919922
2011-12-12,17.523826599121094
2011-12-13,17.222694396972656
2011-12-14,16.892425537109375
2011-12-15,16.804996490478516
2011-12-16,16.853572845458984
2011-12-19,16.533010482788086
2011-12-20,17.086706161499023
2011-12-21,16.38091468811035
2011-12-22,16.750337600708008
2011-12-23,16.847553253173828
2011-12-27,16.92531967163086
2011-12-28,16.633676528930664
2011-12-29,16.80866241455078
2011-12-30,16.721172332763672
2012-01-03,16.954490661621094
2012-01-04,16.779495239257812
2012-01-05,16.828105926513672
2012-01-06,16.92531967163086
2012-01-09,17.05170249938965
2012-01-10,17.100318908691406
2012-01-11,17.187801361083984
2012-01-12,17.19753074645996
2012-01-13,17.08087158203125
2012-01-17,17.168363571166992
2012-01-18,17.528059005737305
2012-01-19,18.072473526000977
2012-01-20,18.053030014038086
2012-01-23,17.9558162689209
2012-01-24,18.17941665649414
2012-01-25,18.3057918548584
2012-01-26,18.412731170654297
2012-01-27,18.61688804626465
2012-01-30,18.480783462524414
2012-01-31,18.4419002532959
2012-02-01,18.675212860107422
2012-02-02,18.937692642211914
2012-02-03,19.404329299926758
2012-02-06,19.414051055908203
2012-02-07,19.49182891845703
2012-02-08,19.47238540649414
2012-02-09,19.74458885192871
2012-02-10,19.482112884521484
2012-02-13,19.63765525817871
2012-02-14,19.832090377807617
2012-02-15,19.72515106201172
2012-02-16,20.084848403930664
2012-02-17,19.880695343017578
2012-02-21,19.764036178588867
2012-02-22,19.734867095947266
2012-02-23,19.861248016357422
2012-02-24,20.055681228637695
2012-02-27,20.036239624023438
2012-02-28,20.026519775390625
2012-02-29,19.851526260375977
2012-03-01,20.026519775390625
2012-03-02,19.9779109954834
2012-03-05,19.676542282104492
2012-03-06,19.287677764892578
2012-03-07,19.520998001098633
2012-03-08,19.80291748046875
2012-03-09,19.95846939086914
2012-03-12,19.84181022644043
2012-03-13,20.22095489501953
2012-03-14,20.104293823242188
2012-03-15,20.308443069458008
2012-03-16,20.2501163482666
2012-03-19,20.395936965942383
2012-03-20,20.357057571411133
2012-03-21,20.551485061645508
2012-03-22,20.357057571411133
2012-03-23,20.454267501831055
2012-03-26,20.872297286987305
2012-03-27,20.784801483154297
2012-03-28,20.638978958129883
2012-03-29,20.823688507080078
