Date,SEA
2010-06-11,17.148590087890625
2010-06-14,17.560312271118164
2010-06-15,18.096210479736328
2010-06-16,17.985105514526367
2010-06-17,17.79558563232422
2010-06-18,17.932823181152344
2010-06-21,18.135417938232422
2010-06-22,17.66487693786621
2010-06-23,17.73676872253418
2010-06-24,17.521106719970703
2010-06-25,17.77597999572754
2010-06-28,17.625667572021484
2010-06-29,16.658445358276367
2010-06-30,16.390499114990234
2010-07-01,16.194442749023438
2010-07-02,16.14215850830078
2010-07-06,16.279394149780273
2010-07-07,16.821828842163086
2010-07-08,16.991743087768555
2010-07-09,17.155122756958008
2010-07-12,17.00481414794922
2010-07-13,17.26622772216797
2010-07-14,17.40999984741211
2010-07-15,17.357717514038086
2010-07-16,17.00481414794922
2010-07-19,17.011354446411133
2010-07-20,17.403467178344727
2010-07-21,17.40999984741211
2010-07-22,18.05046272277832
2010-07-23,18.370691299438477
2010-07-26,18.553682327270508
2010-07-27,18.351083755493164
2010-07-28,18.246522903442383
2010-07-29,18.47525405883789
2010-07-30,18.377227783203125
2010-08-02,18.847766876220703
2010-08-03,18.527536392211914
2010-08-04,18.57982063293457
2010-08-05,18.57982063293457
2010-08-06,18.566749572753906
2010-08-09,18.690919876098633
2010-08-10,18.390300750732422
2010-08-11,17.508033752441406
2010-08-12,17.49496078491211
2010-08-13,17.5341739654541
2010-08-16,17.651805877685547
2010-08-17,18.10274887084961
2010-08-18,18.10927963256836
2010-08-19,17.782516479492188
2010-08-20,17.566852569580078
2010-08-23,17.5472469329834
2010-08-24,16.959070205688477
2010-08-25,16.8414363861084
2010-08-26,16.671518325805664
2010-08-27,17.044029235839844
2010-08-30,16.776081085205078
2010-08-31,16.756473541259766
2010-09-01,17.357717514038086
2010-09-02,17.49496078491211
2010-09-03,17.69755744934082
2010-09-07,17.311975479125977
2010-09-08,17.51456642150879
2010-09-09,17.508033752441406
2010-09-10,17.527637481689453
2010-09-13,17.887081146240234
2010-09-14,17.80865478515625
2010-09-15,17.847869873046875
2010-09-16,17.762914657592773
2010-09-17,17.749828338623047
2010-09-20,17.97203826904297
2010-09-21,17.978572845458984
2010-09-22,17.913223266601562
2010-09-23,17.638742446899414
2010-09-24,17.960567474365234
2010-09-27,18.12510108947754
2010-09-28,18.210657119750977
2010-09-29,18.23040199279785
2010-09-30,18.131689071655273
2010-10-01,18.065872192382812
2010-10-04,17.796039581298828
2010-10-05,18.18433380126953
2010-10-06,18.368608474731445
2010-10-07,18.414674758911133
2010-10-08,18.559471130371094
2010-10-11,18.598960876464844
2010-10-12,18.414674758911133
2010-10-13,18.598960876464844
2010-10-14,18.53972816467285
2010-10-15,18.506820678710938
2010-10-18,18.51340103149414
2010-10-19,18.197494506835938
2010-10-20,18.381776809692383
2010-10-21,18.26988983154297
2010-10-22,18.454172134399414
2010-10-25,18.467336654663086
2010-10-26,18.447593688964844
2010-10-27,18.18433380126953
2010-10-28,18.217241287231445
2010-10-29,18.322547912597656
2010-11-01,18.394935607910156
2010-11-02,18.84247398376465
2010-11-03,19.007007598876953
2010-11-04,19.316328048706055
2010-11-05,19.3426513671875
2010-11-08,19.42821502685547
2010-11-09,19.138635635375977
2010-11-10,19.37556266784668
2010-11-11,19.408472061157227
2010-11-12,18.98726463317871
2010-11-15,18.974096298217773
2010-11-16,18.408103942871094
2010-11-17,18.460750579833984
2010-11-18,18.78324317932129
2010-11-19,18.822725296020508
2010-11-22,18.78324317932129
2010-11-23,18.296218872070312
2010-11-24,18.500242233276367
2010-11-26,18.210657119750977
2010-11-29,18.236984252929688
2010-11-30,18.131689071655273
2010-12-01,18.55289077758789
2010-12-02,18.664775848388672
2010-12-03,18.84247398376465
2010-12-06,18.91486167907715
2010-12-07,18.954349517822266
2010-12-08,18.664775848388672
2010-12-09,18.658191680908203
2010-12-10,18.677936553955078
2010-12-13,18.71084213256836
2010-12-14,18.53972816467285
2010-12-15,18.362028121948242
2010-12-16,18.348867416381836
2010-12-17,18.217241287231445
2010-12-20,18.158008575439453
2010-12-21,18.434423446655273
2010-12-22,18.55289077758789
2010-12-23,18.4936580657959
2010-12-27,18.42282485961914
2010-12-28,18.283811569213867
2010-12-29,18.469167709350586
2010-12-30,18.442689895629883
2010-12-31,18.502267837524414
2011-01-03,18.846492767333984
2011-01-04,18.965646743774414
2011-01-05,19.005369186401367
2011-01-06,19.10466194152832
2011-01-07,19.164243698120117
2011-01-10,19.058326721191406
2011-01-11,19.07155990600586
2011-01-12,19.323116302490234
2011-01-13,19.17085838317871
2011-01-14,19.117902755737305
2011-01-18,19.10466194152832
2011-01-19,18.945789337158203
2011-01-20,18.58170509338379
2011-01-21,18.323535919189453
2011-01-24,18.290433883666992
2011-01-25,17.992544174194336
2011-01-26,17.97930145263672
2011-01-27,18.01239585876465
2011-01-28,18.065359115600586
2011-01-31,17.992544174194336
2011-02-01,18.105077743530273
2011-02-02,18.30367088317871
2011-02-03,18.369876861572266
2011-02-04,18.250707626342773
2011-02-07,18.244096755981445
2011-02-08,18.250707626342773
2011-02-09,18.05874252319336
2011-02-10,18.038883209228516
2011-02-11,18.204370498657227
2011-02-14,18.489025115966797
2011-02-15,18.363250732421875
2011-02-16,18.56184196472168
2011-02-17,18.601560592651367
2011-02-18,18.588321685791016
2011-02-22,17.906484603881836
2011-02-23,17.966060638427734
2011-02-24,17.82042694091797
2011-02-25,18.09845733642578
2011-02-28,18.09845733642578
2011-03-01,17.880006790161133
2011-03-02,17.88662338256836
2011-03-03,18.07198143005371
2011-03-04,17.94620132446289
2011-03-07,17.787328720092773
