Date,SLX
2010-01-04,48.0123291015625
2010-01-05,48.386138916015625
2010-01-06,49.447757720947266
2010-01-07,49.23094940185547
2010-01-08,50.50190734863281
2010-01-11,50.06828308105469
2010-01-12,48.98422622680664
2010-01-13,49.51504135131836
2010-01-14,49.72438430786133
2010-01-15,48.59546661376953
2010-01-19,49.858951568603516
2010-01-20,48.303897857666016
2010-01-21,45.70216751098633
2010-01-22,44.034969329833984
2010-01-25,44.17701721191406
2010-01-26,42.97334671020508
2010-01-27,42.58457946777344
2010-01-28,41.42576599121094
2010-01-29,40.75289535522461
2010-02-01,43.205108642578125
2010-02-02,44.020015716552734
2010-02-03,43.220054626464844
2010-02-04,40.2669563293457
2010-02-05,40.64823913574219
2010-02-08,39.99033737182617
2010-02-09,41.79957962036133
2010-02-10,41.20895004272461
2010-02-11,42.756534576416016
2010-02-12,42.846248626708984
2010-02-16,44.52092361450195
2010-02-17,44.378875732421875
2010-02-18,45.09659194946289
2010-02-19,45.3956413269043
2010-02-22,45.40312194824219
2010-02-23,43.75834274291992
2010-02-24,43.795738220214844
2010-02-25,43.990108489990234
2010-02-26,44.33401870727539
2010-03-01,45.2984504699707
2010-03-02,45.9713134765625
2010-03-03,46.591835021972656
2010-03-04,46.79368591308594
2010-03-05,48.259033203125
2010-03-08,48.49827575683594
2010-03-09,48.42350769042969
2010-03-10,48.834712982177734
2010-03-11,48.58051681518555
2010-03-12,48.96928024291992
2010-03-15,48.60294723510742
2010-03-16,49.739322662353516
2010-03-17,49.559898376464844
2010-03-18,48.715087890625
2010-03-19,48.04222869873047
2010-03-22,48.6253662109375
2010-03-23,50.240234375
2010-03-24,49.92623519897461
2010-03-25,49.103851318359375
2010-03-26,49.78418731689453
2010-03-29,51.32429504394531
2010-03-30,51.129905700683594
2010-03-31,51.100006103515625
2010-04-01,52.341060638427734
2010-04-05,53.61200714111328
2010-04-06,53.67182540893555
2010-04-07,52.77467346191406
2010-04-08,52.93915557861328
2010-04-09,53.088680267333984
2010-04-12,52.856910705566406
2010-04-13,52.79711151123047
2010-04-14,53.51482009887695
2010-04-15,52.565345764160156
2010-04-16,51.11495590209961
2010-04-19,50.42713928222656
2010-04-20,50.70376968383789
2010-04-21,50.44209671020508
2010-04-22,50.4196662902832
2010-04-23,50.98786163330078
2010-04-26,51.19719314575195
2010-04-27,48.4683723449707
2010-04-28,48.730037689208984
2010-04-29,48.9917106628418
2010-04-30,47.6459846496582
2010-05-03,47.070316314697266
2010-05-04,45.09659194946289
2010-05-05,45.12649917602539
2010-05-06,43.39200973510742
2010-05-07,43.324729919433594
2010-05-10,46.786216735839844
2010-05-11,45.507789611816406
2010-05-12,46.27035903930664
2010-05-13,45.97879409790039
2010-05-14,44.06488037109375
2010-05-17,42.958396911621094
2010-05-18,41.92667007446289
2010-05-19,41.35847854614258
2010-05-20,38.6595573425293
2010-05-21,40.61085510253906
2010-05-24,39.79594421386719
2010-05-25,40.59590530395508
2010-05-26,40.36414337158203
2010-05-27,43.3770637512207
2010-05-28,42.56216049194336
2010-06-01,40.805240631103516
2010-06-02,43.728450775146484
2010-06-03,42.995765686035156
2010-06-04,40.85757827758789
2010-06-07,39.68381118774414
2010-06-08,40.558528900146484
2010-06-09,40.68561553955078
2010-06-10,42.778968811035156
2010-06-11,43.212589263916016
2010-06-14,43.272396087646484
2010-06-15,44.62558364868164
2010-06-16,44.23682403564453
2010-06-17,43.51911544799805
2010-06-18,43.42939758300781
2010-06-21,44.393829345703125
2010-06-22,43.49668502807617
2010-06-23,44.06488037109375
2010-06-24,42.816341400146484
2010-06-25,43.2873420715332
2010-06-28,42.5546760559082
2010-06-29,40.13237380981445
2010-06-30,39.310001373291016
2010-07-01,39.38475799560547
2010-07-02,39.138038635253906
2010-07-06,39.73613357543945
2010-07-07,41.32857894897461
2010-07-08,41.92667007446289
2010-07-09,42.9509162902832
2010-07-12,41.5528678894043
2010-07-13,42.1958122253418
2010-07-14,41.971534729003906
2010-07-15,41.56781768798828
2010-07-16,40.2669563293457
2010-07-19,40.67814254760742
2010-07-20,42.67429733276367
2010-07-21,42.53972244262695
2010-07-22,44.393829345703125
2010-07-23,45.42554473876953
2010-07-26,45.60498046875
2010-07-27,44.819976806640625
2010-07-28,44.32654571533203
2010-07-29,44.31159210205078
2010-07-30,44.21438980102539
2010-08-02,46.03860092163086
2010-08-03,45.918975830078125
2010-08-04,46.44980239868164
2010-08-05,46.31521987915039
2010-08-06,46.419883728027344
2010-08-09,46.58436965942383
2010-08-10,45.829261779785156
2010-08-11,43.556488037109375
2010-08-12,43.5938720703125
2010-08-13,43.51911544799805
2010-08-16,44.102264404296875
2010-08-17,45.02183151245117
2010-08-18,45.28350067138672
2010-08-19,44.58073425292969
2010-08-20,44.13216018676758
2010-08-23,43.16025161743164
2010-08-24,41.92667007446289
2010-08-25,41.896766662597656
2010-08-26,41.59771728515625
2010-08-27,42.88362503051758
2010-08-30,42.01639175415039
2010-08-31,42.464962005615234
2010-09-01,44.775115966796875
2010-09-02,45.02183151245117
2010-09-03,45.35826110839844
2010-09-07,45.1190185546875
2010-09-08,45.59750747680664
2010-09-09,45.560115814208984
2010-09-10,45.67226791381836
2010-09-13,46.86098098754883
2010-09-14,46.44231033325195
2010-09-15,46.13579177856445
2010-09-16,46.07598114013672
2010-09-17,45.70964050292969
2010-09-20,46.03860092163086
2010-09-21,45.881595611572266
2010-09-22,45.9713134765625
2010-09-23,45.268550872802734
2010-09-24,46.397457122802734
2010-09-27,46.45726776123047
2010-09-28,47.01798629760742
