Date,GDX
2010-01-04,44.59261703491211
2010-01-05,45.022560119628906
2010-01-06,46.116111755371094
2010-01-07,45.89179611206055
2010-01-08,46.58343505859375
2010-01-11,46.89188003540039
2010-01-12,45.190799713134766
2010-01-13,45.66747283935547
2010-01-14,45.42445755004883
2010-01-15,44.32156753540039
2010-01-19,44.57392120361328
2010-01-20,42.74198913574219
2010-01-21,40.891361236572266
2010-01-22,40.92875671386719
2010-01-25,40.36794662475586
2010-01-26,40.3118782043457
2010-01-27,39.97539520263672
2010-01-28,39.41459274291992
2010-01-29,38.05934524536133
2010-02-01,40.1342887878418
2010-02-02,40.19036865234375
2010-02-03,39.78846740722656
2010-02-04,37.610713958740234
2010-02-05,39.638919830322266
2010-02-08,38.11542510986328
2010-02-09,39.78846740722656
2010-02-10,39.58283233642578
2010-02-11,41.11568069458008
2010-02-12,41.06895065307617
2010-02-16,41.97557067871094
2010-02-17,41.788631439208984
2010-02-18,42.11576843261719
2010-02-19,41.65778350830078
2010-02-22,41.20914840698242
2010-02-23,39.72304153442383
2010-02-24,39.48937225341797
2010-02-25,40.610965728759766
2010-02-26,41.022220611572266
2010-03-01,41.72320556640625
2010-03-02,42.53636169433594
2010-03-03,43.33082962036133
2010-03-04,42.60179138183594
2010-03-05,43.39625549316406
2010-03-08,42.94761276245117
2010-03-09,42.60179138183594
2010-03-10,42.022300720214844
2010-03-11,42.3587760925293
2010-03-12,42.05034637451172
2010-03-15,42.003604888916016
2010-03-16,43.106502532958984
2010-03-17,43.246707916259766
2010-03-18,42.966304779052734
2010-03-19,42.34943389892578
2010-03-22,42.19054412841797
2010-03-23,42.32139205932617
2010-03-24,40.65769577026367
2010-03-25,40.10624694824219
2010-03-26,40.853973388671875
2010-03-29,41.433467864990234
2010-03-30,40.994178771972656
2010-03-31,41.508243560791016
2010-04-01,43.36821365356445
2010-04-05,43.83554458618164
2010-04-06,43.751426696777344
2010-04-07,45.03190612792969
2010-04-08,45.041255950927734
2010-04-09,45.49923324584961
2010-04-12,44.99452209472656
2010-04-13,44.630001068115234
2010-04-14,44.94778823852539
2010-04-15,44.461761474609375
2010-04-16,43.60187911987305
2010-04-19,43.545799255371094
2010-04-20,43.424285888671875
2010-04-21,43.910308837890625
2010-04-22,44.2654914855957
2010-04-23,45.0599479675293
2010-04-26,44.985172271728516
