Date,ROBO
2013-10-22,24.93177604675293
2013-10-23,24.57729721069336
2013-10-24,24.75453758239746
2013-10-25,24.587141036987305
2013-10-28,24.57729721069336
2013-10-29,24.69348907470703
2013-10-30,24.705303192138672
2013-10-31,24.813617706298828
2013-11-01,24.813617706298828
2013-11-04,24.95048713684082
2013-11-05,24.857927322387695
2013-11-06,24.983964920043945
2013-11-07,24.55760383605957
2013-11-08,24.853986740112305
2013-11-11,25.04009246826172
2013-11-12,25.059783935546875
2013-11-13,25.16809844970703
2013-11-14,25.3453369140625
2013-11-15,25.453651428222656
2013-11-18,25.522579193115234
2013-11-19,25.404417037963867
2013-11-20,25.01055145263672
2013-11-21,25.22718048095703
2013-11-22,25.384727478027344
2013-11-25,25.3157958984375
2013-11-26,25.352230072021484
2013-11-27,25.522579193115234
2013-11-29,25.601350784301758
2013-12-02,25.453651428222656
2013-12-03,25.3453369140625
2013-12-04,25.276411056518555
2013-12-05,25.17794418334961
2013-12-06,25.502883911132812
2013-12-09,25.49205207824707
2013-12-10,25.522579193115234
2013-12-11,25.207483291625977
2013-12-12,25.206501007080078
2013-12-13,25.237022399902344
2013-12-16,25.414264678955078
2013-12-17,25.483190536499023
2013-12-18,25.886905670166016
2013-12-19,25.680124282836914
2013-12-20,26.054298400878906
2013-12-23,26.33985137939453
2013-12-24,26.349695205688477
2013-12-26,26.59586524963379
2013-12-27,26.763256072998047
2013-12-30,26.861722946166992
2013-12-31,26.94049835205078
2014-01-02,26.586017608642578
2014-01-03,26.576169967651367
2014-01-06,26.526939392089844
2014-01-07,26.615558624267578
2014-01-08,26.763256072998047
2014-01-09,26.822336196899414
2014-01-10,27.029117584228516
2014-01-13,26.733718872070312
2014-01-14,27.019271850585938
2014-01-15,27.186664581298828
2014-01-16,27.157123565673828
2014-01-17,27.098045349121094
2014-01-21,27.16697120666504
2014-01-22,27.265438079833984
2014-01-23,26.989730834960938
2014-01-24,26.290616989135742
2014-01-27,25.94598388671875
2014-01-28,26.231534957885742
2014-01-29,26.064146041870117
2014-01-30,26.140947341918945
2014-01-31,25.84752082824707
2014-02-03,25.16809844970703
2014-02-04,25.305952072143555
2014-02-05,25.22718048095703
2014-02-06,25.483190536499023
2014-02-07,25.76874542236328
2014-02-10,25.72935676574707
2014-02-11,26.093685150146484
2014-02-12,26.251232147216797
2014-02-13,26.37923812866211
2014-02-14,26.477703094482422
2014-02-18,26.91095733642578
2014-02-19,26.546628952026367
2014-02-20,26.694332122802734
2014-02-21,26.62540626525879
2014-02-24,26.891263961791992
2014-02-25,26.723867416381836
2014-02-26,26.664791107177734
2014-02-27,26.88141632080078
2014-02-28,26.93065071105957
2014-03-03,26.545644760131836
2014-03-04,26.989730834960938
2014-03-05,27.019271850585938
2014-03-06,27.186664581298828
2014-03-07,27.136445999145508
2014-03-10,27.009424209594727
2014-03-11,26.664791107177734
2014-03-12,26.556476593017578
2014-03-13,26.172456741333008
2014-03-14,26.073989868164062
2014-03-17,26.32015609741211
2014-03-18,26.576169967651367
2014-03-19,26.487550735473633
2014-03-20,26.408777236938477
2014-03-21,26.33985137939453
2014-03-24,26.349695205688477
2014-03-25,26.615558624267578
2014-03-26,26.458011627197266
2014-03-27,26.290616989135742
2014-03-28,26.467857360839844
2014-03-31,26.792795181274414
2014-04-01,27.157123565673828
2014-04-02,27.28512954711914
2014-04-03,27.255590438842773
2014-04-04,26.674636840820312
2014-04-07,26.458011627197266
2014-04-08,26.33985137939453
2014-04-09,26.664791107177734
2014-04-10,25.896751403808594
2014-04-11,25.778593063354492
2014-04-14,25.73920440673828
2014-04-15,25.72935676574707
2014-04-16,26.054298400878906
2014-04-17,26.270923614501953
2014-04-21,26.30046272277832
2014-04-22,26.389081954956055
2014-04-23,26.21184539794922
2014-04-24,26.21184539794922
2014-04-25,25.788440704345703
2014-04-28,25.817977905273438
2014-04-29,25.699819564819336
2014-04-30,25.689971923828125
2014-05-01,25.709665298461914
2014-05-02,25.778593063354492
2014-05-05,25.63089370727539
2014-05-06,25.64073944091797
2014-05-07,25.330568313598633
2014-05-08,25.207483291625977
2014-05-09,25.15825080871582
2014-05-12,25.522579193115234
2014-05-13,25.502883911132812
2014-05-14,25.296104431152344
2014-05-15,25.049938201904297
2014-05-16,25.128711700439453
2014-05-19,25.04009246826172
2014-05-20,24.813617706298828
2014-05-21,25.069629669189453
2014-05-22,25.246870040893555
2014-05-23,25.58165740966797
2014-05-27,25.965681076049805
2014-05-28,25.837671279907227
2014-05-29,25.91644287109375
2014-05-30,25.906599044799805
2014-06-02,25.99521827697754
2014-06-03,26.054298400878906
2014-06-04,26.093685150146484
2014-06-05,26.448162078857422
2014-06-06,26.526939392089844
2014-06-09,26.704177856445312
2014-06-10,26.51708984375
2014-06-11,26.59586524963379
2014-06-12,26.49739646911621
2014-06-13,26.59586524963379
2014-06-16,26.77310562133789
2014-06-17,26.901111602783203
2014-06-18,27.147279739379883
2014-06-19,27.235897064208984
2014-06-20,27.216203689575195
2014-06-23,27.245742797851562
2014-06-24,27.029117584228516
2014-06-25,27.068504333496094
2014-06-26,27.058658599853516
2014-06-27,27.226051330566406
2014-06-30,27.462369918823242
2014-07-01,27.856239318847656
2014-07-02,27.669151306152344
2014-07-03,27.816848754882812
2014-07-07,27.393444061279297
2014-07-08,27.098045349121094
2014-07-09,27.117738723754883
2014-07-10,26.812488555908203
2014-07-11,26.733718872070312
2014-07-14,27.038963317871094
2014-07-15,26.77310562133789
2014-07-16,26.743566513061523
2014-07-17,26.428470611572266
2014-07-18,26.664791107177734
