Date,PJP
2010-01-04,16.205076217651367
2010-01-05,16.10219383239746
2010-01-06,16.08504295349121
2010-01-07,16.11076545715332
2010-01-08,16.127910614013672
2010-01-11,16.282241821289062
2010-01-12,16.15363311767578
2010-01-13,16.350839614868164
2010-01-14,16.496597290039062
2010-01-15,16.350839614868164
2010-01-19,16.676651000976562
2010-01-20,16.616641998291016
2010-01-21,16.19650650024414
2010-01-22,15.947858810424805
2010-01-25,15.947858810424805
2010-01-26,15.990728378295898
2010-01-27,16.15363311767578
2010-01-28,16.007875442504883
2010-01-29,15.965007781982422
2010-02-01,16.016450881958008
2010-02-02,16.239376068115234
2010-02-03,16.127910614013672
2010-02-04,15.63918685913086
2010-02-05,15.724932670593262
2010-02-08,15.647757530212402
2010-02-09,15.716352462768555
2010-02-10,15.682061195373535
2010-02-11,15.879263877868652
2010-02-12,15.879263877868652
2010-02-16,16.076467514038086
2010-02-17,16.170778274536133
2010-02-18,16.222219467163086
2010-02-19,16.265094757080078
2010-02-22,16.239376068115234
2010-02-23,16.050743103027344
2010-02-24,16.290817260742188
2010-02-25,16.307964324951172
2010-02-26,16.376567840576172
2010-03-01,16.539474487304688
2010-03-02,16.642353057861328
2010-03-03,16.633777618408203
2010-03-04,16.633777618408203
2010-03-05,16.805267333984375
2010-03-08,16.745248794555664
2010-03-09,16.745248794555664
2010-03-10,16.891006469726562
2010-03-11,17.002470016479492
2010-03-12,16.97675895690918
2010-03-15,17.019624710083008
2010-03-16,17.05391502380371
2010-03-17,17.139659881591797
2010-03-18,17.148231506347656
2010-03-19,17.05391502380371
2010-03-22,17.25112533569336
2010-03-23,17.44832420349121
2010-03-24,17.268268585205078
2010-03-25,17.148231506347656
2010-03-26,17.028194427490234
2010-03-29,17.216827392578125
2010-03-30,17.225400924682617
2010-03-31,17.15680503845215
2010-04-01,17.25112533569336
2010-04-05,17.27684783935547
2010-04-06,17.285415649414062
2010-04-07,17.191102981567383
2010-04-08,17.122507095336914
2010-04-09,17.122507095336914
2010-04-12,17.13108253479004
2010-04-13,17.15680503845215
2010-04-14,17.165386199951172
2010-04-15,17.18252944946289
2010-04-16,17.139659881591797
2010-04-19,17.15680503845215
2010-04-20,17.17395782470703
2010-04-21,16.9252986907959
2010-04-22,16.676651000976562
2010-04-23,16.822418212890625
2010-04-26,16.71095085144043
2010-04-27,16.505172729492188
2010-04-28,16.625205993652344
2010-04-29,16.933879852294922
2010-04-30,16.770973205566406
2010-05-03,16.95102882385254
2010-05-04,16.933879852294922
2010-05-05,16.94244956970215
2010-05-06,16.393707275390625
2010-05-07,16.05931854248047
2010-05-10,16.513748168945312
2010-05-11,16.728099822998047
2010-05-12,16.848129272460938
2010-05-13,16.539474487304688
2010-05-14,16.230798721313477
2010-05-17,16.299392700195312
2010-05-18,16.18793487548828
2010-05-19,16.136486053466797
2010-05-20,15.587740898132324
2010-05-21,15.604893684387207
2010-05-24,15.55344295501709
2010-05-25,15.536299705505371
2010-05-26,15.65633487701416
2010-05-27,15.8106689453125
2010-05-28,15.990728378295898
2010-06-01,15.724932670593262
2010-06-02,15.922133445739746
2010-06-03,16.05931854248047
2010-06-04,15.544865608215332
2010-06-07,15.4334135055542
2010-06-08,15.347665786743164
2010-06-09,15.279071807861328
2010-06-10,15.647757530212402
2010-06-11,15.819246292114258
2010-06-14,15.965007781982422
2010-06-15,16.213651657104492
2010-06-16,16.282241821289062
2010-06-17,16.205076217651367
2010-06-18,16.235137939453125
2010-06-21,16.157827377319336
2010-06-22,16.132070541381836
2010-06-23,16.132070541381836
2010-06-24,16.04616928100586
2010-06-25,16.24373435974121
2010-06-28,16.235137939453125
2010-06-29,15.882952690124512
2010-06-30,15.702564239501953
2010-07-01,15.47063159942627
2010-07-02,15.676793098449707
2010-07-06,15.599483489990234
2010-07-07,15.857185363769531
2010-07-08,16.132070541381836
2010-07-09,16.24373435974121
2010-07-12,16.132070541381836
2010-07-13,16.33822250366211
2010-07-14,16.24373435974121
2010-07-15,16.424123764038086
2010-07-16,16.028982162475586
2010-07-19,16.114891052246094
2010-07-20,16.16642189025879
2010-07-21,16.0203914642334
2010-07-22,16.278095245361328
2010-07-23,16.2523250579834
2010-07-26,16.58733558654785
2010-07-27,16.67323112487793
2010-07-28,16.398357391357422
2010-07-29,16.44989585876465
2010-07-30,16.501426696777344
2010-08-02,16.76772689819336
2010-08-03,17.02542495727539
2010-08-04,17.042606353759766
2010-08-05,17.059782028198242
2010-08-06,17.102739334106445
2010-08-09,17.231582641601562
2010-08-10,17.3432559967041
2010-08-11,16.810672760009766
2010-08-12,16.930938720703125
2010-08-13,16.853626251220703
2010-08-16,16.83644676208496
2010-08-17,17.016836166381836
2010-08-18,17.059782028198242
2010-08-19,16.73336410522461
2010-08-20,16.741954803466797
2010-08-23,16.73336410522461
2010-08-24,16.467079162597656
2010-08-25,16.552974700927734
2010-08-26,16.501426696777344
2010-08-27,16.750545501708984
2010-08-30,16.501426696777344
2010-08-31,16.492843627929688
2010-09-01,16.870811462402344
2010-09-02,17.042606353759766
2010-09-03,17.19723129272461
2010-09-07,17.059782028198242
2010-09-08,17.2058162689209
2010-09-09,17.377614974975586
2010-09-10,17.52364730834961
2010-09-13,17.56659507751465
2010-09-14,17.609546661376953
2010-09-15,17.79853057861328
2010-09-16,17.729806900024414
2010-09-17,17.752182006835938
2010-09-20,18.11359214782715
2010-09-21,18.14801597595215
2010-09-22,18.079172134399414
2010-09-23,17.99312400817871
2010-09-24,18.285701751708984
2010-09-27,18.173828125
2010-09-28,18.397554397583008
