Date,KOL
2010-01-04,26.865598678588867
2010-01-05,27.901620864868164
2010-01-06,28.412532806396484
2010-01-07,28.377056121826172
2010-01-08,28.738950729370117
2010-01-11,28.561552047729492
2010-01-12,27.993873596191406
2010-01-13,28.114498138427734
2010-01-14,28.071929931640625
2010-01-15,27.553918838500977
2010-01-19,28.03643798828125
2010-01-20,27.234596252441406
2010-01-21,25.53864097595215
2010-01-22,24.786460876464844
2010-01-25,25.24770164489746
2010-01-26,24.892902374267578
2010-01-27,24.609060287475586
2010-01-28,24.424564361572266
2010-01-29,23.310482025146484
2010-02-01,24.062660217285156
2010-02-02,24.275543212890625
2010-02-03,24.289735794067383
2010-02-04,22.693124771118164
2010-02-05,22.586685180664062
2010-02-08,22.146730422973633
2010-02-09,22.906009674072266
2010-02-10,22.906009674072266
2010-02-11,23.878170013427734
2010-02-12,24.01299285888672
2010-02-16,24.814847946166992
2010-02-17,25.056110382080078
2010-02-18,25.070301055908203
2010-02-19,24.94966697692871
2010-02-22,24.999340057373047
2010-02-23,24.027183532714844
2010-02-24,24.523906707763672
2010-02-25,24.62325096130371
2010-02-26,25.013530731201172
2010-03-01,25.744422912597656
2010-03-02,25.865055084228516
2010-03-03,26.198570251464844
2010-03-04,25.957305908203125
2010-03-05,26.89398193359375
2010-03-08,26.81592559814453
2010-03-09,26.865598678588867
2010-03-10,27.014616012573242
2010-03-11,27.035903930664062
2010-03-12,27.028804779052734
2010-03-15,26.446935653686523
2010-03-16,26.716581344604492
2010-03-17,27.27716636657715
2010-03-18,26.752059936523438
2010-03-19,26.148895263671875
2010-03-22,26.042457580566406
2010-03-23,26.439828872680664
2010-03-24,26.3759708404541
2010-03-25,25.61669158935547
2010-03-26,26.09212875366211
2010-03-29,26.908170700073242
2010-03-30,26.84431266784668
2010-03-31,26.75916290283203
2010-04-01,27.511335372924805
2010-04-05,28.107404708862305
2010-04-06,28.320283889770508
2010-04-07,27.937101364135742
2010-04-08,27.78098487854004
2010-04-09,28.27060890197754
2010-04-12,28.398340225219727
2010-04-13,28.192554473876953
2010-04-14,28.490591049194336
2010-04-15,28.540267944335938
2010-04-16,27.468761444091797
2010-04-19,27.1920166015625
2010-04-20,27.76679229736328
2010-04-21,27.688739776611328
2010-04-22,27.688739776611328
2010-04-23,28.093215942382812
2010-04-26,27.986770629882812
2010-04-27,26.950754165649414
2010-04-28,27.19911003112793
2010-04-29,27.135250091552734
2010-04-30,26.510799407958984
2010-05-03,26.198570251464844
2010-05-04,24.82193946838379
2010-05-05,24.44584846496582
2010-05-06,23.324674606323242
2010-05-07,23.338865280151367
2010-05-10,25.446393966674805
2010-05-11,24.46004295349121
2010-05-12,25.077396392822266
2010-05-13,24.978055953979492
2010-05-14,24.218772888183594
2010-05-17,23.45949935913086
2010-05-18,22.863433837890625
2010-05-19,22.18221664428711
2010-05-20,20.933311462402344
2010-05-21,21.806121826171875
2010-05-24,21.23134422302246
2010-05-25,21.3306884765625
2010-05-26,21.586145401000977
2010-05-27,23.25371551513672
2010-05-28,22.856334686279297
2010-06-01,21.79193115234375
2010-06-02,22.92020034790039
2010-06-03,22.68602752685547
2010-06-04,21.600337982177734
2010-06-07,20.912023544311523
2010-06-08,21.50098991394043
2010-06-09,21.465513229370117
2010-06-10,22.59378433227539
2010-06-11,22.84214210510254
2010-06-14,22.877626419067383
2010-06-15,23.778820037841797
2010-06-16,23.643997192382812
2010-06-17,23.25371551513672
2010-06-18,23.516265869140625
2010-06-21,23.956218719482422
2010-06-22,23.189851760864258
2010-06-23,23.445310592651367
2010-06-24,23.07631492614746
2010-06-25,23.431114196777344
2010-06-28,22.65764808654785
2010-06-29,21.337785720825195
2010-06-30,21.153287887573242
2010-07-01,21.181673049926758
2010-07-02,20.933311462402344
2010-07-06,21.57195281982422
2010-07-07,22.409286499023438
2010-07-08,22.579587936401367
2010-07-09,23.005352020263672
2010-07-12,22.65764808654785
2010-07-13,22.863433837890625
2010-07-14,22.721511840820312
2010-07-15,22.46605682373047
2010-07-16,21.784839630126953
2010-07-19,21.926755905151367
2010-07-20,22.877626419067383
2010-07-21,22.764087677001953
2010-07-22,23.878170013427734
2010-07-23,24.268447875976562
2010-07-26,24.339406967163086
2010-07-27,23.899452209472656
2010-07-28,23.81430435180664
2010-07-29,23.693666458129883
2010-07-30,23.906545639038086
2010-08-02,24.956758499145508
2010-08-03,24.807748794555664
2010-08-04,25.056110382080078
2010-08-05,25.00643539428711
2010-08-06,25.077396392822266
2010-08-09,25.056110382080078
2010-08-10,24.44584846496582
2010-08-11,23.452404022216797
2010-08-12,23.388540267944336
2010-08-13,23.409826278686523
2010-08-16,23.643997192382812
2010-08-17,24.218772888183594
2010-08-18,24.098140716552734
2010-08-19,23.757535934448242
2010-08-20,23.80011558532715
2010-08-23,23.45949935913086
2010-08-24,22.849241256713867
2010-08-25,22.629262924194336
2010-08-26,22.33832550048828
2010-08-27,22.962778091430664
2010-08-30,22.558303833007812
2010-08-31,22.84214210510254
2010-09-01,24.062660217285156
2010-09-02,24.14781379699707
2010-09-03,24.3677921295166
2010-09-07,23.977508544921875
2010-09-08,24.38907814025879
2010-09-09,24.424564361572266
2010-09-10,24.481327056884766
2010-09-13,24.963857650756836
2010-09-14,25.04901123046875
2010-09-15,24.978055953979492
2010-09-16,25.169645309448242
2010-09-17,25.183841705322266
2010-09-20,25.7231388092041
2010-09-21,25.744422912597656
2010-09-22,25.836671829223633
2010-09-23,25.446393966674805
2010-09-24,26.333396911621094
2010-09-27,26.383066177368164
2010-09-28,26.461122512817383
