Date,PNQI
2010-01-04,26.220048904418945
2010-01-05,26.309982299804688
2010-01-06,26.030193328857422
2010-01-07,25.720430374145508
2010-01-08,25.890300750732422
2010-01-11,25.800369262695312
2010-01-12,25.230802536010742
2010-01-13,25.75040626525879
2010-01-14,25.850332260131836
2010-01-15,25.440641403198242
2010-01-19,25.53057289123535
2010-01-20,25.210817337036133
2010-01-21,25.260780334472656
2010-01-22,24.321495056152344
2010-01-25,24.281524658203125
2010-01-26,24.3015079498291
2010-01-27,24.33148765563965
2010-01-28,24.25154685974121
2010-01-29,23.851852416992188
2010-02-01,24.011730194091797
2010-02-02,24.201583862304688
2010-02-03,24.481372833251953
2010-02-04,23.75192642211914
2010-02-05,23.84185791015625
2010-02-08,23.771913528442383
2010-02-09,23.95177459716797
2010-02-10,24.0217227935791
2010-02-11,24.461387634277344
2010-02-12,24.501358032226562
2010-02-16,24.711196899414062
2010-02-17,24.731182098388672
2010-02-18,25.110891342163086
2010-02-19,25.27077293395996
2010-02-22,25.28076171875
2010-02-23,24.970998764038086
2010-02-24,25.170848846435547
2010-02-25,25.04094696044922
2010-02-26,25.210817337036133
2010-03-01,25.860322952270508
2010-03-02,25.850332260131836
2010-03-03,25.790374755859375
2010-03-04,26.100141525268555
2010-03-05,26.54979705810547
2010-03-08,26.669708251953125
2010-03-09,27.06940269470215
2010-03-10,27.38916015625
2010-03-11,27.289236068725586
2010-03-12,27.409143447875977
2010-03-15,27.259260177612305
2010-03-16,27.519062042236328
2010-03-17,27.79884910583496
2010-03-18,27.678939819335938
2010-03-19,27.399152755737305
2010-03-22,27.529052734375
2010-03-23,27.489084243774414
2010-03-24,27.42913055419922
2010-03-25,27.54903793334961
2010-03-26,27.47909164428711
2010-03-29,27.599000930786133
2010-03-30,27.68893051147461
2010-03-31,27.589008331298828
2010-04-01,27.509069442749023
2010-04-05,27.92875099182129
2010-04-06,28.2984676361084
2010-04-07,28.058650970458984
2010-04-08,28.198543548583984
2010-04-09,28.3684139251709
2010-04-12,28.61822509765625
2010-04-13,28.66818618774414
2010-04-14,29.0079288482666
2010-04-15,29.287715911865234
2010-04-16,28.408384323120117
2010-04-19,28.148582458496094
2010-04-20,28.66818618774414
2010-04-21,28.638208389282227
2010-04-22,28.80807876586914
2010-04-23,28.638208389282227
2010-04-26,28.878026962280273
2010-04-27,28.098621368408203
2010-04-28,27.758880615234375
2010-04-29,28.768110275268555
2010-04-30,28.058650970458984
2010-05-03,28.3684139251709
2010-05-04,27.449111938476562
2010-05-05,27.169328689575195
2010-05-06,26.56978416442871
2010-05-07,25.78038215637207
2010-05-10,27.349191665649414
2010-05-11,27.29922866821289
2010-05-12,27.828824996948242
2010-05-13,27.878787994384766
2010-05-14,27.259260177612305
2010-05-17,27.089387893676758
2010-05-18,27.13934898376465
2010-05-19,26.729660034179688
2010-05-20,25.75040626525879
2010-05-21,26.16009521484375
2010-05-24,26.16009521484375
2010-05-25,25.98023223876953
2010-05-26,26.07016372680664
2010-05-27,26.829586029052734
2010-05-28,26.859561920166016
2010-06-01,26.429889678955078
2010-06-02,26.769630432128906
2010-06-03,27.359180450439453
2010-06-04,26.529813766479492
2010-06-07,25.970239639282227
2010-06-08,25.810361862182617
2010-06-09,26.25002670288086
2010-06-10,26.6896915435791
2010-06-11,26.97947120666504
2010-06-14,27.259260177612305
2010-06-15,27.56902313232422
2010-06-16,27.788854598999023
2010-06-17,27.49907684326172
2010-06-18,27.608991622924805
2010-06-21,27.309221267700195
2010-06-22,27.029434204101562
2010-06-23,26.969478607177734
2010-06-24,26.51982307434082
2010-06-25,26.849571228027344
2010-06-28,26.6197452545166
2010-06-29,25.25078773498535
2010-06-30,25.090909957885742
2010-07-01,25.03095245361328
2010-07-02,24.871076583862305
2010-07-06,24.831106185913086
2010-07-07,25.580535888671875
2010-07-08,25.96024513244629
2010-07-09,26.23004150390625
2010-07-12,26.289995193481445
2010-07-13,27.109371185302734
2010-07-14,27.04941749572754
2010-07-15,27.179319381713867
2010-07-16,26.309982299804688
2010-07-19,26.499835968017578
2010-07-20,26.809600830078125
2010-07-21,26.33995819091797
2010-07-22,26.809600830078125
2010-07-23,27.249267578125
2010-07-26,27.36917495727539
2010-07-27,27.4591064453125
2010-07-28,26.97947120666504
2010-07-29,26.809600830078125
2010-07-30,26.899532318115234
2010-08-02,27.15933609008789
2010-08-03,27.319211959838867
2010-08-04,28.11860466003418
2010-08-05,27.93874168395996
2010-08-06,28.12859535217285
2010-08-09,28.488323211669922
2010-08-10,28.488323211669922
2010-08-11,27.599000930786133
2010-08-12,27.808839797973633
2010-08-13,27.788854598999023
2010-08-16,27.808839797973633
2010-08-17,28.11860466003418
2010-08-18,27.97871208190918
2010-08-19,28.02867317199707
2010-08-20,28.148582458496094
2010-08-23,27.858800888061523
2010-08-24,27.359180450439453
2010-08-25,27.648962020874023
2010-08-26,27.49907684326172
2010-08-27,28.108612060546875
2010-08-30,27.599000930786133
2010-08-31,27.61898422241211
2010-09-01,28.638208389282227
2010-09-02,29.137828826904297
2010-09-03,29.39763069152832
2010-09-07,29.137828826904297
2010-09-08,29.547517776489258
2010-09-09,29.587488174438477
2010-09-10,29.677419662475586
2010-09-13,30.177040100097656
2010-09-14,30.177040100097656
2010-09-15,30.23699378967285
2010-09-16,30.34691047668457
2010-09-17,30.456825256347656
2010-09-20,31.146299362182617
2010-09-21,31.39611053466797
2010-09-22,31.266210556030273
2010-09-23,31.496036529541016
2010-09-24,32.255455017089844
2010-09-27,32.57521438598633
2010-09-28,32.53524398803711
