Date,PXE
2010-01-04,13.776644706726074
2010-01-05,13.960009574890137
2010-01-06,14.071624755859375
2010-01-07,14.007843017578125
2010-01-08,13.991899490356445
2010-01-11,13.967985153198242
2010-01-12,13.641107559204102
2010-01-13,13.70488452911377
2010-01-14,13.768670082092285
2010-01-15,13.617194175720215
2010-01-19,13.776644706726074
2010-01-20,13.665026664733887
2010-01-21,13.433815956115723
2010-01-22,13.18666934967041
2010-01-25,13.35408878326416
2010-01-26,13.23450756072998
2010-01-27,13.10694408416748
2010-01-28,13.003299713134766
2010-01-29,12.756149291992188
2010-02-01,13.17869758605957
2010-02-02,13.417874336242676
2010-02-03,13.226532936096191
2010-02-04,12.61264419555664
2010-02-05,12.540889739990234
2010-02-08,12.580754280090332
2010-02-09,12.700339317321777
2010-02-10,12.700339317321777
2010-02-11,12.963436126708984
2010-02-12,13.011271476745605
2010-02-16,13.385982513427734
2010-02-17,13.441792488098145
2010-02-18,13.513545036315918
2010-02-19,13.529491424560547
2010-02-22,13.370036125183105
2010-02-23,13.067081451416016
2010-02-24,13.154776573181152
2010-02-25,13.210586547851562
2010-02-26,13.274365425109863
2010-03-01,13.457738876342773
2010-03-02,13.561382293701172
2010-03-03,13.569355010986328
2010-03-04,13.465709686279297
2010-03-05,13.70488452911377
2010-03-08,13.657052993774414
2010-03-09,13.688942909240723
2010-03-10,13.82447338104248
2010-03-11,13.888257026672363
2010-03-12,13.936091423034668
2010-03-15,13.856368064880371
2010-03-16,13.983927726745605
2010-03-17,14.103515625
2010-03-18,13.82447338104248
2010-03-19,13.609213829040527
2010-03-22,13.665026664733887
2010-03-23,13.856368064880371
2010-03-24,13.792584419250488
2010-03-25,13.465709686279297
2010-03-26,13.409904479980469
2010-03-29,13.720832824707031
2010-03-30,13.736778259277344
2010-03-31,13.856368064880371
2010-04-01,14.262969017028809
2010-04-05,14.65362548828125
2010-04-06,14.70943546295166
2010-04-07,14.486202239990234
2010-04-08,14.597823143005371
2010-04-09,14.789162635803223
2010-04-12,14.829024314880371
2010-04-13,14.741320610046387
2010-04-14,14.924695014953613
2010-04-15,14.94861125946045
2010-04-16,14.70146369934082
2010-04-19,14.621736526489258
2010-04-20,14.892803192138672
2010-04-21,14.805106163024902
2010-04-22,14.916722297668457
2010-04-23,15.26751708984375
2010-04-26,15.171841621398926
2010-04-27,14.70146369934082
2010-04-28,14.789162635803223
2010-04-29,14.805106163024902
2010-04-30,14.725380897521973
2010-05-03,15.044281959533691
2010-05-04,14.65362548828125
2010-05-05,14.270940780639648
2010-05-06,13.720832824707031
2010-05-07,13.401927947998047
2010-05-10,14.055684089660645
2010-05-11,14.071624755859375
2010-05-12,14.414451599121094
2010-05-13,14.310803413391113
2010-05-14,14.063654899597168
2010-05-17,13.840422630310059
2010-05-18,13.7447509765625
2010-05-19,13.545435905456543
2010-05-20,12.843850135803223
2010-05-21,13.154776573181152
2010-05-24,12.843850135803223
2010-05-25,12.915604591369629
2010-05-26,13.083024978637695
2010-05-27,13.585299491882324
2010-05-28,13.617194175720215
2010-06-01,13.035187721252441
2010-06-02,13.593269348144531
2010-06-03,13.832448959350586
2010-06-04,13.346124649047852
2010-06-07,13.282341957092285
2010-06-08,13.425848960876465
2010-06-09,13.314229965209961
2010-06-10,13.960009574890137
2010-06-11,14.183244705200195
2010-06-14,14.286890029907227
2010-06-15,14.621736526489258
2010-06-16,14.534037590026855
2010-06-17,14.478231430053711
2010-06-18,14.580379486083984
2010-06-21,14.492594718933105
2010-06-22,14.045686721801758
2010-06-23,13.949918746948242
2010-06-24,13.654641151428223
2010-06-25,13.790314674377441
2010-06-28,13.686561584472656
2010-06-29,13.159850120544434
2010-06-30,13.064081192016602
2010-07-01,12.936391830444336
2010-07-02,12.832649230957031
2010-07-06,12.896491050720215
2010-07-07,13.375323295593262
2010-07-08,13.614738464355469
2010-07-09,13.718481063842773
2010-07-12,13.590794563293457
2010-07-13,13.910016059875488
2010-07-14,13.925976753234863
2010-07-15,13.862133979797363
2010-07-16,13.391284942626953
2010-07-19,13.455129623413086
2010-07-20,13.798287391662598
2010-07-21,13.654641151428223
2010-07-22,14.005781173706055
2010-07-23,14.101548194885254
2010-07-26,14.285099029541016
2010-07-27,14.181355476379395
2010-07-28,14.021739959716797
2010-07-29,14.101548194885254
2010-07-30,14.101548194885254
2010-08-02,14.540473937988281
2010-08-03,14.500574111938477
2010-08-04,14.724030494689941
2010-08-05,14.676141738891602
2010-08-06,14.540473937988281
2010-08-09,14.652200698852539
2010-08-10,14.452692031860352
2010-08-11,13.917997360229492
2010-08-12,13.846173286437988
2010-08-13,13.838188171386719
2010-08-16,13.782329559326172
2010-08-17,13.989823341369629
2010-08-18,13.949918746948242
2010-08-19,13.718481063842773
2010-08-20,13.510992050170898
2010-08-23,13.487051010131836
2010-08-24,13.263594627380371
2010-08-25,13.231675148010254
2010-08-26,13.151869773864746
2010-08-27,13.526952743530273
2010-08-30,13.367339134216309
2010-08-31,13.383301734924316
2010-09-01,13.830209732055664
2010-09-02,13.965883255004883
2010-09-03,14.165393829345703
2010-09-07,13.902036666870117
2010-09-08,13.957900047302246
2010-09-09,13.989823341369629
2010-09-10,14.093568801879883
2010-09-13,14.293086051940918
2010-09-14,14.285099029541016
2010-09-15,14.157408714294434
2010-09-16,14.085585594177246
2010-09-17,14.03600025177002
2010-09-20,14.395899772644043
2010-09-21,14.291932106018066
2010-09-22,14.171964645385742
2010-09-23,14.028003692626953
2010-09-24,14.403901100158691
2010-09-27,14.379907608032227
2010-09-28,14.467880249023438
