Date,GDXJ
2010-01-04,83.20503234863281
2010-01-05,84.1060562133789
2010-01-06,86.46736907958984
2010-01-07,86.24987030029297
2010-01-08,87.64801025390625
2010-01-11,88.48690795898438
2010-01-12,84.47888946533203
2010-01-13,86.0013198852539
2010-01-14,85.81489562988281
2010-01-15,84.6963882446289
2010-01-19,84.50997161865234
2010-01-20,80.06697845458984
2010-01-21,75.43757629394531
2010-01-22,74.87830352783203
2010-01-25,74.41226959228516
2010-01-26,74.03943634033203
2010-01-27,72.23737335205078
2010-01-28,71.2431411743164
2010-01-29,68.88182830810547
2010-02-01,73.94621276855469
2010-02-02,74.28797912597656
2010-02-03,73.41802978515625
2010-02-04,68.167236328125
2010-02-05,71.2431411743164
2010-02-08,69.03718566894531
2010-02-09,72.7344970703125
2010-02-10,72.51701354980469
2010-02-11,76.40072631835938
2010-02-12,75.53077697753906
2010-02-16,78.4202651977539
2010-02-17,77.86101531982422
2010-02-18,77.76780700683594
2010-02-19,76.80464172363281
2010-02-22,75.87255096435547
2010-02-23,72.42379760742188
2010-02-24,72.45486450195312
2010-02-25,74.07049560546875
2010-02-26,75.12686920166016
2010-03-01,76.71143341064453
2010-03-02,78.23385620117188
2010-03-03,79.63199615478516
2010-03-04,78.82418060302734
2010-03-05,80.28446197509766
2010-03-08,79.97376251220703
2010-03-09,79.22810363769531
2010-03-10,78.88632202148438
2010-03-11,80.0980453491211
2010-03-12,80.06697845458984
2010-03-15,79.8494873046875
2010-03-16,82.98754119873047
2010-03-17,83.04966735839844
2010-03-18,82.33507537841797
2010-03-19,81.06121063232422
2010-03-22,80.56409454345703
2010-03-23,82.1486587524414
2010-03-24,78.23385620117188
2010-03-25,77.42603302001953
2010-03-26,79.22810363769531
2010-03-29,80.47088623046875
2010-03-30,79.53878784179688
2010-03-31,79.91162872314453
2010-04-01,82.58363342285156
2010-04-05,84.85173797607422
2010-04-06,85.0692138671875
2010-04-07,86.37415313720703
2010-04-08,86.65377044677734
2010-04-09,87.92764282226562
2010-04-12,86.84020233154297
2010-04-13,86.1255874633789
2010-04-14,87.80337524414062
2010-04-15,87.24410247802734
2010-04-16,84.63424682617188
2010-04-19,84.13712310791016
2010-04-20,85.3177719116211
