Date,GII
2010-01-04,30.157419204711914
2010-01-05,29.723501205444336
2010-01-06,29.93345832824707
2010-01-07,29.58353042602539
2010-01-08,29.898475646972656
2010-01-11,30.374385833740234
2010-01-12,29.79348373413086
2010-01-13,30.017454147338867
2010-01-14,30.423376083374023
2010-01-15,29.709508895874023
2010-01-19,30.388381958007812
2010-01-20,29.471553802490234
2010-01-21,29.44356346130371
2010-01-22,28.834665298461914
2010-01-25,29.2615909576416
2010-01-26,29.121612548828125
2010-01-27,28.575716018676758
2010-01-28,28.60371208190918
2010-01-29,28.050806045532227
2010-02-01,28.5477237701416
2010-02-02,28.82766342163086
2010-02-03,28.491735458374023
2010-02-04,27.735872268676758
2010-02-05,27.385940551757812
2010-02-08,27.294952392578125
2010-02-09,27.504919052124023
2010-02-10,27.42091941833496
2010-02-11,27.546907424926758
2010-02-12,27.532907485961914
2010-02-16,27.917837142944336
2010-02-17,28.071809768676758
2010-02-18,28.043811798095703
2010-02-19,28.19778060913086
2010-02-22,28.127798080444336
2010-02-23,27.82685089111328
2010-02-24,28.02981948852539
2010-02-25,27.80586051940918
2010-02-26,27.714881896972656
2010-03-01,28.204784393310547
2010-03-02,28.44973373413086
2010-03-03,28.60371208190918
2010-03-04,28.32376480102539
2010-03-05,28.67369842529297
2010-03-08,28.617700576782227
2010-03-09,28.554718017578125
2010-03-10,28.890653610229492
2010-03-11,28.981639862060547
2010-03-12,28.869657516479492
2010-03-15,28.687694549560547
2010-03-16,29.016633987426758
2010-03-17,29.10062026977539
2010-03-18,28.848670959472656
2010-03-19,28.596715927124023
2010-03-22,28.47772789001465
2010-03-23,28.687694549560547
2010-03-24,28.204784393310547
2010-03-25,28.225780487060547
2010-03-26,28.2747745513916
2010-03-29,28.575716018676758
2010-03-30,28.82766342163086
2010-03-31,28.624713897705078
2010-04-01,29.10761833190918
2010-04-05,28.918649673461914
2010-04-06,29.114620208740234
2010-04-07,28.855661392211914
2010-04-08,28.89765739440918
2010-04-09,29.31757926940918
2010-04-12,29.331571578979492
2010-04-13,29.373573303222656
2010-04-14,29.506546020507812
2010-04-15,29.415557861328125
2010-04-16,28.841665267944336
2010-04-19,28.82766342163086
2010-04-20,29.10062026977539
2010-04-21,29.10062026977539
2010-04-22,28.869657516479492
2010-04-23,29.05862808227539
2010-04-26,28.953649520874023
2010-04-27,28.204784393310547
2010-04-28,28.28876304626465
2010-04-29,28.40774917602539
2010-04-30,28.344758987426758
2010-05-03,28.617700576782227
2010-05-04,27.903839111328125
2010-05-05,27.42091941833496
2010-05-06,25.95820426940918
2010-05-07,26.266138076782227
2010-05-10,27.44892692565918
2010-05-11,27.553903579711914
2010-05-12,27.72187614440918
2010-05-13,27.308958053588867
2010-05-14,26.72806167602539
2010-05-17,26.91701889038086
2010-05-18,26.644075393676758
2010-05-19,26.54609489440918
2010-05-20,25.727243423461914
2010-05-21,25.839216232299805
2010-05-24,25.573270797729492
2010-05-25,25.6502628326416
2010-05-26,25.300321578979492
2010-05-27,26.147165298461914
2010-05-28,26.18216323852539
2010-06-01,25.720247268676758
2010-06-02,26.294137954711914
2010-06-03,26.48310089111328
2010-06-04,25.944196701049805
2010-06-07,25.447294235229492
2010-06-08,25.846220016479492
2010-06-09,25.916208267211914
2010-06-10,26.434112548828125
2010-06-11,26.48310089111328
2010-06-14,26.651077270507812
2010-06-15,27.51191520690918
2010-06-16,27.539901733398438
2010-06-17,27.294952392578125
2010-06-18,27.516197204589844
2010-06-21,27.272754669189453
2010-06-22,26.907594680786133
2010-06-23,26.929075241088867
2010-06-24,26.821674346923828
2010-06-25,26.671306610107422
2010-06-28,26.614030838012695
2010-06-29,25.983945846557617
2010-06-30,25.83357810974121
2010-07-01,26.105663299560547
2010-07-02,26.234548568725586
2010-07-06,26.413541793823242
2010-07-07,27.473237991333008
2010-07-08,27.39447593688965
2010-07-09,27.451759338378906
2010-07-12,27.387313842773438
2010-07-13,27.52336311340332
2010-07-14,27.70952606201172
2010-07-15,27.731002807617188
2010-07-16,27.186840057373047
2010-07-19,27.49472427368164
2010-07-20,27.659400939941406
2010-07-21,27.179676055908203
2010-07-22,27.952964782714844
2010-07-23,27.98160743713379
2010-07-26,28.139129638671875
2010-07-27,28.318126678466797
2010-07-28,28.13197135925293
2010-07-29,28.196409225463867
2010-07-30,28.16776466369629
2010-08-02,28.769216537475586
2010-08-03,28.89093589782715
2010-08-04,28.79069709777832
2010-08-05,28.919574737548828
2010-08-06,28.740575790405273
2010-08-09,29.06993865966797
2010-08-10,29.019811630249023
2010-08-11,28.174924850463867
2010-08-12,28.110485076904297
2010-08-13,28.12481117248535
2010-08-16,28.03888511657715
2010-08-17,28.504291534423828
2010-08-18,28.439855575561523
2010-08-19,27.731002807617188
2010-08-20,27.938648223876953
2010-08-23,28.03888511657715
2010-08-24,27.759647369384766
2010-08-25,27.83839988708496
2010-08-26,27.88136100769043
2010-08-27,28.28948974609375
2010-08-30,27.960128784179688
2010-08-31,27.88136100769043
2010-09-01,28.640335083007812
2010-09-02,28.81217384338379
2010-09-03,28.89809799194336
2010-09-07,28.883773803710938
2010-09-08,29.077102661132812
2010-09-09,29.077102661132812
2010-09-10,28.94821548461914
2010-09-13,29.055625915527344
2010-09-14,29.198823928833008
2010-09-15,29.09142303466797
2010-09-16,28.740575790405273
2010-09-17,28.6117000579834
2010-09-20,28.819337844848633
2010-09-21,29.034135818481445
2010-09-22,29.06993865966797
2010-09-23,28.640335083007812
2010-09-24,29.34917449951172
2010-09-27,29.442262649536133
2010-09-28,29.342016220092773
