Date,PEJ
2010-01-04,12.611724853515625
2010-01-05,12.677261352539062
2010-01-06,12.574272155761719
2010-01-07,12.658536911010742
2010-01-08,12.639810562133789
2010-01-11,12.658536911010742
2010-01-12,12.5087308883667
2010-01-13,12.752167701721191
2010-01-14,12.920697212219238
2010-01-15,12.827068328857422
2010-01-19,12.986235618591309
2010-01-20,12.948783874511719
2010-01-21,12.939421653747559
2010-01-22,12.686629295349121
2010-01-25,12.602359771728516
2010-01-26,12.621084213256836
2010-01-27,12.546181678771973
2010-01-28,12.546181678771973
2010-01-29,12.387011528015137
2010-02-01,12.611724853515625
2010-02-02,12.649174690246582
2010-02-03,12.621084213256836
2010-02-04,12.284022331237793
2010-02-05,12.24657154083252
2010-02-08,12.218482971191406
2010-02-09,12.424464225769043
2010-02-10,12.405739784240723
2010-02-11,12.574272155761719
2010-02-12,12.677261352539062
2010-02-16,12.864518165588379
2010-02-17,12.948783874511719
2010-02-18,13.023686408996582
2010-02-19,13.089227676391602
2010-02-22,13.098588943481445
2010-02-23,13.042412757873535
2010-02-24,13.201581954956055
2010-02-25,13.229669570922852
2010-02-26,13.295207977294922
2010-03-01,13.482465744018555
2010-03-02,13.529276847839355
2010-03-03,13.529276847839355
2010-03-04,13.566730499267578
2010-03-05,13.856976509094238
2010-03-08,13.96933364868164
2010-03-09,14.006783485412598
2010-03-10,14.156587600708008
2010-03-11,14.240854263305664
2010-03-12,14.297030448913574
2010-03-15,14.259576797485352
2010-03-16,14.343844413757324
2010-03-17,14.400022506713867
2010-03-18,14.334482192993164
2010-03-19,14.259576797485352
2010-03-22,14.465560913085938
2010-03-23,14.568550109863281
2010-03-24,14.512373924255371
2010-03-25,14.512373924255371
2010-03-26,14.577914237976074
2010-03-29,14.671545028686523
2010-03-30,14.699631690979004
2010-03-31,14.699631690979004
2010-04-01,14.755809783935547
2010-04-05,15.046056747436523
2010-04-06,15.139684677124023
2010-04-07,15.102231979370117
2010-04-08,15.25203800201416
2010-04-09,15.308218002319336
2010-04-12,15.326942443847656
2010-04-13,15.345666885375977
2010-04-14,15.57973861694336
2010-04-15,15.617191314697266
2010-04-16,15.41120719909668
2010-04-19,15.364388465881348
2010-04-20,15.589101791381836
2010-04-21,15.607824325561523
2010-04-22,16.00106430053711
2010-04-23,16.03852081298828
2010-04-26,16.047882080078125
2010-04-27,15.645270347595215
2010-04-28,15.486106872558594
2010-04-29,15.860626220703125
2010-04-30,15.495466232299805
2010-05-03,15.82317066192627
2010-05-04,15.326942443847656
2010-05-05,15.092869758605957
2010-05-06,14.699631690979004
2010-05-07,14.306391716003418
2010-05-10,15.027326583862305
2010-05-11,15.102231979370117
2010-05-12,15.373756408691406
2010-05-13,15.177132606506348
2010-05-14,14.886884689331055
2010-05-17,14.989876747131348
2010-05-18,14.8213472366333
2010-05-19,14.634092330932617
2010-05-20,14.006783485412598
2010-05-21,14.19404125213623
2010-05-24,14.044234275817871
2010-05-25,14.016144752502441
2010-05-26,14.100412368774414
2010-05-27,14.652814865112305
2010-05-28,14.615365028381348
2010-06-01,14.13786506652832
2010-06-02,14.437472343444824
2010-06-03,14.484289169311523
2010-06-04,13.95997142791748
2010-06-07,13.529276847839355
2010-06-08,13.622907638549805
2010-06-09,13.735261917114258
2010-06-10,14.156587600708008
2010-06-11,14.306391716003418
2010-06-14,14.3532075881958
2010-06-15,14.652814865112305
2010-06-16,14.624728202819824
2010-06-17,14.606001853942871
2010-06-18,14.612558364868164
2010-06-21,14.453319549560547
2010-06-22,14.116107940673828
2010-06-23,14.0692720413208
2010-06-24,13.72269344329834
2010-06-25,13.844464302062988
2010-06-28,13.750794410705566
2010-06-29,13.09510326385498
2010-06-30,13.001434326171875
2010-07-01,13.048267364501953
2010-07-02,12.907760620117188
2010-07-06,12.77662181854248
2010-07-07,13.179407119750977
2010-07-08,13.422947883605957
2010-07-09,13.591552734375
2010-07-12,13.554085731506348
2010-07-13,13.99433422088623
2010-07-14,13.947502136230469
2010-07-15,13.891300201416016
2010-07-16,13.34800910949707
2010-07-19,13.357378005981445
2010-07-20,13.413578987121582
2010-07-21,13.188772201538086
2010-07-22,13.647758483886719
2010-07-23,13.816360473632812
2010-07-26,14.106740951538086
2010-07-27,14.01307201385498
2010-07-28,13.872564315795898
2010-07-29,13.816360473632812
2010-07-30,13.835098266601562
2010-08-02,14.059903144836426
2010-08-03,13.938133239746094
2010-08-04,14.116107940673828
2010-08-05,14.022436141967773
2010-08-06,14.003703117370605
2010-08-09,14.14421272277832
2010-08-10,13.984968185424805
2010-08-11,13.554085731506348
2010-08-12,13.52598762512207
2010-08-13,13.338644981384277
2010-08-16,13.357378005981445
2010-08-17,13.572820663452148
2010-08-18,13.703959465026855
2010-08-19,13.451050758361816
2010-08-20,13.441683769226074
2010-08-23,13.357378005981445
2010-08-24,13.123204231262207
2010-08-25,13.273076057434082
2010-08-26,13.263707160949707
2010-08-27,13.554085731506348
2010-08-30,13.29180908203125
2010-08-31,13.254339218139648
2010-09-01,13.825733184814453
2010-09-02,14.359651565551758
2010-09-03,14.612558364868164
2010-09-07,14.406486511230469
2010-09-08,14.462688446044922
2010-09-09,14.434587478637695
2010-09-10,14.603194236755371
2010-09-13,14.902936935424805
2010-09-14,14.893567085266113
2010-09-15,14.893567085266113
2010-09-16,14.790533065795898
2010-09-17,14.862784385681152
2010-09-20,15.200573921203613
2010-09-21,15.078591346740723
2010-09-22,14.90031623840332
2010-09-23,14.759567260742188
2010-09-24,15.200573921203613
2010-09-27,15.181807518005371
2010-09-28,15.247488021850586
