Date,IAI
2010-01-04,24.31139373779297
2010-01-05,24.36211395263672
2010-01-06,24.31985855102539
2010-01-07,24.48891258239746
2010-01-08,24.421289443969727
2010-01-11,24.353660583496094
2010-01-12,23.939456939697266
2010-01-13,24.09160804748535
2010-01-14,24.05780029296875
2010-01-15,23.846473693847656
2010-01-19,24.08316421508789
2010-01-20,23.94790267944336
2010-01-21,23.356184005737305
2010-01-22,22.7137393951416
2010-01-25,22.832080841064453
2010-01-26,22.358707427978516
2010-01-27,22.73064613342285
2010-01-28,22.50241470336914
2010-01-29,22.062841415405273
2010-02-01,22.45169448852539
2010-02-02,22.612306594848633
2010-02-03,22.45169448852539
2010-02-04,21.46267318725586
2010-02-05,21.834609985351562
2010-02-08,21.51339340209961
2010-02-09,21.68245506286621
2010-02-10,21.944503784179688
2010-02-11,22.012130737304688
2010-02-12,22.155838012695312
2010-02-16,22.485511779785156
2010-02-17,22.46015167236328
2010-02-18,22.392520904541016
2010-02-19,22.74755859375
2010-02-22,22.688383102416992
2010-02-23,22.358707427978516
2010-02-24,22.60384750366211
2010-02-25,22.57004165649414
2010-02-26,22.646120071411133
2010-03-01,22.798274993896484
2010-03-02,23.060327529907227
2010-03-03,22.941978454589844
2010-03-04,23.28856086730957
2010-03-05,23.761940002441406
2010-03-08,23.981721878051758
2010-03-09,23.897197723388672
2010-03-10,24.0408992767334
2010-03-11,24.193056106567383
2010-03-12,24.09160804748535
2010-03-15,24.007078170776367
2010-03-16,24.176143646240234
2010-03-17,24.455101013183594
2010-03-18,24.370574951171875
2010-03-19,24.08316421508789
2010-03-22,24.0408992767334
2010-03-23,24.13388442993164
2010-03-24,24.1085205078125
2010-03-25,24.078046798706055
2010-03-26,23.993383407592773
2010-03-29,24.069583892822266
2010-03-30,24.069583892822266
2010-03-31,23.942581176757812
2010-04-01,24.13730239868164
2010-04-05,24.374361038208008
2010-04-06,24.526752471923828
2010-04-07,24.628345489501953
2010-04-08,24.729936599731445
2010-04-09,24.763811111450195
2010-04-12,24.941600799560547
2010-04-13,24.975465774536133
2010-04-14,25.500368118286133
2010-04-15,25.517311096191406
2010-04-16,24.594486236572266
2010-04-19,24.814607620239258
2010-04-20,24.89926528930664
2010-04-21,25.043197631835938
2010-04-22,25.237918853759766
2010-04-23,25.432645797729492
2010-04-26,25.187124252319336
2010-04-27,24.501358032226562
2010-04-28,24.696083068847656
2010-04-29,25.280250549316406
2010-04-30,24.831539154052734
2010-05-03,25.144794464111328
2010-05-04,24.391292572021484
2010-05-05,24.272769927978516
2010-05-06,23.460004806518555
2010-05-07,22.943561553955078
2010-05-10,23.917186737060547
2010-05-11,23.79018783569336
2010-05-12,24.086503982543945
2010-05-13,23.976449966430664
2010-05-14,23.460004806518555
2010-05-17,23.468475341796875
2010-05-18,22.74036979675293
2010-05-19,22.78270721435547
2010-05-20,21.783689498901367
2010-05-21,22.494857788085938
2010-05-24,21.94454574584961
2010-05-25,22.01227569580078
2010-05-26,21.95301055908203
2010-05-27,22.8080997467041
2010-05-28,22.44405174255371
2010-06-01,21.96994972229004
2010-06-02,22.68111228942871
2010-06-03,22.748836517333984
2010-06-04,22.01227569580078
2010-06-07,21.487363815307617
2010-06-08,21.529699325561523
2010-06-09,21.292644500732422
2010-06-10,21.851417541503906
2010-06-11,22.173131942749023
2010-06-14,21.96994972229004
2010-06-15,22.486387252807617
2010-06-16,22.52872085571289
2010-06-17,22.198532104492188
2010-06-18,22.207000732421875
2010-06-21,22.08847427368164
2010-06-22,21.86834716796875
2010-06-23,21.76675033569336
2010-06-24,21.31817626953125
2010-06-25,21.776079177856445
2010-06-28,21.62344741821289
2010-06-29,20.648273468017578
2010-06-30,20.393884658813477
2010-07-01,20.249725341796875
2010-07-02,20.071640014648438
2010-07-06,20.063167572021484
2010-07-07,20.5634765625
2010-07-08,20.69915199279785
2010-07-09,20.995941162109375
2010-07-12,20.86026382446289
2010-07-13,21.369054794311523
2010-07-14,21.233383178710938
2010-07-15,21.335134506225586
2010-07-16,20.716108322143555
2010-07-19,20.86026382446289
2010-07-20,21.04682159423828
2010-07-21,20.82634735107422
2010-07-22,21.258813858032227
2010-07-23,21.547130584716797
2010-07-26,21.869361877441406
2010-07-27,21.82695960998535
2010-07-28,21.699766159057617
2010-07-29,21.979595184326172
2010-07-30,21.793041229248047
2010-08-02,22.25094985961914
2010-08-03,22.0898380279541
2010-08-04,22.47142791748047
2010-08-05,22.47142791748047
2010-08-06,22.293350219726562
2010-08-09,22.47142791748047
2010-08-10,22.10679054260254
2010-08-11,21.35209083557129
2010-08-12,21.275781631469727
2010-08-13,20.995941162109375
2010-08-16,20.945070266723633
2010-08-17,21.301212310791016
2010-08-18,21.3096866607666
2010-08-19,20.80938720703125
2010-08-20,20.911144256591797
2010-08-23,20.766986846923828
2010-08-24,20.351476669311523
2010-08-25,20.410842895507812
2010-08-26,20.1649169921875
2010-08-27,20.52108383178711
2010-08-30,20.003808975219727
2010-08-31,19.919008255004883
2010-09-01,20.716108322143555
2010-09-02,20.9281063079834
2010-09-03,21.496252059936523
2010-09-07,21.072261810302734
2010-09-08,21.241851806640625
2010-09-09,21.479290008544922
2010-09-10,21.598003387451172
2010-09-13,22.132232666015625
2010-09-14,21.95415687561035
2010-09-15,21.95415687561035
2010-09-16,21.81847381591797
2010-09-17,21.82695960998535
2010-09-20,22.15767478942871
2010-09-21,21.894798278808594
2010-09-22,21.48777198791504
2010-09-23,21.164188385009766
2010-09-24,21.835126876831055
2010-09-27,21.656774520874023
2010-09-28,21.665271759033203
