Date,PSI
2010-01-04,12.891389846801758
2010-01-05,12.872627258300781
2010-01-06,12.806950569152832
2010-01-07,12.76942253112793
2010-01-08,12.853862762451172
2010-01-11,12.76942253112793
2010-01-12,12.39412784576416
2010-01-13,12.600540161132812
2010-01-14,12.544244766235352
2010-01-15,12.159564971923828
2010-01-19,12.29092025756836
2010-01-20,12.234626770019531
2010-01-21,12.159564971923828
2010-01-22,11.624770164489746
2010-01-25,11.756122589111328
2010-01-26,11.681066513061523
2010-01-27,11.718595504760742
2010-01-28,11.42773723602295
2010-01-29,11.033679008483887
2010-02-01,11.42773723602295
2010-02-02,11.568474769592285
2010-02-03,11.502799034118652
2010-02-04,11.099357604980469
2010-02-05,11.230711936950684
2010-02-08,11.380825996398926
2010-02-09,11.493417739868164
2010-02-10,11.615388870239258
2010-02-11,11.784272193908691
2010-02-12,11.89686107635498
2010-02-16,12.140804290771484
2010-02-17,12.16894817352295
2010-02-18,12.281537055969238
2010-02-19,12.37536334991455
2010-02-22,12.300300598144531
2010-02-23,12.028213500976562
2010-02-24,12.29092025756836
2010-02-25,12.225241661071777
2010-02-26,12.215862274169922
2010-03-01,12.55362606048584
2010-03-02,12.581775665283203
2010-03-03,12.506714820861816
2010-03-04,12.450422286987305
2010-03-05,12.675599098205566
2010-03-08,12.684982299804688
2010-03-09,12.656831741333008
2010-03-10,12.844480514526367
2010-03-11,12.760038375854492
2010-03-12,12.760038375854492
2010-03-15,12.581775665283203
2010-03-16,12.86324691772461
2010-03-17,13.116569519042969
2010-03-18,12.985214233398438
2010-03-19,12.731890678405762
2010-03-22,13.032126426696777
2010-03-23,13.304217338562012
2010-03-24,13.003979682922363
2010-03-25,13.003979682922363
2010-03-26,12.91015625
2010-03-29,12.985214233398438
2010-03-30,13.088420867919922
2010-03-31,12.994600296020508
2010-04-01,12.947686195373535
2010-04-05,13.304217338562012
2010-04-06,13.210394859313965
2010-04-07,13.285449981689453
2010-04-08,13.201009750366211
2010-04-09,13.276069641113281
2010-04-12,13.491866111755371
2010-04-13,13.520011901855469
2010-04-14,14.270602226257324
2010-04-15,14.242456436157227
2010-04-16,13.932838439941406
2010-04-19,13.829631805419922
2010-04-20,14.054805755615234
2010-04-21,13.90468692779541
2010-04-22,14.12986946105957
2010-04-23,14.148632049560547
2010-04-26,14.204925537109375
2010-04-27,13.810867309570312
2010-04-28,13.848394393920898
2010-04-29,13.989130973815918
2010-04-30,13.398039817810059
2010-05-03,13.76395320892334
2010-05-04,13.191627502441406
2010-05-05,13.003979682922363
2010-05-06,12.55362606048584
2010-05-07,12.234626770019531
2010-05-10,12.844480514526367
2010-05-11,12.778803825378418
2010-05-12,13.135334014892578
2010-05-13,12.86324691772461
2010-05-14,12.412891387939453
2010-05-17,12.55362606048584
2010-05-18,12.206480026245117
2010-05-19,12.234626770019531
2010-05-20,11.8687105178833
2010-05-21,12.046976089477539
2010-05-24,11.962536811828613
2010-05-25,11.878096580505371
2010-05-26,11.934389114379883
2010-05-27,12.563008308410645
2010-05-28,12.403509140014648
2010-06-01,12.046976089477539
2010-06-02,12.384744644165039
2010-06-03,12.534862518310547
2010-06-04,11.89686107635498
2010-06-07,11.408974647521973
2010-06-08,11.29638957977295
2010-06-09,11.287005424499512
2010-06-10,11.746742248535156
2010-06-11,11.990684509277344
2010-06-14,12.150185585021973
2010-06-15,12.741275787353516
2010-06-16,12.741275787353516
2010-06-17,12.797568321228027
2010-06-18,12.809776306152344
2010-06-21,12.65012264251709
2010-06-22,12.405949592590332
2010-06-23,12.509254455566406
2010-06-24,12.114818572998047
2010-06-25,12.049079895019531
2010-06-28,12.283862113952637
2010-06-29,11.635862350463867
2010-06-30,11.45742416381836
2010-07-01,11.429250717163086
2010-07-02,11.344730377197266
2010-07-06,11.241424560546875
2010-07-07,11.851860046386719
2010-07-08,11.964558601379395
2010-07-09,12.180556297302246
2010-07-12,12.265081405639648
2010-07-13,12.659515380859375
2010-07-14,12.574994087219238
2010-07-15,12.434123039245605
2010-07-16,12.152382850646973
2010-07-19,12.283862113952637
2010-07-20,12.321428298950195
2010-07-21,12.114818572998047
2010-07-22,12.584385871887207
2010-07-23,12.70647144317627
2010-07-26,12.941254615783691
2010-07-27,12.790992736816406
2010-07-28,12.4810791015625
2010-07-29,12.31203556060791
2010-07-30,12.14299201965332
2010-08-02,12.377775192260742
2010-08-03,12.274471282958984
2010-08-04,12.36838436126709
2010-08-05,12.396556854248047
2010-08-06,12.274471282958984
2010-08-09,12.31203556060791
2010-08-10,11.964558601379395
2010-08-11,11.494988441467285
2010-08-12,11.30716323852539
2010-08-13,11.222641944885254
2010-08-16,11.222641944885254
2010-08-17,11.391687393188477
2010-08-18,11.55134105682373
2010-08-19,11.344730377197266
2010-08-20,11.354120254516602
2010-08-23,11.213248252868652
2010-08-24,11.062990188598633
2010-08-25,11.16629409790039
2010-08-26,10.969077110290527
2010-08-27,11.19446849822998
2010-08-30,10.884554862976074
2010-08-31,10.72490406036377
2010-09-01,10.997248649597168
2010-09-02,11.222641944885254
2010-09-03,11.45742416381836
2010-09-07,11.081774711608887
2010-09-08,11.100554466247559
2010-09-09,11.119338989257812
2010-09-10,10.912728309631348
2010-09-13,11.325946807861328
2010-09-14,11.494988441467285
2010-09-15,11.513772964477539
2010-09-16,11.579514503479004
2010-09-17,11.664034843444824
2010-09-20,11.880034446716309
2010-09-21,11.861251831054688
2010-09-22,11.55134105682373
2010-09-23,11.588902473449707
2010-09-24,12.096035957336426
2010-09-27,12.114818572998047
2010-09-28,12.358993530273438
