Date,BJK
2010-01-04,17.969297409057617
2010-01-05,18.30862045288086
2010-01-06,18.493030548095703
2010-01-07,18.522537231445312
2010-01-08,18.485654830932617
2010-01-11,18.55942153930664
2010-01-12,18.470903396606445
2010-01-13,18.677444458007812
2010-01-14,18.86923599243164
2010-01-15,18.64794158935547
2010-01-19,18.913496017456055
2010-01-20,18.40451431274414
2010-01-21,18.1684627532959
2010-01-22,17.895530700683594
2010-01-25,18.072568893432617
2010-01-26,17.99880027770996
2010-01-27,17.77750587463379
2010-01-28,17.64472770690918
2010-01-29,17.51932716369629
2010-02-01,17.93241310119629
2010-02-02,17.96192169189453
2010-02-03,17.79963493347168
2010-02-04,16.83330535888672
2010-02-05,16.840681076049805
2010-02-08,16.7742919921875
2010-02-09,17.032470703125
2010-02-10,16.980838775634766
2010-02-11,17.35704231262207
2010-02-12,17.23164176940918
2010-02-16,17.622596740722656
2010-02-17,17.593093872070312
2010-02-18,17.261144638061523
2010-02-19,17.2390193939209
2010-02-22,17.364416122436523
2010-02-23,17.1357421875
2010-02-24,17.268522262573242
2010-02-25,17.0841121673584
2010-02-26,17.35704231262207
2010-03-01,17.430805206298828
2010-03-02,17.40867805480957
2010-03-03,17.652103424072266
2010-03-04,17.438180923461914
2010-03-05,18.013553619384766
2010-03-08,18.079940795898438
2010-03-09,18.020933151245117
2010-03-10,18.197967529296875
2010-03-11,18.146333694458008
2010-03-12,18.21272087097168
2010-03-15,18.087318420410156
2010-03-16,18.36762809753418
2010-03-17,18.470903396606445
2010-03-18,18.345502853393555
2010-03-19,18.256982803344727
2010-03-22,18.62580680847168
2010-03-23,18.86923599243164
2010-03-24,18.692195892333984
2010-03-25,18.670068740844727
2010-03-26,18.765962600708008
2010-03-29,19.00201416015625
2010-03-30,18.928247451782227
2010-03-31,19.09790802001953
2010-04-01,19.10528564453125
2010-04-05,19.695409774780273
2010-04-06,19.776552200317383
2010-04-07,19.547880172729492
2010-04-08,19.776552200317383
2010-04-09,20.0937442779541
2010-04-12,20.160133361816406
2010-04-13,20.108497619628906
2010-04-14,20.1970157623291
2010-04-15,19.983095169067383
2010-04-16,19.496246337890625
2010-04-19,19.45198631286621
2010-04-20,19.85769271850586
2010-04-21,19.791305541992188
2010-04-22,20.049484252929688
2010-04-23,20.219144821166992
2010-04-26,20.403560638427734
2010-04-27,19.56263542175293
2010-04-28,19.65114974975586
2010-04-29,20.226520538330078
2010-04-30,19.872447967529297
2010-05-03,20.29291343688965
2010-05-04,19.326583862304688
2010-05-05,18.876611709594727
2010-05-06,17.99880027770996
2010-05-07,17.607845306396484
2010-05-10,18.721702575683594
2010-05-11,18.73645782470703
2010-05-12,18.979883193969727
2010-05-13,18.86923599243164
2010-05-14,18.456148147583008
2010-05-17,18.264358520507812
2010-05-18,17.976673126220703
2010-05-19,17.807010650634766
2010-05-20,16.943952560424805
2010-05-21,17.327533721923828
2010-05-24,17.268522262573242
2010-05-25,16.966083526611328
2010-05-26,16.95132827758789
2010-05-27,17.976673126220703
2010-05-28,17.718494415283203
2010-06-01,17.475065231323242
2010-06-02,17.90290641784668
2010-06-03,18.079940795898438
2010-06-04,17.25377082824707
2010-06-07,16.803802490234375
2010-06-08,17.305404663085938
2010-06-09,17.1357421875
2010-06-10,17.770130157470703
2010-06-11,17.917659759521484
2010-06-14,18.10944938659668
2010-06-15,18.603679656982422
2010-06-16,18.36762809753418
2010-06-17,18.32337188720703
2010-06-18,18.456148147583008
2010-06-21,18.485654830932617
2010-06-22,18.153709411621094
2010-06-23,18.315994262695312
2010-06-24,17.917659759521484
2010-06-25,18.1684627532959
2010-06-28,17.84389305114746
2010-06-29,17.03985023498535
2010-06-30,16.759538650512695
2010-07-01,16.870187759399414
2010-07-02,16.685773849487305
2010-07-06,16.789047241210938
2010-07-07,17.41605567932129
2010-07-08,17.46031379699707
2010-07-09,17.57833480834961
2010-07-12,17.40129852294922
2010-07-13,17.8586483001709
2010-07-14,17.84389305114746
2010-07-15,17.77750587463379
2010-07-16,17.349666595458984
2010-07-19,17.41605567932129
2010-07-20,17.747997283935547
2010-07-21,17.511947631835938
2010-07-22,18.028308868408203
2010-07-23,18.279111862182617
2010-07-26,18.47827911376953
2010-07-27,18.522537231445312
2010-07-28,18.32337188720703
2010-07-29,18.62580680847168
2010-07-30,18.758586883544922
2010-08-02,19.18642807006836
2010-08-03,19.142166137695312
2010-08-04,19.179052352905273
2010-08-05,19.068401336669922
2010-08-06,19.179052352905273
2010-08-09,19.267568588256836
2010-08-10,19.038896560668945
2010-08-11,18.397138595581055
2010-08-12,18.389759063720703
2010-08-13,18.596302032470703
2010-08-16,18.677444458007812
2010-08-17,19.13479232788086
2010-08-18,19.13479232788086
2010-08-19,19.016767501831055
2010-08-20,18.891366958618164
2010-08-23,18.832353591918945
2010-08-24,18.4266414642334
2010-08-25,18.611053466796875
2010-08-26,18.52991485595703
2010-08-27,19.00939178466797
2010-08-30,18.72907829284668
2010-08-31,18.670068740844727
2010-09-01,19.267568588256836
2010-09-02,19.40772247314453
2010-09-03,19.584762573242188
2010-09-07,19.30445098876953
2010-09-08,19.64377212524414
2010-09-09,19.769174575805664
2010-09-10,19.806060791015625
2010-09-13,20.15275764465332
2010-09-14,20.219144821166992
2010-09-15,20.211769104003906
2010-09-16,20.182266235351562
2010-09-17,20.15275764465332
2010-09-20,20.514209747314453
2010-09-21,20.381427764892578
2010-09-22,20.381427764892578
2010-09-23,19.953588485717773
2010-09-24,20.38880729675293
2010-09-27,20.52158546447754
2010-09-28,20.713376998901367
