Date,XHB
2010-01-04,13.911490440368652
2010-01-05,14.01137638092041
2010-01-06,14.084023475646973
2010-01-07,14.665179252624512
2010-01-08,14.728742599487305
2010-01-11,14.683344841003418
2010-01-12,14.483569145202637
2010-01-13,14.510808944702148
2010-01-14,14.474485397338867
2010-01-15,14.192987442016602
2010-01-19,14.401843070983887
2010-01-20,14.120345115661621
2010-01-21,13.829764366149902
2010-01-22,13.575506210327148
2010-01-25,13.720795631408691
2010-01-26,13.711716651916504
2010-01-27,13.757119178771973
2010-01-28,13.757119178771973
2010-01-29,13.720795631408691
2010-02-01,13.766200065612793
2010-02-02,14.429084777832031
2010-02-03,14.238391876220703
2010-02-04,13.793442726135254
2010-02-05,13.639074325561523
2010-02-08,13.775282859802246
2010-02-09,14.02953815460205
2010-02-10,13.975058555603027
2010-02-11,14.31103801727295
2010-02-12,14.420004844665527
2010-02-16,14.683344841003418
2010-02-17,14.528971672058105
2010-02-18,14.565296173095703
2010-02-19,14.601615905761719
2010-02-22,14.665179252624512
2010-02-23,14.292876243591309
2010-02-24,14.274711608886719
2010-02-25,14.274711608886719
2010-02-26,14.447249412536621
2010-03-01,14.755990028381348
2010-03-02,14.665179252624512
2010-03-03,14.819548606872559
2010-03-04,14.765067100524902
2010-03-05,15.046565055847168
2010-03-08,15.264503479003906
2010-03-09,15.191859245300293
2010-03-10,15.219103813171387
2010-03-11,15.318987846374512
2010-03-12,15.273579597473145
2010-03-15,15.264503479003906
2010-03-16,15.400707244873047
2010-03-17,15.373470306396484
2010-03-18,15.309906005859375
2010-03-19,15.046096801757812
2010-03-22,15.282615661621094
2010-03-23,15.409968376159668
2010-03-24,15.373579025268555
2010-03-25,15.355388641357422
2010-03-26,15.4281587600708
2010-03-29,15.473644256591797
2010-03-30,15.491842269897461
2010-03-31,15.300809860229492
2010-04-01,15.446356773376465
2010-04-05,15.737455368041992
2010-04-06,15.61919116973877
2010-04-07,15.391770362854004
2010-04-08,15.71015739440918
2010-04-09,15.8648099899292
2010-04-12,16.064939498901367
2010-04-13,16.155908584594727
2010-04-14,16.656230926513672
2010-04-15,16.483394622802734
2010-04-16,16.246875762939453
2010-04-19,16.265071868896484
2010-04-20,16.528879165649414
2010-04-21,16.929136276245117
2010-04-22,17.56590461730957
2010-04-23,17.86610221862793
2010-04-26,17.738750457763672
2010-04-27,16.992809295654297
2010-04-28,17.211135864257812
2010-04-29,17.711462020874023
2010-04-30,17.374879837036133
2010-05-03,17.74784278869629
2010-05-04,17.156551361083984
2010-05-05,16.70170783996582
2010-05-06,16.064939498901367
2010-05-07,15.555514335632324
2010-05-10,16.729000091552734
2010-05-11,16.719907760620117
2010-05-12,17.183847427368164
2010-05-13,16.683523178100586
2010-05-14,16.337839126586914
2010-05-17,16.319650650024414
2010-05-18,16.037643432617188
2010-05-19,15.792038917541504
2010-05-20,15.118873596191406
2010-05-21,15.228031158447266
2010-05-24,15.082481384277344
2010-05-25,15.200738906860352
2010-05-26,15.264419555664062
2010-05-27,15.846620559692383
2010-05-28,15.664680480957031
2010-06-01,15.082481384277344
2010-06-02,15.337198257446289
2010-06-03,15.373579025268555
2010-06-04,14.582159996032715
2010-06-07,14.036351203918457
2010-06-08,13.990869522094727
2010-06-09,14.027256965637207
2010-06-10,14.673126220703125
2010-06-11,14.664029121398926
2010-06-14,14.764095306396484
2010-06-15,15.091581344604492
2010-06-16,14.927837371826172
2010-06-17,14.573064804077148
2010-06-18,14.419930458068848
2010-06-21,14.22851848602295
2010-06-22,13.882148742675781
2010-06-23,14.046216011047363
2010-06-24,13.772767066955566
2010-06-25,13.80922794342041
2010-06-28,13.781881332397461
2010-06-29,13.20763874053955
2010-06-30,13.052680015563965
2010-07-01,12.934186935424805
2010-07-02,12.779231071472168
2010-07-06,12.651623725891113
2010-07-07,13.225866317749023
2010-07-08,13.253210067749023
2010-07-09,13.563122749328613
2010-07-12,13.362591743469238
2010-07-13,13.882148742675781
2010-07-14,13.59046459197998
2010-07-15,13.626924514770508
2010-07-16,12.979764938354492
2010-07-19,12.9433012008667
2010-07-20,13.42639446258545
2010-07-21,13.225866317749023
2010-07-22,13.708961486816406
2010-07-23,14.055329322814941
2010-07-26,14.419930458068848
2010-07-27,13.918608665466309
2010-07-28,13.526660919189453
2010-07-29,13.617810249328613
2010-07-30,13.736307144165039
2010-08-02,14.091793060302734
2010-08-03,13.727192878723145
2010-08-04,13.69073486328125
2010-08-05,13.572239875793457
2010-08-06,13.663386344909668
2010-08-09,14.046216011047363
2010-08-10,13.636041641235352
2010-08-11,13.152946472167969
2010-08-12,12.934186935424805
2010-08-13,12.89772891998291
2010-08-16,12.861265182495117
2010-08-17,13.20763874053955
2010-08-18,13.499320030212402
2010-08-19,13.116486549377441
2010-08-20,13.080026626586914
2010-08-23,12.8065767288208
2010-08-24,12.724541664123535
2010-08-25,13.098257064819336
2010-08-26,12.888609886169434
2010-08-27,13.262327194213867
2010-08-30,12.934186935424805
2010-08-31,12.89772891998291
2010-09-01,13.417281150817871
2010-09-02,13.818339347839355
2010-09-03,14.000639915466309
2010-09-07,13.617810249328613
2010-09-08,13.68161392211914
2010-09-09,13.736307144165039
2010-09-10,13.83657169342041
2010-09-13,14.137369155883789
2010-09-14,14.02798843383789
2010-09-15,13.945953369140625
2010-09-16,13.790997505187988
2010-09-17,13.767245292663574
2010-09-20,14.224020957946777
2010-09-21,14.287970542907715
2010-09-22,14.068716049194336
2010-09-23,13.858599662780762
2010-09-24,14.351916313171387
2010-09-27,14.370190620422363
2010-09-28,14.534629821777344
