Date,PXQ
2010-01-04,17.7316837310791
2010-01-05,17.760438919067383
2010-01-06,17.7316837310791
2010-01-07,17.808364868164062
2010-01-08,17.846708297729492
2010-01-11,17.789194107055664
2010-01-12,17.539995193481445
2010-01-13,17.856285095214844
2010-01-14,18.000059127807617
2010-01-15,17.72209930419922
2010-01-19,17.961719512939453
2010-01-20,17.72209930419922
2010-01-21,17.607084274291992
2010-01-22,17.03200340270996
2010-01-25,17.166187286376953
2010-01-26,17.194944381713867
2010-01-27,16.984081268310547
2010-01-28,16.77321434020996
2010-01-29,16.3994140625
2010-02-01,16.677370071411133
2010-02-02,16.869062423706055
2010-02-03,17.003250122070312
2010-02-04,16.514429092407227
2010-02-05,16.619857788085938
2010-02-08,16.70612335205078
2010-02-09,16.9361515045166
2010-02-10,17.012836456298828
2010-02-11,17.32912826538086
2010-02-12,17.367467880249023
2010-02-16,17.750856399536133
2010-02-17,17.817951202392578
2010-02-18,17.980886459350586
2010-02-19,18.182165145874023
2010-02-22,18.153411865234375
2010-02-23,17.865869522094727
2010-02-24,18.07673454284668
2010-02-25,18.019224166870117
2010-02-26,18.086318969726562
2010-03-01,18.45054054260254
2010-03-02,18.642230987548828
2010-03-03,18.757247924804688
2010-03-04,18.795583724975586
2010-03-05,19.169387817382812
2010-03-08,19.22689437866211
2010-03-09,19.38983726501465
2010-03-10,19.60070037841797
2010-03-11,19.66779327392578
2010-03-12,19.619869232177734
2010-03-15,19.64862632751465
2010-03-16,19.86907196044922
2010-03-17,19.9361629486084
2010-03-18,19.897825241088867
2010-03-19,19.61028289794922
2010-03-22,19.801979064941406
2010-03-23,20.089523315429688
2010-03-24,19.88824462890625
2010-03-25,19.830732345581055
2010-03-26,19.706132888793945
2010-03-29,19.801979064941406
2010-03-30,19.85948371887207
2010-03-31,19.725299835205078
2010-04-01,19.754056930541992
2010-04-05,20.156618118286133
2010-04-06,20.28121566772461
2010-04-07,20.28121566772461
2010-04-08,20.108684539794922
2010-04-09,20.271629333496094
2010-04-12,20.348304748535156
2010-04-13,20.386646270751953
2010-04-14,20.94256019592285
2010-04-15,20.932971954345703
2010-04-16,20.626262664794922
2010-04-19,20.463327407836914
2010-04-20,20.923385620117188
2010-04-21,20.980899810791016
2010-04-22,21.00006675720215
2010-04-23,21.019237518310547
2010-04-26,21.143836975097656
2010-04-27,20.49207878112793
2010-04-28,20.482494354248047
2010-04-29,20.702939987182617
2010-04-30,20.242876052856445
2010-05-03,20.61667823791504
2010-05-04,19.907413482666016
2010-05-05,19.792390823364258
2010-05-06,18.977693557739258
2010-05-07,18.36427116394043
2010-05-10,19.246065139770508
2010-05-11,19.495269775390625
2010-05-12,20.041597366333008
2010-05-13,19.696548461914062
2010-05-14,19.20772933959961
2010-05-17,19.31315803527832
2010-05-18,19.016035079956055
2010-05-19,18.833925247192383
2010-05-20,18.201335906982422
2010-05-21,18.440954208374023
2010-05-24,18.402616500854492
2010-05-25,18.479293823242188
2010-05-26,18.479293823242188
2010-05-27,19.28441047668457
2010-05-28,19.13105010986328
2010-06-01,18.34510612487793
2010-06-02,18.872262954711914
2010-06-03,19.351499557495117
2010-06-04,18.45054054260254
2010-06-07,18.086318969726562
2010-06-08,17.980886459350586
2010-06-09,17.95213508605957
2010-06-10,18.34510612487793
2010-06-11,18.680570602416992
2010-06-14,18.613475799560547
2010-06-15,19.265239715576172
2010-06-16,19.22689437866211
2010-06-17,19.15980339050293
2010-06-18,19.27482795715332
2010-06-21,19.102298736572266
2010-06-22,18.853097915649414
2010-06-23,18.86267852783203
2010-06-24,18.412199020385742
2010-06-25,18.48887825012207
2010-06-28,18.555973052978516
2010-06-29,17.789194107055664
2010-06-30,17.539995193481445
2010-07-01,17.607084274291992
2010-07-02,17.655006408691406
2010-07-06,17.57832908630371
2010-07-07,18.402616500854492
2010-07-08,18.546384811401367
2010-07-09,18.71891212463379
2010-07-12,18.757247924804688
2010-07-13,19.42817497253418
2010-07-14,19.715717315673828
2010-07-15,19.706132888793945
2010-07-16,19.092710494995117
2010-07-19,19.27482795715332
2010-07-20,19.39942741394043
2010-07-21,19.092710494995117
2010-07-22,19.706132888793945
2010-07-23,19.9361629486084
2010-07-26,20.262046813964844
2010-07-27,20.089523315429688
2010-07-28,19.744470596313477
2010-07-29,19.619869232177734
2010-07-30,19.504854202270508
2010-08-02,19.78281021118164
2010-08-03,19.686965942382812
2010-08-04,19.9169979095459
2010-08-05,19.773225784301758
2010-08-06,19.725299835205078
2010-08-09,20.003257751464844
2010-08-10,19.754056930541992
2010-08-11,19.016035079956055
2010-08-12,18.460124969482422
2010-08-13,18.460124969482422
2010-08-16,18.5847225189209
2010-08-17,18.958526611328125
2010-08-18,19.121463775634766
2010-08-19,19.25565528869629
2010-08-20,19.44734764099121
2010-08-23,19.265239715576172
2010-08-24,18.98728370666504
2010-08-25,19.0831241607666
2010-08-26,19.044784545898438
2010-08-27,19.495269775390625
2010-08-30,19.22689437866211
2010-08-31,19.044784545898438
2010-09-01,19.725299835205078
2010-09-02,19.964916229248047
2010-09-03,20.4153995513916
2010-09-07,20.118274688720703
2010-09-08,20.424985885620117
2010-09-09,20.4153995513916
2010-09-10,20.4537410736084
2010-09-13,21.163005828857422
2010-09-14,21.29719352722168
2010-09-15,21.30677604675293
2010-09-16,21.373868942260742
2010-09-17,21.555980682373047
2010-09-20,22.025630950927734
2010-09-21,21.929784774780273
2010-09-22,21.5272274017334
2010-09-23,21.584735870361328
2010-09-24,22.178983688354492
2010-09-27,22.16939926147461
2010-09-28,22.399433135986328
