Date,PSJ
2010-01-04,21.17608642578125
2010-01-05,21.205970764160156
2010-01-06,21.086442947387695
2010-01-07,20.996795654296875
2010-01-08,21.0167179107666
2010-01-11,20.88722801208496
2010-01-12,20.737823486328125
2010-01-13,20.937034606933594
2010-01-14,21.186044692993164
2010-01-15,20.996795654296875
2010-01-19,21.265731811523438
2010-01-20,20.996795654296875
2010-01-21,20.737823486328125
2010-01-22,20.0505428314209
2010-01-25,20.060504913330078
2010-01-26,20.209915161132812
2010-01-27,20.349361419677734
2010-01-28,20.150150299072266
2010-01-29,19.960901260375977
2010-02-01,20.090389251708984
2010-02-02,20.170072555541992
2010-02-03,20.359323501586914
2010-02-04,19.61228370666504
2010-02-05,19.62224578857422
2010-02-08,19.552518844604492
2010-02-09,19.801532745361328
2010-02-10,19.75172996520996
2010-02-11,20.000743865966797
2010-02-12,20.150150299072266
2010-02-16,20.458927154541016
2010-02-17,20.658140182495117
2010-02-18,20.777664184570312
2010-02-19,20.82746696472168
2010-02-22,20.837427139282227
2010-02-23,20.707942962646484
2010-02-24,20.88722801208496
2010-02-25,20.817506790161133
2010-02-26,20.817506790161133
2010-03-01,21.16612434387207
2010-03-02,21.205970764160156
2010-03-03,21.215927124023438
2010-03-04,21.255769729614258
2010-03-05,21.62430763244629
2010-03-08,21.664152145385742
2010-03-09,21.773717880249023
2010-03-10,21.833480834960938
2010-03-11,21.923126220703125
2010-03-12,21.94304847717285
2010-03-15,21.992849349975586
2010-03-16,22.02273178100586
2010-03-17,22.192060470581055
2010-03-18,22.192060470581055
2010-03-19,21.98288917541504
2010-03-22,22.211978912353516
2010-03-23,22.39126968383789
2010-03-24,22.17214012145996
2010-03-25,22.002809524536133
2010-03-26,21.863361358642578
2010-03-29,21.883283615112305
2010-03-30,21.933086395263672
2010-03-31,21.853404998779297
2010-04-01,21.843442916870117
2010-04-05,22.1522159576416
2010-04-06,22.192060470581055
2010-04-07,21.923126220703125
2010-04-08,22.112375259399414
2010-04-09,22.30162239074707
2010-04-12,22.36138916015625
2010-04-13,22.34147071838379
2010-04-14,22.660205841064453
2010-04-15,22.700048446655273
2010-04-16,22.540678024291992
2010-04-19,22.46099281311035
2010-04-20,22.799650192260742
2010-04-21,23.098468780517578
2010-04-22,23.158231735229492
2010-04-23,23.198074340820312
2010-04-26,23.217992782592773
2010-04-27,22.88929557800293
2010-04-28,22.769773483276367
2010-04-29,22.869375228881836
2010-04-30,22.490875244140625
2010-05-03,22.759811401367188
2010-05-04,22.182098388671875
2010-05-05,21.992849349975586
2010-05-06,21.47490119934082
2010-05-07,21.006759643554688
2010-05-10,21.843442916870117
2010-05-11,21.913166046142578
2010-05-12,22.680126190185547
2010-05-13,22.739891052246094
2010-05-14,22.24186134338379
2010-05-17,22.291664123535156
2010-05-18,22.13229751586914
2010-05-19,21.923126220703125
2010-05-20,21.006759643554688
2010-05-21,21.196006774902344
2010-05-24,21.196006774902344
2010-05-25,21.086442947387695
2010-05-26,21.16612434387207
2010-05-27,21.853404998779297
2010-05-28,21.733877182006836
2010-06-01,21.295612335205078
2010-06-02,21.52470588684082
2010-06-03,22.032695770263672
2010-06-04,21.04659652709961
2010-06-07,20.568492889404297
2010-06-08,20.49877166748047
2010-06-09,20.439008712768555
2010-06-10,21.06652069091797
2010-06-11,21.255769729614258
2010-06-14,21.245807647705078
2010-06-15,21.80359649658203
2010-06-16,21.733877182006836
2010-06-17,21.793638229370117
2010-06-18,21.843442916870117
2010-06-21,21.64423179626465
2010-06-22,21.39521598815918
2010-06-23,21.315532684326172
2010-06-24,20.9669132232666
2010-06-25,21.17608642578125
2010-06-28,21.136241912841797
2010-06-29,20.299560546875
2010-06-30,19.97085952758789
2010-07-01,19.950942993164062
2010-07-02,20.060504913330078
2010-07-06,19.891178131103516
2010-07-07,20.538612365722656
2010-07-08,20.658140182495117
2010-07-09,20.787626266479492
2010-07-12,20.82746696472168
2010-07-13,21.32549285888672
2010-07-14,21.41514015197754
2010-07-15,21.365337371826172
2010-07-16,20.737823486328125
2010-07-19,20.927074432373047
2010-07-20,21.09640121459961
2010-07-21,20.777664184570312
2010-07-22,21.425100326538086
2010-07-23,21.823522567749023
2010-07-26,22.102415084838867
2010-07-27,22.032695770263672
2010-07-28,21.574508666992188
2010-07-29,21.28565216064453
2010-07-30,21.28565216064453
2010-08-02,21.59442710876465
2010-08-03,21.464941024780273
2010-08-04,21.713953018188477
2010-08-05,21.464941024780273
2010-08-06,21.385255813598633
2010-08-09,21.454980850219727
2010-08-10,21.17608642578125
2010-08-11,20.429044723510742
2010-08-12,20.170072555541992
2010-08-13,20.14019012451172
2010-08-16,20.170072555541992
2010-08-17,20.518692016601562
2010-08-18,20.538612365722656
2010-08-19,20.488807678222656
2010-08-20,20.707942962646484
2010-08-23,20.49877166748047
2010-08-24,20.269676208496094
2010-08-25,20.339399337768555
2010-08-26,20.259716033935547
2010-08-27,20.737823486328125
2010-08-30,20.32944107055664
2010-08-31,20.239795684814453
2010-09-01,20.777664184570312
2010-09-02,20.996795654296875
2010-09-03,21.245807647705078
2010-09-07,21.136241912841797
2010-09-08,21.245807647705078
2010-09-09,21.375293731689453
2010-09-10,21.464941024780273
2010-09-13,21.76375961303711
2010-09-14,21.853404998779297
2010-09-15,21.823522567749023
2010-09-16,21.813556671142578
2010-09-17,22.122333526611328
2010-09-20,22.540678024291992
2010-09-21,22.421152114868164
2010-09-22,22.08249282836914
2010-09-23,21.992849349975586
2010-09-24,22.540678024291992
2010-09-27,22.5207576751709
2010-09-28,22.490875244140625
