Date,PBJ
2010-01-04,12.645730018615723
2010-01-05,12.6280517578125
2010-01-06,12.592705726623535
2010-01-07,12.53084659576416
2010-01-08,12.460151672363281
2010-01-11,12.504332542419434
2010-01-12,12.575031280517578
2010-01-13,12.681074142456055
2010-01-14,12.716423034667969
2010-01-15,12.601539611816406
2010-01-19,12.707585334777832
2010-01-20,12.636892318725586
2010-01-21,12.504332542419434
2010-01-22,12.433639526367188
2010-01-25,12.433639526367188
2010-01-26,12.398290634155273
2010-01-27,12.486659049987793
2010-01-28,12.442477226257324
2010-01-29,12.362944602966309
2010-02-01,12.486659049987793
2010-02-02,12.575031280517578
2010-02-03,12.566194534301758
2010-02-04,12.159693717956543
2010-02-05,12.168530464172363
2010-02-08,12.106671333312988
2010-02-09,12.256900787353516
2010-02-10,12.19504165649414
2010-02-11,12.318758010864258
2010-02-12,12.327594757080078
2010-02-16,12.477825164794922
2010-02-17,12.592705726623535
2010-02-18,12.681074142456055
2010-02-19,12.760608673095703
2010-02-22,12.734098434448242
2010-02-23,12.601539611816406
2010-02-24,12.707585334777832
2010-02-25,12.928513526916504
2010-02-26,12.99036979675293
2010-03-01,13.07873821258545
2010-03-02,13.167105674743652
2010-03-03,13.149432182312012
2010-03-04,13.220130920410156
2010-03-05,13.414548873901367
2010-03-08,13.423379898071289
2010-03-09,13.50291633605957
2010-03-10,13.46756649017334
2010-03-11,13.555938720703125
2010-03-12,13.573610305786133
2010-03-15,13.58244514465332
2010-03-16,13.723838806152344
2010-03-17,13.803376197814941
2010-03-18,13.759186744689941
2010-03-19,13.688492774963379
2010-03-22,13.82988166809082
2010-03-23,13.935928344726562
2010-03-24,13.847556114196777
2010-03-25,13.732675552368164
2010-03-26,13.688492774963379
2010-03-29,13.803376197814941
2010-03-30,13.838720321655273
2010-03-31,13.750351905822754
2010-04-01,13.856393814086914
2010-04-05,13.918256759643555
2010-04-06,13.95359992980957
2010-04-07,13.95359992980957
2010-04-08,13.95359992980957
2010-04-09,13.997787475585938
2010-04-12,14.033134460449219
2010-04-13,14.08615493774414
2010-04-14,14.245223999023438
2010-04-15,14.22754955291748
2010-04-16,14.183361053466797
2010-04-19,14.165691375732422
2010-04-20,14.289405822753906
2010-04-21,14.31592082977295
2010-04-22,14.430800437927246
2010-04-23,14.421960830688477
2010-04-26,14.395453453063965
2010-04-27,14.11266803741455
2010-04-28,14.121504783630371
2010-04-29,14.30708122253418
2010-04-30,14.174527168273926
2010-05-03,14.333592414855957
2010-05-04,14.077317237854004
2010-05-05,14.11266803741455
2010-05-06,13.723838806152344
2010-05-07,13.529423713684082
2010-05-10,14.068480491638184
2010-05-11,14.174527168273926
2010-05-12,14.360099792480469
2010-05-13,14.324753761291504
2010-05-14,14.068480491638184
2010-05-17,14.11266803741455
2010-05-18,14.08615493774414
2010-05-19,13.988946914672852
2010-05-20,13.520589828491211
2010-05-21,13.653143882751465
2010-05-24,13.670818328857422
2010-05-25,13.46756649017334
2010-05-26,13.441057205200195
2010-05-27,13.803376197814941
2010-05-28,13.7415132522583
2010-06-01,13.644307136535645
2010-06-02,13.847556114196777
2010-06-03,13.95359992980957
2010-06-04,13.608959197998047
2010-06-07,13.520589828491211
2010-06-08,13.653143882751465
2010-06-09,13.688492774963379
2010-06-10,13.909414291381836
2010-06-11,13.944764137268066
2010-06-14,14.033134460449219
2010-06-15,14.218711853027344
2010-06-16,14.183361053466797
2010-06-17,14.254056930541992
2010-06-18,14.2283353805542
2010-06-21,14.2283353805542
2010-06-22,14.068663597106934
2010-06-23,14.068663597106934
2010-06-24,13.979959487915039
2010-06-25,13.953348159790039
2010-06-28,13.997698783874512
2010-06-29,13.634010314941406
2010-06-30,13.403371810913086
2010-07-01,13.421114921569824
2010-07-02,13.367894172668457
2010-07-06,13.385632514953613
2010-07-07,13.6961030960083
2010-07-08,13.8291654586792
2010-07-09,13.882383346557617
2010-07-12,13.846900939941406
2010-07-13,14.015439987182617
2010-07-14,13.997698783874512
2010-07-15,14.015439987182617
2010-07-16,13.731582641601562
2010-07-19,13.71384334564209
2010-07-20,13.855775833129883
2010-07-21,13.71384334564209
2010-07-22,13.891254425048828
2010-07-23,14.015439987182617
2010-07-26,14.192853927612305
2010-07-27,14.219467163085938
2010-07-28,14.050924301147461
2010-07-29,13.838031768798828
2010-07-30,13.908995628356934
2010-08-02,13.953348159790039
2010-08-03,13.908995628356934
2010-08-04,13.944477081298828
2010-08-05,13.838031768798828
2010-08-06,13.838031768798828
2010-08-09,13.917866706848145
2010-08-10,13.93560791015625
2010-08-11,13.66062068939209
2010-08-12,13.625137329101562
2010-08-13,13.634010314941406
2010-08-16,13.687233924865723
2010-08-17,13.891254425048828
2010-08-18,13.944477081298828
2010-08-19,13.784806251525879
2010-08-20,13.811416625976562
2010-08-23,13.8291654586792
2010-08-24,13.722715377807617
2010-08-25,13.802550315856934
2010-08-26,13.731582641601562
2010-08-27,13.908995628356934
2010-08-30,13.71384334564209
2010-08-31,13.749326705932617
2010-09-01,14.024311065673828
2010-09-02,14.237202644348145
2010-09-03,14.290426254272461
2010-09-07,14.263815879821777
2010-09-08,14.290426254272461
2010-09-09,14.272686958312988
2010-09-10,14.352523803710938
2010-09-13,14.414613723754883
2010-09-14,14.388001441955566
2010-09-15,14.467838287353516
2010-09-16,14.467838287353516
2010-09-17,14.452729225158691
2010-09-20,14.612720489501953
2010-09-21,14.49716854095459
2010-09-22,14.452729225158691
2010-09-23,14.346064567565918
2010-09-24,14.568279266357422
2010-09-27,14.541613578796387
2010-09-28,14.59494400024414
