Date,FX
2010-10-14,1.6038444040000002
2010-10-15,1.6055840456
2010-10-18,1.5886589688
2010-10-19,1.5738133091
2010-10-20,1.5715419501
2010-10-21,1.5744776455
2010-10-22,1.5703820579
2010-10-25,1.5720127724
2010-10-26,1.586588356
2010-10-27,1.5822777555
2010-10-28,1.5920266544
2010-10-29,1.5953258116999998
2010-11-01,1.6066916643
2010-11-02,1.602240256
2010-11-03,1.6102493393
2010-11-04,1.6263058743
2010-11-05,1.6227676000000002
2010-11-08,1.6131911441
2010-11-09,1.6170928277
2010-11-10,1.6070490751
2010-11-11,1.6134730891999998
2010-11-12,1.6117315152
2010-11-15,1.6070291308000002
2010-11-16,1.5995299647
2010-11-17,1.5879615996
2010-11-18,1.6013846515
2010-11-19,1.5989242283
2010-11-22,1.5963270558000002
2010-11-23,1.5916032784999998
2010-11-24,1.58082484
2010-11-26,1.5656446076
2010-11-29,1.5575829384
2010-11-30,1.5517220796000002
2010-12-01,1.5626117002000002
2010-12-02,1.5577264653999998
2010-12-03,1.5620283019
2010-12-06,1.567516525
2010-12-07,1.5782449509999998
2010-12-08,1.5776263894
2010-12-09,1.5764733954
2010-12-10,1.582034283
2010-12-13,1.5723851852
2010-12-14,1.5831025747
2010-12-15,1.5664204479
2010-12-16,1.5611769562
2010-12-17,1.5566120796
2010-12-20,1.553651619
2010-12-21,1.5471010232
2010-12-22,1.5440414508000002
2010-12-23,1.5402027824000002
2010-12-27,1.5412413469
2010-12-28,1.5460776847
2010-12-29,1.5383534372
2010-12-30,1.543827017
2010-12-31,1.5523671217
2011-01-03,1.5497323844
2011-01-04,1.562852984
2011-01-05,1.5575857597999998
2011-01-06,1.5501480166
2011-01-07,1.5461052129
2011-01-10,1.5512142342
2011-01-11,1.5564370718
2011-01-12,1.560098611
2011-01-13,1.5793000299000002
2011-01-14,1.5850154358
2011-01-18,1.6000718004
2011-01-19,1.6015652793
2011-01-20,1.5969653864
2011-01-21,1.5939876216
2011-01-24,1.5935885391999998
2011-01-25,1.577262181
2011-01-26,1.58482479
2011-01-27,1.59571869
2011-01-28,1.5925194563999998
2011-01-31,1.5904286212
2011-02-01,1.6114104966999998
2011-02-02,1.620260594
2011-02-03,1.6196311788999995
2011-02-04,1.6089471199
2011-02-07,1.6130683171
2011-02-08,1.606764082
2011-02-09,1.6055294118
2011-02-10,1.604623732
2011-02-11,1.5991486343
2011-02-14,1.6
2011-02-15,1.6131343284
2011-02-16,1.6047036465
2011-02-17,1.6125579736000002
2011-02-18,1.6232281119999998
2011-02-22,1.6157902204
2011-02-23,1.6232415179
2011-02-24,1.6178785387
2011-02-25,1.6090260727
2011-02-28,1.6221857411000002
2011-03-01,1.6276194961
2011-03-02,1.6288039632
2011-03-03,1.6269235287
2011-03-04,1.6265951868
2011-03-07,1.6292682927000002
2011-03-08,1.6151074956
2011-03-09,1.6214202561000002
2011-03-10,1.6130990602000002
2011-03-11,1.5992800743
2011-03-14,1.6108095622999998
2011-03-15,1.6006456076
2011-03-16,1.6085552865
2011-03-17,1.6143869964
2011-03-18,1.6170748455
2011-03-21,1.6283124928
2011-03-22,1.6375893063
2011-03-23,1.6250143695
2011-03-24,1.6162910422
2011-03-25,1.6079972659
2011-03-28,1.5977227441
2011-03-29,1.5957796812
2011-03-30,1.6031402890000002
2011-03-31,1.607672287
2011-04-01,1.6041973908000002
2011-04-04,1.6164368012
2011-04-05,1.6229592713999998
2011-04-06,1.6296296296
2011-04-07,1.6306656011000005
2011-04-08,1.6347125263
2011-04-11,1.6335445903
2011-04-12,1.6286791603
2011-04-13,1.6287929872
2011-04-14,1.6318413598
2011-04-15,1.6349852908000002
2011-04-18,1.6267806268
2011-04-19,1.628929385
2011-04-20,1.636968535
2011-04-21,1.6548280949
2011-04-25,1.6548280949
2011-04-26,1.6476356873
2011-04-27,1.6547833935
2011-04-28,1.6644914491
2011-04-29,1.6664797578
2011-05-02,1.6685784975
2011-05-03,1.6478064552
2011-05-04,1.6537393044
2011-05-05,1.6484727091
2011-05-06,1.6405702002000002
2011-05-09,1.6374182542
2011-05-10,1.635493792
2011-05-11,1.6488084984
2011-05-12,1.626501178
2011-05-13,1.6265163163999998
2011-05-16,1.620974212
2011-05-17,1.623439111
2011-05-18,1.6155112700999998
2011-05-19,1.6186315669999998
2011-05-20,1.6232825950999998
2011-05-23,1.611957459
2011-05-24,1.6141375952
2011-05-25,1.622347786
2011-05-26,1.631318365
2011-05-27,1.6456134279
2011-05-31,1.6495613784
2011-06-01,1.6427797731
2011-06-02,1.6376918285
2011-06-03,1.6324507041999998
2011-06-06,1.6394473772999998
2011-06-07,1.6417726483
2011-06-08,1.6360174712
2011-06-09,1.6431302001
2011-06-10,1.6305718145
2011-06-13,1.6300249830000002
2011-06-14,1.6399545969999998
2011-06-15,1.6246447653
2011-06-16,1.6095053125
2011-06-17,1.6168139588
2011-06-20,1.6185332575
2011-06-21,1.6209540994999998
2011-06-22,1.6120255291
2011-06-23,1.5975719424
2011-06-24,1.6003601372999998
2011-06-27,1.5966055974000002
2011-06-28,1.5948333706
2011-06-29,1.6031340298
2011-06-30,1.6013517256999998
2011-07-01,1.6008839779
2011-07-05,1.6096393588999998
2011-07-06,1.6000447002
2011-07-07,1.5970182715
2011-07-08,1.5944917152000002
2011-07-11,1.5960031793
2011-07-12,1.5833002889
2011-07-13,1.5950357021
2011-07-14,1.612123276
2011-07-15,1.6120797721
2011-07-18,1.6085437783
2011-07-19,1.6111047901
2011-07-20,1.6132402203
2011-07-21,1.61852737
2011-07-22,1.6303387334
2011-07-25,1.6294617563999998
2011-07-26,1.6400521335
2011-07-27,1.6358283319999998
2011-07-28,1.6317656482
2011-07-29,1.6299937132
2011-08-01,1.6389062589
2011-08-02,1.6253727919
2011-08-03,1.6388745631
2011-08-04,1.6327959149000002
2011-08-05,1.6287900581
2011-08-08,1.6367506616
2011-08-09,1.6340625358
2011-08-10,1.6246748841
2011-08-11,1.6150508165000002
2011-08-12,1.6260626462
2011-08-15,1.6315849487
2011-08-16,1.6346044394
2011-08-17,1.6496125798
2011-08-18,1.6504709396
2011-08-19,1.6541137239
2011-08-22,1.6497453214
2011-08-23,1.650913242
2011-08-24,1.6455364269
2011-08-25,1.6368588289
2011-08-26,1.6261502850999998
2011-08-29,1.6376893511
2011-08-30,1.6298308154
2011-08-31,1.63166215
2011-09-01,1.6210848842
2011-09-02,1.6219137558
2011-09-06,1.6074563904
2011-09-07,1.5986332574000002
2011-09-08,1.6019162769
2011-09-09,1.5956807944999998
2011-09-12,1.5876300645
2011-09-13,1.5808376296000002
2011-09-14,1.5789534215
2011-09-15,1.5802737843
2011-09-16,1.5785247218
2011-09-19,1.5713627462
2011-09-20,1.5717069815
2011-09-21,1.5617913183
2011-09-22,1.5399942743
2011-09-23,1.5395196882
2011-09-26,1.5524379025
2011-09-27,1.5611634859
2011-09-28,1.5636363636
2011-09-29,1.5637741917
2011-09-30,1.5580684244
2011-10-03,1.5503722662
2011-10-04,1.5389375365
2011-10-05,1.5454229432
2011-10-06,1.5308029534
2011-10-07,1.5534227567
2011-10-10,1.5643917597
2011-10-11,1.5636635256
2011-10-12,1.5726280916
2011-10-13,1.5672775019
2011-10-14,1.5783036122999998
2011-10-17,1.5762013730000002
2011-10-18,1.5715927372999998
2011-10-19,1.5804331676
2011-10-20,1.5779428571
2011-10-21,1.5900893114
2011-10-24,1.5942929466999998
2011-10-25,1.5995862545
2011-10-26,1.597316206
2011-10-27,1.6019627981
2011-10-28,1.6102803206999998
2011-10-31,1.6035963807
2011-11-01,1.5935216044
2011-11-02,1.602158023
2011-11-03,1.6028162458000002
2011-11-04,1.5991872279
2011-11-07,1.6043430039
2011-11-08,1.6068993647999998
2011-11-09,1.5966504655000002
2011-11-10,1.5955938361000002
2011-11-11,1.5931372549
2011-11-14,1.5945598878999998
2011-11-15,1.5855644736
2011-11-16,1.5783682547
2011-11-17,1.5784543326
2011-11-18,1.5821921799
2011-11-21,1.5648837209
2011-11-22,1.5634746448
2011-11-23,1.5560850866
2011-11-25,1.5457147865
2011-11-28,1.5553484036
2011-11-29,1.5622327652
2011-11-30,1.5678896938999998
2011-12-01,1.5704807357
2011-12-02,1.5706812369
2011-12-05,1.5643875473
2011-12-06,1.5637149028
2011-12-07,1.5600909674
2011-12-08,1.572467167
2011-12-09,1.5687745413999998
2011-12-12,1.5626179244999998
2011-12-13,1.557577548
2011-12-14,1.5486293206
2011-12-15,1.5510811938
2011-12-16,1.5542204509
2011-12-19,1.5526315788999998
2011-12-20,1.5623804971000002
2011-12-21,1.5684248468000002
2011-12-22,1.5672072072
2011-12-23,1.5672788381
2011-12-27,1.5679664067
2011-12-28,1.5672500599
2011-12-29,1.5417464115
2011-12-30,1.5490243026
2012-01-03,1.5583762424
