Date,Port. Return (USD),Port. Return (GBP)
2011-02-01,-0.00047187506417528,-0.0004718750641753911
2011-02-02,-0.02080495182832115,-0.02628206826496556
2011-02-03,0.021157698642571464,0.0160691230289157
2011-02-04,0.042515969262489135,0.0440458473529026
2011-02-07,0.035089996654381624,0.03406172471227482
2011-02-08,0.048217037099026985,0.05110464795727632
2011-02-09,0.034838193236905,0.03849451982002978
2011-02-10,0.052810306845423795,0.0570308930033786
2011-02-11,0.04307123543074646,0.050709731729663934
2011-02-14,0.05762151356651378,0.06472776468559174
2011-02-15,0.06287483810736649,0.061805644185296
2011-02-16,0.059587890286631084,0.06375867504348737
2011-02-17,0.05661067451752561,0.05589883322067358
2011-02-18,0.04974166374370037,0.04243471585272245
2011-02-22,0.055162197411683066,0.052447940213084576
2011-02-23,0.06771363654185016,0.06039842989503671
2011-02-24,0.038529841145697456,0.03452397448064153
2011-02-25,0.06936766339156537,0.07084847158904284
2011-02-28,0.08742161806564511,0.08075703566826789
2011-03-01,0.08699907192398376,0.07699043678063568
2011-03-02,0.09002297055373551,0.07928687034508507
2011-03-03,0.09454524261223773,0.08496429725839617
2011-03-04,0.10925234223127321,0.099873234905626
2011-03-07,0.10505491748966421,0.09403378400570649
2011-03-08,0.0912827798861765,0.08899114504840405
2011-03-09,0.06848153218643623,0.062288946088777254
2011-03-10,0.06138060972523281,0.060333279193533165
2011-03-11,0.09234855327626161,0.09990485921731973
2011-03-14,0.054648193088808916,0.055021187109058144
2011-03-15,-0.022924088535670097,-0.016221260780442916
2011-03-16,-0.0023507299196820677,-0.0005772881252243148
2011-03-17,-0.01686862050488245,-0.01871405596765134
2011-03-18,-0.011883478429139466,-0.015392464230031702
2011-03-21,0.0030475576273851046,-0.007386760062666841
2011-03-22,0.003815855467680001,-0.01229948940609617
2011-03-23,0.016443436259587645,0.008036658112566741
2011-03-24,0.017052684527507727,0.014028520638255375
2011-03-25,0.03128912535180089,0.03340953527223065
2011-03-28,-0.00856555865729139,-3.5008768611266566e-05
2011-03-29,-0.005576781000071746,0.004170654227026725
2011-03-30,0.0003082131145359527,0.00545370714977833
2011-03-31,0.004627800358253766,0.006950332353579738
2011-04-01,0.00416283696095011,0.008649153856887689
2011-04-04,0.009654431642073897,0.00654009065956798
2011-04-05,0.03664040157370506,0.02949908836049666
2011-04-06,0.023355061346800186,0.012112173815863365
2011-04-07,0.0328598963174605,0.020981500980291074
2011-04-08,0.04033843042955482,0.025981346797126527
2011-04-11,0.01170109125401487,-0.0019412774658168768
2011-04-12,-0.015732782345405316,-0.026392257199246837
2011-04-13,-0.008482432687957888,-0.01921179418695995
2011-04-14,0.00818610079927946,-0.004413064648110366
2011-04-15,0.018297216369286256,0.003773288877950639
2011-04-18,0.022753700532188687,0.013260594694948837
2011-04-19,0.029672106723740585,0.018859007088399302
2011-04-20,0.041859427108593854,0.026123230405362796
2011-04-21,0.048871091150738885,0.022283838232461356
2011-04-25,0.03549179758672838,0.008904544668450844
2011-04-26,0.026959440276896993,0.004727977124128014
2011-04-27,0.033150259315739165,0.006590019477492039
2011-04-28,0.032860813266179345,0.00045105282962974394
2011-04-29,0.025571038155814275,-0.008032553636606283
2011-05-02,0.025127680894221963,-0.009734503592169126
2011-05-03,-0.006694107372618967,-0.02902920936519653
2011-05-04,0.0056342933710202365,-0.020294795207287154
2011-05-05,-0.004011342642264396,-0.026750690680679933
2011-05-06,0.004202350062986328,-0.013731634029342575
2011-05-09,0.021490061527786136,0.00547917571066585
2011-05-10,0.013774632810546328,-0.00106025903263091
2011-05-11,-0.0026247474253530017,-0.02556777193540031
2011-05-12,-0.022617650367975275,-0.0319389611887028
2011-05-13,-0.012514475963102352,-0.02184509408084022
2011-05-16,-0.019027497774603438,-0.024944951338449838
2011-05-17,-0.019553146230423077,-0.026990072949414315
2011-05-18,0.0013974668660045005,-0.0011441352575332177
2011-05-19,0.010457052736450352,0.005985852555356947
2011-05-20,0.033764997859349784,0.026424485871456287
2011-05-23,0.038243941213880736,0.037904568040996296
2011-05-24,0.0537794592443665,0.05208852234180364
2011-05-25,0.07919777679113046,0.07243330644451133
2011-05-26,0.08133147146140308,0.06905285103698806
2011-05-27,0.08200447299887932,0.06100113415947962
2011-05-31,0.05807756531947997,0.034678024383927385
2011-06-01,0.05763363795411916,0.0383537277488113
2011-06-02,0.0560390691897104,0.03986112071287606
2011-06-03,0.05787690051784038,0.044904395678551354
2011-06-06,0.0374678824734035,0.020218542848568714
2011-06-07,0.036068625375064486,0.01740196452756943
2011-06-08,0.052647453884319004,0.03749241690799588
2011-06-09,0.05963702121437672,0.0401438203199225
2011-06-10,0.07007340828488641,0.05825252890750399
2011-06-13,0.03394513907614342,0.02245967774587817
2011-06-14,0.0320618746891366,0.01450319835717076
2011-06-15,0.04137429799737724,0.03319499244748847
2011-06-16,0.02774280390286613,0.02892581180189368
2011-06-17,0.012209424039746874,0.008861783737326497
2011-06-20,0.009715144905520072,0.005304682750050878
2011-06-21,0.03716554984592659,0.031260504020973905
2011-06-22,0.04970115753955827,0.049319557034668005
2011-06-23,0.04227050175302098,0.05089544149610099
2011-06-24,0.03689695074514353,0.043778141379732585
2011-06-27,0.022247920848471558,0.031477927164991044
2011-06-28,0.044830135607023286,0.05517075503564328
2011-06-29,0.058988883287755964,0.0641382816676538
2011-06-30,0.06944551020315953,0.07570728942652019
2011-07-01,0.0690538970291556,0.07560781452503675
2011-07-05,0.09998223663259133,0.10108196377616323
2011-07-06,0.11618322093790276,0.12326153482222901
