StartF,EndF,StartS,EndS,StartH,EndH,Winners,Losers
2012-10-01,2013-09-30,2013-05-01,2013-10-31,2013-11-01,2013-11-29,"['TAN', 'CARZ', 'FAN', 'PBD']","['XME', 'KOL', 'GDX', 'GDXJ']"
2012-11-01,2013-10-31,2013-06-03,2013-11-29,2013-12-02,2013-12-31,"['TAN', 'FAN', 'PBD', 'CARZ']","['XME', 'KOL', 'GDX', 'GDXJ']"
2012-12-03,2013-11-29,2013-07-01,2013-12-31,2014-01-02,2014-01-31,"['TAN', 'FAN', 'IAI', 'PBD']","['XME', 'KOL', 'GDX', 'GDXJ']"
2013-01-02,2013-12-31,2013-08-01,2014-01-31,2014-02-03,2014-02-28,"['TAN', 'FAN', 'IAI', 'SOCL']","['XME', 'KOL', 'GDX', 'GDXJ']"
2013-02-01,2014-01-31,2013-09-03,2014-02-28,2014-03-03,2014-03-31,"['TAN', 'PBE', 'FAN', 'SOCL']","['XME', 'KOL', 'GDX', 'GDXJ']"
2013-03-01,2014-02-28,2013-10-01,2014-03-31,2014-04-01,2014-04-30,"['TAN', 'PBE', 'FAN', 'PNQI']","['SLX', 'KOL', 'GDX', 'GDXJ']"
2013-04-01,2014-03-31,2013-11-01,2014-04-30,2014-05-01,2014-05-30,"['TAN', 'FAN', 'PBE', 'PBD']","['XME', 'KOL', 'GDX', 'GDXJ']"
2013-05-01,2014-04-30,2013-12-02,2014-05-30,2014-06-02,2014-06-30,"['TAN', 'FAN', 'PBD', 'PJP']","['XHB', 'KOL', 'GDX', 'GDXJ']"
2013-06-03,2014-05-30,2014-01-02,2014-06-30,2014-07-01,2014-07-31,"['TAN', 'FAN', 'PJP', 'PSI']","['XHB', 'KOL', 'GDX', 'GDXJ']"
2013-07-01,2014-06-30,2014-02-03,2014-07-31,2014-08-01,2014-08-29,"['TAN', 'FAN', 'PBE', 'PJP']","['PBJ', 'XHB', 'KOL', 'GDX']"
2013-08-01,2014-07-31,2014-03-03,2014-08-29,2014-09-02,2014-09-30,"['TAN', 'PBE', 'FAN', 'PJP']","['KBWR', 'PBJ', 'GDX', 'XHB']"
2013-09-03,2014-08-29,2014-04-01,2014-09-30,2014-10-01,2014-10-31,"['TAN', 'PSI', 'PBE', 'PJP']","['CARZ', 'KOL', 'GDX', 'GDXJ']"
2013-10-01,2014-09-30,2014-05-01,2014-10-31,2014-11-03,2014-11-28,"['PJP', 'PSI', 'PBE', 'IYT']","['KOL', 'BJK', 'GDX', 'GDXJ']"
2013-11-01,2014-10-31,2014-06-02,2014-11-28,2014-12-01,2014-12-31,"['PJP', 'PBE', 'PSI', 'IHF']","['PXJ', 'KOL', 'GDX', 'GDXJ']"
2013-12-02,2014-11-28,2014-07-01,2014-12-31,2015-01-02,2015-01-30,"['PSI', 'PBE', 'PJP', 'IYT']","['KOL', 'GDXJ', 'FRAK', 'PXJ']"
2014-01-02,2014-12-31,2014-08-01,2015-01-30,2015-02-02,2015-02-27,"['PSI', 'PBE', 'PJP', 'IHF']","['SLX', 'XME', 'GDXJ', 'PXJ']"
