Date,BJK,XME,PBS,FRAK,PXE,GRID,PBD,XHB,IHF,SOCL,PXQ,GDXJ,SLX,ROBO,GDX,PBJ,PBE,KBWR,CARZ,PEJ,FAN,PNQI,PPA,PSP,HAP,IHI,PSJ,IAI,KBWP,IYT,PSI,KOL,PXJ,GII,KBWB,PJP,TAN,SKYY,NLR,PIO,VTV,SPY
2011-09-08,24.89910697937012,49.48104476928711,11.976068496704102,,18.40738677978516,24.11982727050781,9.110852241516113,13.31157112121582,51.59495544433594,,21.345434188842773,131.16896057128906,40.4798583984375,,62.69652557373047,17.025283813476562,18.960769653320312,,20.2994327545166,16.764289855957028,7.03577184677124,36.52221298217773,14.992873191833494,4.832152843475342,29.296186447143555,56.75382614135742,21.70399475097656,18.55648231506348,18.19089126586914,72.86444854736328,12.138352394104006,290.7343444824219,18.54841423034668,28.96476745605469,,21.98447608947754,35.58101272583008,16.144453048706055,38.659751892089844,14.66213607788086,39.304359436035156,99.71695709228516
2011-09-09,24.156753540039066,48.022926330566406,11.66191291809082,,17.756580352783203,23.208106994628906,8.739507675170897,12.892965316772461,49.8036003112793,,20.71988677978516,128.12242126464844,38.78151321411133,,61.91552734375,16.577484130859375,18.357608795166016,,19.631916046142575,16.215572357177734,6.776986122131348,35.1832275390625,14.662476539611815,4.690195560455322,28.65160369873047,54.62674331665039,21.09640121459961,18.06451416015625,18.35521697998047,71.21275329589844,11.978510856628418,283.3947448730469,17.792606353759766,28.003507614135746,,21.387962341308594,34.23551177978516,15.707332611083984,37.42527770996094,14.214365005493164,38.27737808227539,97.10340118408205
2011-09-12,24.141603469848636,47.44485473632813,11.680954933166506,,17.724445343017578,23.271299362182614,8.704965591430664,13.02319622039795,50.176795959472656,,21.33580780029297,123.56932830810548,38.53129959106445,,60.12768936157226,16.631217956542972,18.445161819458008,,19.263925552368164,16.310174942016598,6.728461742401122,35.49299621582031,14.653544425964355,4.656126499176025,28.40183067321777,54.64582443237305,21.435060501098636,18.22850799560547,18.35521697998047,71.0141830444336,12.11014175415039,281.6133117675781,17.997119903564453,27.772502899169922,,21.28421401977539,34.011260986328125,15.969610214233398,36.89033889770508,14.19681167602539,38.50028610229492,97.7316665649414
2011-09-13,24.368854522705078,48.169593811035156,11.909430503845215,,17.748544692993164,23.70458984375,8.860410690307617,13.11622142791748,51.13779067993164,,21.67264175415039,123.40194702148438,39.14543914794922,,60.58875274658203,16.792427062988278,18.649459838867188,,19.683259963989254,16.43316650390625,6.793159008026122,35.872703552246094,14.778557777404785,4.75265645980835,28.60326385498047,55.4947395324707,21.94304847717285,18.53922271728516,18.35521697998047,73.51428985595703,12.3828125,282.3971862792969,18.14828491210937,28.35373306274414,,21.50035095214844,34.459762573242195,16.222169876098633,37.6515998840332,14.398741722106935,38.79484558105469,98.62798309326172
2011-09-14,24.353708267211914,48.55785369873047,12.16646957397461,,18.04583168029785,24.309389114379886,8.955405235290527,13.488313674926758,51.46432876586914,,22.250062942504886,120.22148895263672,39.53970336914063,,59.4407844543457,16.908855438232422,18.892667770385746,,19.683259963989254,16.735912322998047,6.962987422943115,36.36233139038086,15.064309120178224,4.7583346366882315,28.87721061706543,56.5439682006836,22.59048080444336,18.824045181274414,18.35521697998047,74.94035339355469,12.899934768676758,280.40194702148443,18.361684799194336,28.890254974365234,,21.79427528381348,34.833511352539055,16.503868103027347,37.569297790527344,14.618233680725098,39.28047943115234,99.99337005615234
2011-09-15,24.20977783203125,49.05827713012695,12.39494800567627,,18.375246047973636,24.589221954345703,8.972675323486328,13.599939346313475,52.23873901367188,,22.548398971557614,119.48495483398438,40.58600234985352,,59.09262084960938,17.043193817138672,19.145612716674805,,19.683259963989254,16.858896255493164,7.092381954193115,36.61214065551758,15.323269844055176,4.877577304840088,29.38481521606445,57.22120666503906,22.809612274169922,19.29874038696289,18.35521697998047,75.96026611328125,12.95634937286377,284.2499084472656,18.6906852722168,29.27775001525879,,22.053638458251953,34.011260986328125,16.688438415527347,38.16596221923828,14.855291366577148,39.96514129638672,101.7190170288086
2011-09-16,24.38400650024414,48.87418746948242,12.495981216430664,,18.385740280151367,24.29133605957031,8.971807479858398,13.607398986816404,52.44398880004883,,22.55802154541016,122.56500244140624,40.18415832519531,,60.32528305053711,17.12040138244629,19.12615394592285,,19.683259963989254,16.938434600830078,7.076205253601074,36.802001953125,15.54690647125244,4.912422180175781,29.22367286682129,57.40244674682617,22.959022521972656,19.2469539642334,18.43941307067871,76.0234375,12.975153923034668,281.6845703125,18.47728157043457,29.374614715576172,,22.274555206298828,33.11426544189453,16.688438415527347,38.39228439331055,14.863222122192385,40.17212677001953,102.32102966308594
2011-09-19,24.467329025268555,47.84571075439453,12.448325157165527,,18.095186233520508,23.830968856811523,8.745991706848145,13.467501640319824,51.74424743652344,,22.23081588745117,119.08322143554688,39.213680267333984,,59.73247528076172,17.030624389648438,18.86348533630371,,20.684541702270508,17.108856201171875,6.89829158782959,36.572174072265625,15.45709228515625,4.769617557525635,28.490461349487305,56.61074829101562,22.73989105224609,18.65142059326172,18.43941307067871,74.6876220703125,12.82471752166748,270.21200561523443,18.14828491210937,29.09890365600586,,22.118616104125977,31.99301147460937,16.571870803833008,37.836769104003906,14.563488006591795,39.61484909057617,101.30221557617188
2011-09-20,24.02797889709473,46.0739631652832,12.238628387451172,,17.812702178955078,23.56918716430664,8.511491775512695,13.364906311035154,51.17510986328125,,21.70151138305664,121.56062316894531,38.33417510986328,,61.75554656982422,16.87800407409668,18.853755950927734,,20.624637603759766,16.89109230041504,6.825507164001465,35.62289810180664,15.385244369506836,4.741058349609375,28.297088623046875,56.6584358215332,22.470956802368164,18.496063232421875,18.43941307067871,73.72186279296875,12.561452865600586,262.08853149414057,17.792606353759766,29.76955795288086,,22.265899658203125,29.974761962890625,16.24159812927246,37.3223991394043,14.431254386901855,39.59892654418945,101.184326171875
2011-09-21,23.47500038146973,43.66266632080078,11.80970573425293,,17.062097549438473,22.83801078796387,8.198825836181639,12.879927635192873,49.53303909301758,,21.345434188842773,117.5097198486328,36.2567253112793,,60.485252380371094,16.456052780151367,18.40625,,20.624637603759766,16.805877685546875,6.6395039558410645,35.133270263671875,14.810425758361815,4.569693565368652,27.32215690612793,54.874732971191406,22.59048080444336,17.762434005737305,18.43941307067871,69.79570770263672,12.3828125,245.6990966796875,16.805606842041016,28.72631645202637,,21.676761627197266,28.33026695251465,16.057031631469727,36.93148422241211,14.096261024475098,38.27737808227539,98.20360565185548
