Date,BJK,CARZ,FAN,FRAK,GDX,GDXJ,GII,GRID,HAP,IAI,IHF,IHI,IYT,KBWB,KBWP,KBWR,KOL,NLR,PBD,PBE,PBJ,PBS,PEJ,PIO,PJP,PNQI,PPA,PSI,PSJ,PSP,PXE,PXJ,PXQ,ROBO,SKYY,SLX,SOCL,TAN,XHB,XME,VTV,SPY
2010-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-01-05,0.018707409893319316,,0.005218480809856985,,0.009595392145778092,0.010770745478298593,-0.01449295005763851,0.0069832635385762565,0.010044810678556448,0.0020841001854576824,-0.004440675246265791,0.005593952269175251,0.008580687797564934,,,,0.037838174017752024,0.00815992251356601,0.01571178403124085,0.0005935879410108313,-0.0013989409137651343,0.012589055226463142,0.005183018821081298,0.0070137696850811615,-0.006369014334791867,0.0034240788056409954,0.0,-0.0014564958361362734,0.0014102356191783016,0.010661089337413276,0.013222037355316463,0.016324535392609363,0.001620370500990731,,,0.007755552465024351,,0.04161471375185055,0.007154449237276594,0.014283267985957249,0.0032905127905111797,0.0026432930573045965
2010-01-06,0.010021922043839115,,0.0019497365512330944,,0.02399868458612353,0.02768853025645157,0.0070388431227166315,0.009336112375970984,0.012204032127242304,-0.0017359778188921204,-0.0010120721268069843,0.011278563613000614,-0.003610952354270225,,,,0.018145561169764512,0.012327570465110238,-0.0017336624984158888,0.0076852118168790895,-0.00280293360355488,0.0008339423760701514,-0.008157109967565912,0.0042917510089615085,-0.00106569449521432,-0.010691276162163366,0.004586749423616698,-0.0051151021864717094,-0.005652462204385866,0.005288371398097125,0.007963557851935033,0.017160532064359302,-0.001620370500990731,,,0.021703325997979306,,-0.0009059851861534796,0.00517146984945116,0.038521293770086285,0.003279415668653307,0.0007038755664501295
2010-01-07,0.0015942853977128912,,0.00582743066111302,,-0.004876017571645352,-0.002518554546681706,-0.011759060454548997,0.00029972262780608716,0.0016909444413522046,0.0069272265402826605,0.022031622529305128,0.004402750077364459,-0.0032208214306423955,,,,-0.001249408205089786,-0.005507460997334679,0.0,0.0005890416608211879,-0.004924403609111394,0.0008328273480260329,0.0066790081337404494,-0.006983806077538901,0.001597879376529665,-0.011971513851091853,0.006273417277923077,-0.0029345884820952683,-0.0042604814493261145,0.005260257015472725,-0.004542952771899866,-0.0021976320136589678,0.00431520265711427,,,-0.004394234060845825,,0.004522757336648198,0.04043485739120278,-0.00737481857440514,0.005509212059541024,0.004212716599450772
2010-01-08,-0.0019932026218003607,,0.01791478008674119,,0.014958639941585972,0.016080357924662003,0.010589695437024371,0.0038883685824466774,0.00645616183598996,-0.0027651973909357253,0.005137611241779805,0.0010977203377380285,0.019433392695537677,,,,0.012672435296361417,0.008039083964199278,0.008064431556172647,0.0023516669335483797,-0.005657646102398495,0.004154935918021518,-0.0014804407534563246,0.015513145361570224,0.0010636391171217063,0.006582777895203229,0.005669065870352874,0.0065909219704622934,0.0009483738098730043,0.003142903915684281,-0.001138833968941988,0.017448575610218953,0.002150798803200349,,,0.02548862623725734,,0.017889482439001014,0.004324938078178242,0.034470860349043786,0.0010169245291797857,0.0033220834582383674
2010-01-11,0.0039825430583944055,,0.01572848162677465,,0.006599519798098807,0.009525698333643362,0.01579218460052534,-0.0041880912102527645,0.004466857379131106,-0.002773099870931439,-0.0005919905661206926,0.006197659444307391,0.00866282669037055,,,,-0.0061918915131355945,0.00294559073867795,0.0034365469092212386,0.012835494768285383,0.003539501621673935,0.003310963094507624,0.0014804407534563246,-0.0021254655770999165,0.009523705516711,-0.0034796058457762236,0.0028222822634380584,-0.0065909219704622934,-0.006180339727079431,0.012474048840288576,-0.001710618144145748,-0.011416376320445565,-0.0032278818119029218,,,-0.008623369466390418,,0.0017714987806538574,-0.0030870161546925345,-0.01440565528225024,0.004260671368116142,0.001395554401304011
2010-01-12,-0.004780855229066017,,-0.022089756293067087,,-0.036951006939065945,-0.04635293406585106,-0.019309979030535107,-0.010244133423791268,-0.0236765439972757,-0.01715415455160807,-0.016502650264992536,-0.009677707413669356,-0.008267300470640393,,,,-0.020075793303788725,-0.015241634542880522,-0.017883171916635465,-0.008733596221369044,0.005638015850287559,-0.0251055168312857,-0.01190497062669893,-0.009083555607612759,-0.007930069888886226,-0.02232323338616693,-0.008491348133790932,-0.029830648660035486,-0.00717861777836859,-0.020877209771445582,-0.023680087707354414,-0.02379094379928448,-0.014107487405358388,,,-0.021889402834903926,,-0.035122888970722244,-0.013699002924275838,-0.025366758858156313,-0.010173443382879288,-0.009370383558966466
2010-01-13,0.011119912545294763,,0.006995144264907882,,0.010492770470470703,0.017860969300615537,0.0074893144301722,0.010543856051597356,0.0079546307399192,0.006335550409454438,0.018276442325463993,0.00876876312280972,0.0006587115921634634,,,,0.0042997051721132,0.011030951889422269,0.007538281027198668,0.011049972259637109,0.008397453472403615,0.012631288864284773,0.019274401414453024,0.01014650147001861,0.012134263400522372,0.020384833330336694,0.01299093470453716,0.016516883349539047,0.0095603271151945,0.010493086132293605,0.004664455788430999,0.009473744206326629,0.017871839513162513,,,0.010778156553381102,,0.002746073468576249,0.0018789716702531933,0.014424012242014062,0.008957859210418473,0.008411282042689372
2010-01-14,0.010216253487990379,,-0.00955125754793551,,-0.005335617870811493,-0.0021700434731322105,0.01343224564190404,-0.0020998833236527403,-0.0019827164970251943,-0.0014042855867861803,0.015818794326597718,0.007068429223760386,0.0007896094169570489,,,,-0.001515249016316389,0.007984946487226807,-0.016307611629049923,0.003463969517490728,0.0027836534278260494,-0.004193009550101934,0.013129187717868085,0.006883955463988567,0.008874886177062002,0.003873049984958854,0.006153544572074399,-0.004477706937609849,0.011823114115534494,0.009350888896527465,0.004643422992753443,0.0038750752858698334,0.008019490343652791,,,0.00421895361989888,,-0.03630008897160408,-0.002506344489678458,-0.012653466181853812,0.0018223700528072762,0.002700524751184652
2010-01-15,-0.011797101158745438,,-0.016774559349767237,,-0.024579262157823578,-0.013119641156650985,-0.023744103621425428,-0.027398865690325902,-0.013415433129211785,-0.008822927576525696,-0.007780289443990007,-0.009800229712979558,-0.012312208679909453,,,,-0.018625372179929656,-0.007563234400882912,-0.01837107269535565,-0.008683039464370435,-0.009075312492577314,-0.013536480395926809,-0.007272809433556571,-0.013280650125994775,-0.008874886177062002,-0.01597550371788481,-0.010653131142820627,-0.031145875469252182,-0.008972857535153977,-0.008307854662122915,-0.011062455412648386,-0.012229471279028292,-0.01556263371755362,,,-0.0229651957163437,,-0.04755866252196128,-0.01963947117781384,-0.02072998604399512,-0.011393593837183413,-0.011287559233942979
